################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.9713754014973688E+00 a         1     0     1     1     1
 -4.3343196690743602E+00 a         2     0     1     1     2
 -9.9625868160828501E-01 a         3     0     1     1     3
  8.5320046434854397E+00 a         4     0     1     1     4
 -1.6266920970804239E+01 a         5     0     1     1     5
  1.3320085836774592E+01 a         6     0     1     1     6
 -7.1338612161884720E+00 a         7     0     1     1     7
 -1.9035136432137358E+00 a         8     0     1     1     8
  3.6324828841046625E-01 a         9     0     1     1     9
  3.2945260018138094E+00 a        10     0     1     1    10
 -1.9487263153720512E+01 a        11     0     1     1    11
 -1.6700564823667907E+01 a        12     0     1     1    12
 -6.4715502817934691E+00 a        13     0     1     1    13
  2.7621626005006044E+00 a        14     0     1     1    14
  1.1051193434974866E+01 a        15     0     1     1    15
  1.6158176976811522E+01 a        16     0     1     1    16
 -6.2603502095178811E+00 a        17     0     1     1    17
 -4.2287567445495560E+00 a        18     0     1     1    18
 -1.7356617430817736E+00 a        19     0     1     1    19
 -1.3397419438777993E+00 a        20     0     1     1    20
  2.0511387080430289E+01 a        21     0     2     1     1
 -4.6852101158431347E+00 a        22     0     2     1     2
  1.0747618345453130E+01 a        23     0     2     1     3
 -2.2331977887889107E+00 a        24     0     2     1     4
  6.9486224749585261E+00 a        25     0     2     1     5
 -4.2810631371483012E+00 a        26     0     2     1     6
  4.9123192795540149E-01 a        27     0     2     1     7
  3.9866340083853578E+00 a        28     0     2     1     8
  6.5456121844136064E+00 a        29     0     2     1     9
 -1.6967528139754627E+01 a        30     0     2     1    10
  1.0551186838934159E+01 a        31     0     2     1    11
  9.1157933483115130E+00 a        32     0     2     1    12
 -3.1721669260895879E+00 a        33     0     2     1    13
 -6.2475686067314626E+00 a        34     0     2     1    14
 -7.1448959100455829E+00 a        35     0     2     1    15
 -1.5167926514172539E+01 a        36     0     2     1    16
  3.7606082048075962E+00 a        37     0     2     1    17
  4.4975145080361173E-01 a        38     0     2     1    18
  5.6857138873014810E+00 a        39     0     2     1    19
  9.5305815858985738E+00 a        40     0     2     1    20
 -1.0056332124717844E+00 a        41     0     3     1     1
  4.4223620580480540E+00 a        42     0     3     1     2
 -6.7832525654675013E+00 a        43     0     3     1     3
  1.0067500722311793E+01 a        44     0     3     1     4
  1.2332805581236483E+01 a        45     0     3     1     5
 -6.3212774306351376E+00 a        46     0     3     1     6
  1.2785212956628031E+01 a        47     0     3     1     7
  3.8203043683169224E+00 a        48     0     3     1     8
  1.4857835480378494E+01 a        49     0     3     1     9
  6.3354257640927605E+00 a        50     0     3     1    10
  6.8661363748251452E+00 a        51     0     3     1    11
  1.1069339535119491E+01 a        52     0     3     1    12
  4.2930390618856427E+00 a        53     0     3     1    13
  2.0529984846635516E+00 a        54     0     3     1    14
  4.5774514165588105E+00 a        55     0     3     1    15
 -7.3744859593254031E-01 a        56     0     3     1    16
  5.4898736392503240E+00 a        57     0     3     1    17
  1.2854425512258878E+00 a        58     0     3     1    18
 -1.8320656015213035E-01 a        59     0     3     1    19
 -6.3539033018951701E+00 a        60     0     3     1    20
 -1.3523018646618921E+01 a        61     0     4     1     1
 -5.7800320054063485E+00 a        62     0     4     1     2
 -6.8110981560588391E+00 a        63     0     4     1     3
 -2.3634214209174764E-01 a        64     0     4     1     4
 -6.4727627361332862E+00 a        65     0     4     1     5
  1.1164848338843431E+01 a        66     0     4     1     6
 -8.2833826787786737E+00 a        67     0     4     1     7
  2.4406740823858204E+00 a        68     0     4     1     8
 -3.4338013054113325E+00 a        69     0     4     1     9
  2.3829924293540774E+01 a        70     0     4     1    10
 -9.4376731414622395E+00 a        71     0     4     1    11
  3.2719054119436564E-01 a        72     0     4     1    12
  1.4314788650217671E+00 a        73     0     4     1    13
  1.4165439737295255E+01 a        74     0     4     1    14
 -1.1240950272916379E+01 a        75     0     4     1    15
  6.1284575145287326E+00 a        76     0     4     1    16
 -1.5204376761606705E+01 a        77     0     4     1    17
 -3.1858823286524318E+00 a        78     0     4     1    18
 -3.4350073299697228E+00 a        79     0     4     1    19
 -2.9966984629048983E+00 a        80     0     4     1    20
 -4.4031451040876597E+00 a        81     0     5     1     1
  1.5659081933014127E+01 a        82     0     5     1     2
  5.2260939424353436E+00 a        83     0     5     1     3
 -5.4940659827979932E+00 a        84     0     5     1     4
 -5.3480153963716157E+00 a        85     0     5     1     5
  3.9780658784126306E+00 a        86     0     5     1     6
  1.1320518959497123E+01 a        87     0     5     1     7
  3.8180020266813446E+00 a        88     0     5     1     8
 -5.8146503917432713E-01 a        89     0     5     1     9
  1.6878581105539279E+01 a        90     0     5     1    10
 -3.5332783336240816E+01 a        91     0     5     1    11
 -1.3969592918620259E+01 a        92     0     5     1    12
 -9.9932086691860000E+00 a        93     0     5     1    13
 -1.2512346343358702E+01 a        94     0     5     1    14
  4.3606479284459505E+00 a        95     0     5     1    15
 -1.5523551290745119E-02 a        96     0     5     1    16
 -5.1662490145734585E+00 a        97     0     5     1    17
  4.5319449996546730E+00 a        98     0     5     1    18
  1.9992607021181059E+00 a        99     0     5     1    19
  1.0594556646426193E+01 a       100     0     5     1    20
 -2.3220582801123534E+01 a       101     0     6     1     1
  4.1489618018796568E+00 a       102     0     6     1     2
 -4.0571712397827229E+00 a       103     0     6     1     3
 -4.9308065677257513E+00 a       104     0     6     1     4
  5.6182095781747892E+00 a       105     0     6     1     5
 -1.2389952768620661E+01 a       106     0     6     1     6
 -1.7424411234684868E+01 a       107     0     6     1     7
  2.5292716103400688E+00 a       108     0     6     1     8
  8.5199316450688531E+00 a       109     0     6     1     9
 -1.7795449099328582E+01 a       110     0     6     1    10
  1.7832465084066829E+01 a       111     0     6     1    11
 -8.7170826707015507E+00 a       112     0     6     1    12
  8.0398013158847537E+00 a       113     0     6     1    13
 -1.8269989813404969E-01 a       114     0     6     1    14
 -9.9400214686896238E+00 a       115     0     6     1    15
 -6.0440731363238838E+00 a       116     0     6     1    16
  9.4644929559800361E-01 a       117     0     6     1    17
  4.8679749895772613E+00 a       118     0     6     1    18
  1.4142120682664070E+01 a       119     0     6     1    19
  2.8249114108065112E+00 a       120     0     6     1    20
 -5.7017235253421266E+00 a       121     0     7     1     1
  9.5507810456220188E+00 a       122     0     7     1     2
  5.8327594680551398E+00 a       123     0     7     1     3
 -1.0166405036097085E+01 a       124     0     7     1     4
  4.1129499621536922E+00 a       125     0     7     1     5
  1.3586642541885217E+00 a       126     0     7     1     6
 -5.0182256022489158E-01 a       127     0     7     1     7
 -8.9825939768980110E+00 a       128     0     7     1     8
 -3.3932155849294894E+00 a       129     0     7     1     9
  6.1209621350229000E+00 a       130     0     7     1    10
 -2.1492126928637152E+00 a       131     0     7     1    11
 -1.1537787085620237E+00 a       132     0     7     1    12
  6.6823025991143119E+00 a       133     0     7     1    13
 -8.1177020283617498E+00 a       134     0     7     1    14
  3.9999695621730984E+00 a       135     0     7     1    15
