################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5387754139226620E-01 a         1     0     1     1     1
  1.8149270015850310E+00 a         2     0     1     1     2
 -2.0655046759943615E-01 a         3     0     1     1     3
  7.2194088419656688E-01 a         4     0     1     1     4
 -7.8379149350777200E-01 a         5     0     1     1     5
 -3.6766619213738777E-01 a         6     0     1     1     6
  3.0526126523459507E-01 a         7     0     1     1     7
 -6.6490425777284323E-01 a         8     0     1     1     8
  1.1484441509922492E+00 a         9     0     1     1     9
  6.3543105951926127E-01 a        10     0     1     1    10
  5.4402384170530571E-01 a        11     0     1     1    11
  1.8861614730521294E+00 a        12     0     1     1    12
  1.4925450482468274E+00 a        13     0     1     1    13
 -3.6181891614675304E-01 a        14     0     1     1    14
  1.3755211022739802E+00 a        15     0     1     1    15
 -2.1163736268801911E-01 a        16     0     1     1    16
 -1.8224702431065858E+00 a        17     0     1     1    17
 -1.2121715156875315E+00 a        18     0     1     1    18
  2.2943646391398378E+00 a        19     0     1     1    19
  3.0109267177293457E+00 a        20     0     1     1    20
 -1.7732597808817396E+00 a        21     0     2     1     1
 -9.9051294630174216E-02 a        22     0     2     1     2
  1.9568805211989628E+00 a        23     0     2     1     3
  6.7829408663352198E-01 a        24     0     2     1     4
  6.0455873670589078E-01 a        25     0     2     1     5
 -1.9301108673387840E-01 a        26     0     2     1     6
  7.5037586272379997E-02 a        27     0     2     1     7
 -1.9361935797539344E-02 a        28     0     2     1     8
 -6.7905577364156910E-01 a        29     0     2     1     9
  1.1510598834855029E-01 a        30     0     2     1    10
 -2.2024156636229475E+00 a        31     0     2     1    11
