################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6945059996188813E-01 a         1     0     1     1     1
 -7.3623573078983673E-01 a         2     0     1     1     2
  2.1142521630193589E+00 a         3     0     1     1     3
  1.9860347715346189E+00 a         4     0     1     1     4
 -8.8435594155057351E-01 a         5     0     1     1     5
  3.7498746454211934E-01 a         6     0     1     1     6
 -1.4178434139655838E+00 a         7     0     1     1     7
 -2.0099977142096079E-01 a         8     0     1     1     8
  7.2884549149145120E-02 a         9     0     1     1     9
  6.2719626614912649E-01 a        10     0     1     1    10
  1.1460026190271873E+00 a        11     0     1     1    11
  2.1067406605346928E-01 a        12     0     1     1    12
 -1.9849697968820805E+00 a        13     0     1     1    13
 -1.4558175078332389E-01 a        14     0     1     1    14
  5.3006998683636153E-01 a        15     0     1     1    15
 -7.4871792025675876E-01 a        16     0     1     1    16
  1.4564613443163463E+00 a        17     0     1     1    17
 -7.3676973560717396E-01 a        18     0     1     1    18
 -1.0257337905167632E+00 a        19     0     1     1    19
  5.0614947736252996E-02 a        20     0     1     1    20
 -1.9643072520158049E+00 a        21     0     2     1     1
  3.6521905890151155E-02 a        22     0     2     1     2
 -1.0887215232726914E+00 a        23     0     2     1     3
  1.2569322656851253E-01 a        24     0     2     1     4
  1.9207626022077134E-01 a        25     0     2     1     5
  1.1970947327973562E+00 a        26     0     2     1     6
  1.7825783204219137E+00 a        27     0     2     1     7
  1.2367612313982487E-01 a        28     0     2     1     8
 -1.6112952017269493E+00 a        29     0     2     1     9
  1.2071871241968186E+00 a        30     0     2     1    10
 -8.6142783509923992E-02 a        31     0     2     1    11
  1.5009025159865783E+00 a        32     0     2     1    12
  1.9246583959108030E-01 a        33     0     2     1    13
 -1.3380382342976055E-01 a        34     0     2     1    14
  1.2784357634865334E-01 a        35     0     2     1    15
 -7.7144817004466681E-01 a        36     0     2     1    16
 -2.4896508196813363E+00 a        37     0     2     1    17
 -5.4721396458620652E-01 a        38     0     2     1    18
  4.2068617269154818E-01 a        39     0     2     1    19
  7.5761407350823373E-01 a        40     0     2     1    20
 -7.7637353909479778E-01 a        41     0     3     1     1
  8.0403253680861408E-01 a        42     0     3     1     2
  7.4306793933435822E-01 a        43     0     3     1     3
  1.8077930773891042E+00 a        44     0     3     1     4
 -1.9314434924260390E-01 a        45     0     3     1     5
 -5.1982636660774773E-01 a        46     0     3     1     6
 -9.8662267532439940E-01 a        47     0     3     1     7
  4.8654582346205177E-01 a        48     0     3     1     8
 -1.0975883783501153E-01 a        49     0     3     1     9
 -3.0916255322842778E-01 a        50     0     3     1    10
 -6.1088600681638394E-01 a        51     0     3     1    11
 -1.1044084808678598E+00 a        52     0     3     1    12
  6.7532789103856972E-01 a        53     0     3     1    13
 -8.6678621102229658E-01 a        54     0     3     1    14
 -5.1058272540202543E-01 a        55     0     3     1    15
  1.5292629904731114E+00 a        56     0     3     1    16
 -1.9911753944362140E-01 a        57     0     3     1    17
 -4.1693565294402235E-01 a        58     0     3     1    18
 -2.1433874274808034E-03 a        59     0     3     1    19
  2.0078208713684380E+00 a        60     0     3     1    20
  1.4717672618063764E+00 a        61     0     4     1     1
 -4.5073053103761210E-02 a        62     0     4     1     2
  5.4351124830222752E-01 a        63     0     4     1     3
  1.3704126635407003E+00 a        64     0     4     1     4
  2.3223613064067990E-03 a        65     0     4     1     5
  1.8846424140740636E+00 a        66     0     4     1     6
  8.0036964800182786E-04 a        67     0     4     1     7
  4.4004859889094930E-02 a        68     0     4     1     8
 -4.6169175169148630E-01 a        69     0     4     1     9
 -3.8583969483436248E-01 a        70     0     4     1    10
  3.2304576633475807E-01 a        71     0     4     1    11
 -3.7118200841619220E-01 a        72     0     4     1    12
  4.7747655121219107E-01 a        73     0     4     1    13
  8.4724654111269082E-01 a        74     0     4     1    14
  1.6452978854688932E-01 a        75     0     4     1    15
  4.6694537546304199E-01 a        76     0     4     1    16
  3.9285715746354666E-01 a        77     0     4     1    17
  1.1589183275626924E-01 a        78     0     4     1    18
  6.3319667194077578E-01 a        79     0     4     1    19
 -1.2403945175014011E+00 a        80     0     4     1    20
 -2.2814544591902710E-02 a        81     0     5     1     1
 -1.3097266246716444E-01 a        82     0     5     1     2
 -9.7987750010213304E-01 a        83     0     5     1     3
 -7.5508543933666739E-01 a        84     0     5     1     4
  9.6363714616378227E-01 a        85     0     5     1     5
 -4.5284555267674370E-01 a        86     0     5     1     6
 -1.5118021880143688E+00 a        87     0     5     1     7
 -3.5230960706950254E-01 a        88     0     5     1     8
  1.5124642071756700E-01 a        89     0     5     1     9
 -8.6300302893134440E-01 a        90     0     5     1    10
  2.5971317499365204E-01 a        91     0     5     1    11
  1.0197771840472943E-01 a        92     0     5     1    12
  4.0386454215665357E-01 a        93     0     5     1    13
 -1.1149666292615971E-01 a        94     0     5     1    14
 -1.0761735633619267E+00 a        95     0     5     1    15
  6.4256605152012625E-01 a        96     0     5     1    16
 -5.9710582084083885E-01 a        97     0     5     1    17
 -8.9550470323952125E-01 a        98     0     5     1    18
  7.6605800986954875E-01 a        99     0     5     1    19
 -4.0743423454618133E-01 a       100     0     5     1    20
  7.9666763674448371E-01 a       101     0     6     1     1
 -2.6805216290608586E-01 a       102     0     6     1     2
 -2.0334348456112057E+00 a       103     0     6     1     3
  2.3536417227300861E+00 a       104     0     6     1     4
  2.1245075423098875E-01 a       105     0     6     1     5
 -1.1463358784762818E+00 a       106     0     6     1     6
 -1.3435780194050375E+00 a       107     0     6     1     7
  1.4993089081027544E-01 a       108     0     6     1     8
 -6.6403351488972451E-01 a       109     0     6     1     9
  4.0561462255498620E-01 a       110     0     6     1    10
 -5.5825030934504394E-01 a       111     0     6     1    11
 -1.3239341442563601E+00 a       112     0     6     1    12
  1.1752051329483169E+00 a       113     0     6     1    13
 -1.3136014454292635E+00 a       114     0     6     1    14
  1.9187668268619301E-01 a       115     0     6     1    15
 -1.0981971442445864E+00 a       116     0     6     1    16
  9.3127151665898522E-02 a       117     0     6     1    17
 -1.1726181046369171E+00 a       118     0     6     1    18
 -2.7669305217258566E-01 a       119     0     6     1    19
  1.6789678771499585E+00 a       120     0     6     1    20
  6.7396084128036771E-01 a       121     0     7     1     1
 -4.1301516337683425E-01 a       122     0     7     1     2
  7.7038101335595299E-01 a       123     0     7     1     3
 -8.4602172905274864E-01 a       124     0     7     1     4
 -7.3387847575591925E-01 a       125     0     7     1     5
  1.5266615639576342E+00 a       126     0     7     1     6
  1.0532121176456528E+00 a       127     0     7     1     7
 -1.2656572642009210E+00 a       128     0     7     1     8
 -3.4602345740978868E-01 a       129     0     7     1     9
 -6.0447833383260019E-01 a       130     0     7     1    10
 -9.2157648053893448E-01 a       131     0     7     1    11
 -1.8372677472780596E-01 a       132     0     7     1    12
 -4.3170981425819921E-01 a       133     0     7     1    13
  9.1347443362279701E-01 a       134     0     7     1    14
 -4.9670322040401636E-02 a       135     0     7     1    15
  3.4333184697471403E-01 a       136     0     7     1    16
 -2.2421719586592168E+00 a       137     0     7     1    17
 -1.8615396946820759E+00 a       138     0     7     1    18
 -6.4390092630121548E-02 a       139     0     7     1    19
  1.0544304209791058E+00 a       140     0     7     1    20
 -1.2953212028622769E+00 a       141     0     8     1     1
  6.7952122278514215E-01 a       142     0     8     1     2
 -3.8625655210760079E-01 a       143     0     8     1     3
 -9.2992369561544741E-01 a       144     0     8     1     4
 -2.8374308910632617E-01 a       145     0     8     1     5
 -1.9631737198060368E+00 a       146     0     8     1     6
  1.1948048122306134E+00 a       147     0     8     1     7
  1.3228581054765556E+00 a       148     0     8     1     8
 -1.9756280324943711E+00 a       149     0     8     1     9
  2.6045539692479585E+00 a       150     0     8     1    10
 -5.8689333132394783E-01 a       151     0     8     1    11
  1.1913802659356423E+00 a       152     0     8     1    12
 -1.2781919915115827E+00 a       153     0     8     1    13
 -1.1481404902804979E+00 a       154     0     8     1    14
 -1.0622326845316266E+00 a       155     0     8     1    15
 -7.1579796849783917E-01 a       156     0     8     1    16
