################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4763462398488547E+00 a         1     0     1     1     1
  4.8560589910378843E-01 a         2     0     1     1     2
  7.2393615665316702E-01 a         3     0     1     1     3
 -1.3508743653423283E+00 a         4     0     1     1     4
  2.2779846628560350E+00 a         5     0     1     1     5
 -1.2986226678472093E-01 a         6     0     1     1     6
 -1.1837299657608752E-04 a         7     0     1     1     7
 -9.5767009236743545E-03 a         8     0     1     1     8
  1.6398786910917565E-01 a         9     0     1     1     9
 -1.0038617075823821E+00 a        10     0     1     1    10
  6.4118812798853742E-01 a        11     0     1     1    11
  5.8308580995570902E-01 a        12     0     1     1    12
  5.4702769234007556E-03 a        13     0     1     1    13
  7.1068134896709867E-01 a        14     0     1     1    14
  2.7664811779872667E-01 a        15     0     1     1    15
  9.7127622098881849E-01 a        16     0     1     1    16
 -5.0919447232407933E-01 a        17     0     1     1    17
 -1.8822611883196620E+00 a        18     0     1     1    18
 -2.9390534748001418E+00 a        19     0     1     1    19
 -1.3749992571930112E+00 a        20     0     1     1    20
 -1.0362846657969080E+00 a        21     0     2     1     1
 -1.4884151941438810E+00 a        22     0     2     1     2
  5.1347783463366459E-01 a        23     0     2     1     3
 -1.9694128413655965E+00 a        24     0     2     1     4
  1.1328866977474035E+00 a        25     0     2     1     5
 -8.9155586550629651E-01 a        26     0     2     1     6
  1.8170690712757385E+00 a        27     0     2     1     7
  5.2360299976537272E-01 a        28     0     2     1     8
 -1.9507731967592914E+00 a        29     0     2     1     9
 -9.8610078931614920E-01 a        30     0     2     1    10
  8.5705635717233095E-02 a        31     0     2     1    11
 -7.0603900695345789E-01 a        32     0     2     1    12
 -8.3184648995880750E-01 a        33     0     2     1    13
  1.6525875164272388E+00 a        34     0     2     1    14
 -1.7871043096627899E+00 a        35     0     2     1    15
 -1.6051206272133731E+00 a        36     0     2     1    16
  1.6330680705448106E+00 a        37     0     2     1    17
 -3.0175231963467266E+00 a        38     0     2     1    18
  6.6560681940270783E-01 a        39     0     2     1    19
 -1.8440870069294999E+00 a        40     0     2     1    20
 -1.9411716157458661E+00 a        41     0     3     1     1
 -1.6253337755113311E+00 a        42     0     3     1     2
  1.4538583408445703E-02 a        43     0     3     1     3
