################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.8122945871246934E+00 a         1     0     1     1     1
  2.5806292854643075E+01 a         2     0     1     1     2
 -1.2486368267685046E+01 a         3     0     1     1     3
 -8.2593541279273530E-01 a         4     0     1     1     4
 -4.0154064870139701E+00 a         5     0     1     1     5
  4.6356360016282128E-01 a         6     0     1     1     6
  7.7992256992846603E+00 a         7     0     1     1     7
  8.9356741205696100E+00 a         8     0     1     1     8
  3.6093299814884712E+00 a         9     0     1     1     9
  1.8920360366505697E+01 a        10     0     1     1    10
  8.1482066635590673E+00 a        11     0     1     1    11
  7.3296179778683468E-01 a        12     0     1     1    12
  1.7049171709829418E+00 a        13     0     1     1    13
  3.6155519652382524E+00 a        14     0     1     1    14
  1.2740722711945347E+00 a        15     0     1     1    15
  8.3238167495186239E+00 a        16     0     1     1    16
 -8.9935429745928044E+00 a        17     0     1     1    17
  7.4352661877592832E+00 a        18     0     1     1    18
  8.3593067611034204E+00 a        19     0     1     1    19
 -2.2542384027752554E+01 a        20     0     1     1    20
 -8.6625639335211702E+00 a        21     0     2     1     1
 -7.3283967359345246E+00 a        22     0     2     1     2
  5.9638404131973344E+00 a        23     0     2     1     3
 -4.0111769213993096E+00 a        24     0     2     1     4
 -3.2556802213163101E+00 a        25     0     2     1     5
  3.3781502785864026E+00 a        26     0     2     1     6
  4.7149757369574807E+00 a        27     0     2     1     7
 -1.0141570614601294E+01 a        28     0     2     1     8
  1.0474273975608284E+01 a        29     0     2     1     9
  1.4853138275176894E+00 a        30     0     2     1    10
 -3.6128146677565822E+00 a        31     0     2     1    11
 -3.0150580862651255E+00 a        32     0     2     1    12
 -7.2447221022768380E+00 a        33     0     2     1    13
 -9.9185657411037322E+00 a        34     0     2     1    14
 -6.3516706408186296E+00 a        35     0     2     1    15
  3.8009749017910455E+00 a        36     0     2     1    16
  6.9691820063287535E+00 a        37     0     2     1    17
 -1.1871055679136859E+01 a        38     0     2     1    18
 -3.9928368423581002E+00 a        39     0     2     1    19
  1.7444918913352623E+01 a        40     0     2     1    20
 -1.4592952395888950E+01 a        41     0     3     1     1
 -1.0871815918910578E+01 a        42     0     3     1     2
  1.2509325441424762E+01 a        43     0     3     1     3
 -6.4050610252740539E+00 a        44     0     3     1     4
 -1.0230066063582958E+01 a        45     0     3     1     5
  1.1374455778324302E+01 a        46     0     3     1     6
  2.0137253894509367E+01 a        47     0     3     1     7
 -1.3250200829812398E+01 a        48     0     3     1     8
  2.9763162185970393E+00 a        49     0     3     1     9
 -7.7033851154809092E+00 a        50     0     3     1    10
  1.8119764808196412E+00 a        51     0     3     1    11
  4.1965053478684293E+00 a        52     0     3     1    12
  3.7701862483085447E+00 a        53     0     3     1    13
  1.7646142453644569E+00 a        54     0     3     1    14
  1.7824961020144787E+01 a        55     0     3     1    15
 -6.2697885829369371E+00 a        56     0     3     1    16
 -2.9457198707721483E-01 a        57     0     3     1    17
 -1.4029553174466010E+00 a        58     0     3     1    18
  5.0959403309655231E+00 a        59     0     3     1    19
  5.2799156382672727E+00 a        60     0     3     1    20
  1.3692384105643772E+01 a        61     0     4     1     1
  8.9676596040428329E+00 a        62     0     4     1     2
  1.0041423256741934E+01 a        63     0     4     1     3
  2.0298255499930018E+01 a        64     0     4     1     4
 -6.3402180287519734E+00 a        65     0     4     1     5
 -1.1047504654831389E+01 a        66     0     4     1     6
 -1.0915513314782068E+01 a        67     0     4     1     7
  7.1724277996636676E+00 a        68     0     4     1     8
 -2.6559281636640741E+00 a        69     0     4     1     9
  2.1617359098150061E+01 a        70     0     4     1    10
 -6.5328204122215245E+00 a        71     0     4     1    11
