################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.3360772839237756E+00 a         1     0     1     1     1
 -1.0859746900167220E+01 a         2     0     1     1     2
 -2.6336824916647013E+00 a         3     0     1     1     3
  1.2108819226136539E+01 a         4     0     1     1     4
  3.1952619737810726E+00 a         5     0     1     1     5
 -2.3786235451854805E+00 a         6     0     1     1     6
 -1.4710142322860797E+01 a         7     0     1     1     7
 -2.6744285339049654E+00 a         8     0     1     1     8
 -7.4030760216030727E+00 a         9     0     1     1     9
  7.5324546979793867E+00 a        10     0     1     1    10
  2.3804010201544186E+00 a        11     0     1     1    11
  8.8677329565139527E+00 a        12     0     1     1    12
 -2.5819995544192840E+00 a        13     0     1     1    13
  5.6394523217142885E+00 a        14     0     1     1    14
 -5.3336300515373869E-01 a        15     0     1     1    15
  1.0210759528886140E+01 a        16     0     1     1    16
  2.2046103040366148E+01 a        17     0     1     1    17
  7.0389047307376860E+00 a        18     0     1     1    18
  2.0385125701120259E+00 a        19     0     1     1    19
 -4.1236283305456096E+00 a        20     0     1     1    20
 -1.8092743903055418E+01 a        21     0     2     1     1
 -1.7292940416882367E+00 a        22     0     2     1     2
  1.6573509539940883E+01 a        23     0     2     1     3
 -4.0850035703072214E+00 a        24     0     2     1     4
 -1.0074943187736372E+00 a        25     0     2     1     5
  1.4608819833350674E+01 a        26     0     2     1     6
  2.1997808187184180E+01 a        27     0     2     1     7
 -1.1497817542861755E+01 a        28     0     2     1     8
  2.3037316654978706E+00 a        29     0     2     1     9
 -4.4601151990519021E+00 a        30     0     2     1    10
  9.4477812554434970E-01 a        31     0     2     1    11
  5.3279567995578594E+00 a        32     0     2     1    12
  7.3858599451790727E+00 a        33     0     2     1    13
  2.2963464136306708E+00 a        34     0     2     1    14
  2.2224752356239081E+00 a        35     0     2     1    15
 -7.9085375236759150E+00 a        36     0     2     1    16
  4.0812575269016955E+00 a        37     0     2     1    17
 -9.4851155584150226E-01 a        38     0     2     1    18
 -9.7504294161529899E+00 a        39     0     2     1    19
  3.5018458930092784E+00 a        40     0     2     1    20
  2.9192693280109609E+01 a        41     0     3     1     1
  1.3893053106705732E+01 a        42     0     3     1     2
 -6.0981819439235814E+00 a        43     0     3     1     3
