################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         48   6.9954775034651400E-04   1.2060371506914797E-02   3.3514097643738451E-03   2.4454683617705711E-03
         1         49   0.0000000000000000E+00   1.3303765845961621E-03   1.3648303117770486E-04   2.3631086620266867E-04
         1         50   4.2776365527407887E-05   2.3680866181456910E-03   5.2597939132245002E-04   4.5500550105333497E-04
         1         51   1.9855321470513343E-10   4.1673544647629756E-04   2.5035069622978911E-05   4.5870151436612592E-05
         1         52   6.3295964159294368E-08   1.4147265900098067E-03   1.4967124273106041E-04   1.9300196687623293E-04
         1         53   7.5674899756066060E-11   2.7044904707152498E-04   9.5339455708210056E-06   2.3876235890107797E-05
         1         54   0.0000000000000000E+00   1.3066144485398485E-04   1.1527163157224691E-05   1.6786217075578387E-05
         1         55   3.9185993897665657E-08   3.4319147540230478E-04   3.5153306006061568E-05   4.6903172509969046E-05
         1         56   3.1959707375272448E-11   9.7153096137229911E-04   1.2081913957155758E-04   1.3095268259991256E-04
         1         57   1.1900700930829153E-08   4.3267196391877540E-04   5.0781850888659933E-05   6.7775722291908109E-05
         1         58   0.0000000000000000E+00   1.1451923284005451E-04   7.9680177670675148E-06   2.3390602743492939E-05
         1         59   3.1058867987806010E-06   1.2742418299871048E-03   2.3892259814162550E-04   2.3378854924459056E-04
         1         60   3.5443075019186282E-04   7.1346065525386068E-03   1.8459053984523860E-03   1.4188729084589839E-03
         1         61   1.3621308513383408E-06   1.3104576828206307E-03   2.7045271729398806E-04   2.6162682775608209E-04
         1         62   0.0000000000000000E+00   8.0370451610812133E-04   1.7437337709632730E-04   1.3636038386777671E-04
         1         63   3.7804455653874426E-05   1.2235441642730813E-03   3.5566105159003407E-04   2.2881042875544299E-04
         1         64   4.5539688018813294E-04   1.0298957768047248E-02   3.0436124912857723E-03   2.4456937797900967E-03
         1         65   5.0145796058772024E-05   4.8251363934963820E-03   1.0078818523919463E-03   1.0323731093121171E-03
         1         66   0.0000000000000000E+00   1.6091385170486751E-03   3.3459135295484793E-04   2.5119144052961458E-04
         1         67   0.0000000000000000E+00   5.2791741592148533E-04   6.0522988828773617E-05   8.7562252052553335E-05
         1         68   0.0000000000000000E+00   3.1148928996563936E-04   6.8224576449907288E-05   6.0238174146401775E-05
         1         69   3.6789587238471286E-05   1.0039695500009709E-03   2.7031148769256588E-04   1.8127877524793602E-04
         1         70   0.0000000000000000E+00   2.6292865080940133E-04   7.2720438946026941E-05   5.6916363139399155E-05
         1         71   3.8010889017771694E-08   4.3689351127914607E-04   1.2192208606817870E-04   8.7402727242664148E-05
         1         72   7.1174687752186352E-04   3.9267616171838139E-02   7.8083103474119739E-03   5.3646966587713235E-03
         1         73   8.1324010910486535E-09   5.2166246574032364E-03   1.2258562355402329E-03   9.3802801050447103E-04
         1         74   0.0000000000000000E+00   5.9456380834073943E-03   1.2294827490724209E-03   1.3438259386599558E-03
         1         75   1.7472454385692926E-04   6.9002628389100665E-02   9.4932412703893805E-03   9.0789219499084178E-03
         1         76   3.0342487164776912E-06   2.7133393933271042E-02   2.0887955849398210E-03   3.6388828861241645E-03
         1         77   0.0000000000000000E+00   8.5652183396052375E-03   1.3502117409067553E-03   1.5484529197901699E-03
         1         78   0.0000000000000000E+00   3.1464092156680136E-03   2.4569281492956008E-04   4.1994715425456837E-04
         1         79   6.5095085457230842E-07   4.7964668897615007E-03   4.9434776861899280E-04   7.1839607099591699E-04
         1         80   7.7076471467967925E-07   1.2856120565527214E-02   3.1926294301014529E-03   2.4103718596063216E-03
         1         81   5.3372040233792481E-03   9.5603626405682957E-02   1.9997850311379718E-02   1.2538259669947227E-02
         1         82   4.1632134564856383E-08   1.1401816748051007E-02   3.2521309764228681E-03   2.0683728311905493E-03
         1         83   0.0000000000000000E+00   1.0100203237378206E-02   2.7942609260074385E-03   2.3588787128227657E-03
         1         84   3.4081702785753458E-03   1.6346225272461021E-01   3.2027354591418394E-02   2.7018696169905269E-02
         1         85   1.8601917292506157E-05   5.6264502367362766E-02   7.7557860486134377E-03   9.3185962915485615E-03
         1         86   0.0000000000000000E+00   1.9998933639517050E-02   3.9695960812525600E-03   3.3964728743298709E-03
         1         87   1.2134982564382777E-03   5.2487368501490890E-02   1.3045776657587120E-02   8.6245357128300580E-03
         1         88   2.4916642727812463E-05   1.2618083596009010E-02   2.4638862428810848E-03   2.1963436214653817E-03
         1         89   0.0000000000000000E+00   5.3629570952382407E-03   8.9570932953326869E-04   8.6594196595435053E-04
         1         90   1.1177626867922646E-09   8.2812283345614201E-03   8.6850720170630576E-04   1.0111809146375341E-03
         1         91   5.3212253385865002E-12   1.6317052227435285E-03   1.2905862510976135E-04   2.6373185182137598E-04
         1         92   4.6311615232363080E-07   5.1673600500487700E-03   6.1596354613588844E-04   6.9730087731246441E-04
         1         93   9.4779405799048077E-13   1.2784385294819804E-03   3.7436838982782016E-05   8.2434304936305472E-05
         1         94   0.0000000000000000E+00   1.0574740325559066E-03   8.3093379753743804E-05   1.5346589725519363E-04
         1         95   2.3183807239362312E-08   1.8173979157316063E-03   1.6931437316275021E-04   2.5231695953107768E-04
