################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.5769871269829301E-01 a         1     0     1     1     1
 -1.5929907271917296E-01 a         2     0     1     1     2
  9.7878661660842980E-01 a         3     0     1     1     3
 -3.9531513763977777E-01 a         4     0     1     1     4
 -6.4163270567827091E-01 a         5     0     1     1     5
 -1.7882109383684355E-01 a         6     0     1     1     6
 -4.4910736117966343E-01 a         7     0     1     1     7
 -5.8938882438843276E-01 a         8     0     1     1     8
  1.3386814912807932E+00 a         9     0     1     1     9
  1.9790553487561504E+00 a        10     0     1     1    10
 -6.0091961629232071E-01 a        11     0     1     1    11
 -4.6660373863908616E-01 a        12     0     1     1    12
 -1.0434959014408109E+00 a        13     0     1     1    13
  3.0350854751054075E+00 a        14     0     1     1    14
  7.2374335977299198E-01 a        15     0     1     1    15
  1.1035394210445377E+00 a        16     0     1     1    16
 -2.5063953889705597E+00 a        17     0     1     1    17
  4.8314827185400446E+00 a        18     0     1     1    18
  5.2307527787791064E-01 a        19     0     1     1    19
  1.4303942234488132E+00 a        20     0     1     1    20
 -4.0474116047290892E-01 a        21     0     2     1     1
 -1.7053717257521053E+00 a        22     0     2     1     2
 -1.8565389957606493E-01 a        23     0     2     1     3
 -1.2572229179466561E+00 a        24     0     2     1     4
  1.0153288648855112E+00 a        25     0     2     1     5
  5.1255497554732499E-01 a        26     0     2     1     6
  7.1722914166334828E-01 a        27     0     2     1     7
 -4.2461656111565887E-01 a        28     0     2     1     8
 -8.6706973873884829E-01 a        29     0     2     1     9
  7.4685815088574781E-01 a        30     0     2     1    10
  1.5946356149134735E+00 a        31     0     2     1    11
 -6.9716818320904239E-01 a        32     0     2     1    12
 -2.9286813231198865E+00 a        33     0     2     1    13
 -1.4701528930804830E+00 a        34     0     2     1    14
 -8.8444977327561503E-01 a        35     0     2     1    15
 -1.2547614820463254E-01 a        36     0     2     1    16
  6.0772731189453910E-01 a        37     0     2     1    17
  1.4358964138843799E-01 a        38     0     2     1    18
 -1.3644676980669819E+00 a        39     0     2     1    19
 -4.2370488106873055E-01 a        40     0     2     1    20
  7.5554456985128604E-01 a        41     0     3     1     1
