################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3559383864872294E+00 a         1     0     1     1     1
 -6.3077667426920961E-02 a         2     0     1     1     2
 -1.2668634279724593E+00 a         3     0     1     1     3
 -3.6209090726895482E-01 a         4     0     1     1     4
 -2.0318705118061673E+00 a         5     0     1     1     5
  1.3372873506306740E-01 a         6     0     1     1     6
  3.3889633420310311E-01 a         7     0     1     1     7
 -1.2362437127097432E+00 a         8     0     1     1     8
  1.5032964721206252E+00 a         9     0     1     1     9
 -1.4260063284919350E-01 a        10     0     1     1    10
 -3.4353532782435559E-01 a        11     0     1     1    11
  2.2861212705449998E+00 a        12     0     1     1    12
 -1.4532428521298421E-01 a        13     0     1     1    13
 -1.7233239840354542E+00 a        14     0     1     1    14
  1.7246216502161313E+00 a        15     0     1     1    15
  2.0531136404412877E+00 a        16     0     1     1    16
 -1.5825299779890243E+00 a        17     0     1     1    17
 -7.3749971880310761E-01 a        18     0     1     1    18
  2.5011065539903315E-01 a        19     0     1     1    19
  1.4837829799575797E+00 a        20     0     1     1    20
 -2.7662456393888037E+00 a        21     0     2     1     1
 -1.9632431118095104E+00 a        22     0     2     1     2
  3.4415447549781111E-02 a        23     0     2     1     3
  1.2083370343731905E+00 a        24     0     2     1     4
  1.5502459794494685E+00 a        25     0     2     1     5
  3.9248501263074091E+00 a        26     0     2     1     6
 -1.0843125916351595E+00 a        27     0     2     1     7
  1.0621402013609913E+00 a        28     0     2     1     8
  1.6384753423225829E+00 a        29     0     2     1     9
  5.1814353215938178E+00 a        30     0     2     1    10
 -4.9627703730827261E-01 a        31     0     2     1    11
 -3.3528604039076217E+00 a        32     0     2     1    12
  4.1917902075363500E+00 a        33     0     2     1    13
  7.2854135287189550E-02 a        34     0     2     1    14
  1.9829737902139128E+00 a        35     0     2     1    15
 -2.5326899524916463E-01 a        36     0     2     1    16
  1.7680786901573056E+00 a        37     0     2     1    17
 -2.6242108522091989E+00 a        38     0     2     1    18
 -3.8660574903249520E-02 a        39     0     2     1    19
 -9.1892019936201264E-01 a        40     0     2     1    20
 -1.1757412991379399E+00 a        41     0     3     1     1
  1.6309336486078715E-01 a        42     0     3     1     2
  7.9637043274710217E-01 a        43     0     3     1     3
  2.7188503470063147E-01 a        44     0     3     1     4
 -6.7785887304295367E-01 a        45     0     3     1     5
 -8.1737045308404099E-01 a        46     0     3     1     6
  9.7936180584182675E-01 a        47     0     3     1     7
 -3.1317655960059981E-01 a        48     0     3     1     8
  1.7807652933239844E+00 a        49     0     3     1     9
  1.1912605478338991E+00 a        50     0     3     1    10
  1.5129510035233473E+00 a        51     0     3     1    11
 -7.7659722290800526E-01 a        52     0     3     1    12
  2.5804886819340593E+00 a        53     0     3     1    13
 -2.5208904749304883E+00 a        54     0     3     1    14
 -9.3523142128369408E-01 a        55     0     3     1    15
  7.0283816579338299E-01 a        56     0     3     1    16
 -1.8871710176231433E+00 a        57     0     3     1    17
  4.1801966269634122E-01 a        58     0     3     1    18
 -2.5504897399922721E-01 a        59     0     3     1    19
  1.6014808617785092E-01 a        60     0     3     1    20
 -7.4697060997879661E-01 a        61     0     4     1     1
  1.9401616784002602E+00 a        62     0     4     1     2
 -2.1833033240708768E-01 a        63     0     4     1     3
 -2.0692788334582075E+00 a        64     0     4     1     4
 -1.0785188232647858E+00 a        65     0     4     1     5
 -1.5655351796955097E+00 a        66     0     4     1     6
  9.0658537663068006E-01 a        67     0     4     1     7
  1.5167738155000225E+00 a        68     0     4     1     8
  1.1469312543898247E+00 a        69     0     4     1     9
 -1.2127655629299527E+00 a        70     0     4     1    10
  8.6562111623844828E-01 a        71     0     4     1    11
 -2.9578262650336127E+00 a        72     0     4     1    12
  1.1136153568410510E+00 a        73     0     4     1    13
 -7.1860405141155614E-01 a        74     0     4     1    14
 -1.3756113820635517E-02 a        75     0     4     1    15
  8.7412769507098709E-01 a        76     0     4     1    16
  1.7658730802589067E+00 a        77     0     4     1    17
 -4.0991437132001213E-01 a        78     0     4     1    18
  9.1740311215974424E-01 a        79     0     4     1    19
  1.0923053041866291E+00 a        80     0     4     1    20
