################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.4012291823048457E-01 a         1     0     1     1     1
 -2.3102653076800528E-01 a         2     0     1     1     2
  3.9225379308647151E-01 a         3     0     1     1     3
 -1.3895941668540512E+00 a         4     0     1     1     4
  7.0044898415708734E-01 a         5     0     1     1     5
  9.5154592215782841E-01 a         6     0     1     1     6
  1.3144009660730269E+00 a         7     0     1     1     7
 -2.8230720297252332E+00 a         8     0     1     1     8
  8.0215252671381576E-01 a         9     0     1     1     9
 -2.8855106628879668E-01 a        10     0     1     1    10
 -4.7718584766060107E-01 a        11     0     1     1    11
 -2.3068434163913754E-01 a        12     0     1     1    12
  6.0329814082788247E-01 a        13     0     1     1    13
 -1.8311226555946449E+00 a        14     0     1     1    14
 -7.4383929227441270E-01 a        15     0     1     1    15
  1.0631932478087709E+00 a        16     0     1     1    16
 -2.2584552615958428E-01 a        17     0     1     1    17
 -4.4395042226925702E-01 a        18     0     1     1    18
 -1.9487383627139567E+00 a        19     0     1     1    19
  4.0747498594626624E-01 a        20     0     1     1    20
  4.6277461957347843E-01 a        21     0     2     1     1
  9.5512068838486885E-01 a        22     0     2     1     2
 -8.5883292058268912E-01 a        23     0     2     1     3
  2.4230096078001090E-01 a        24     0     2     1     4
 -1.2052279911253005E+00 a        25     0     2     1     5
  1.0123259505995168E+00 a        26     0     2     1     6
 -2.2562937697369629E+00 a        27     0     2     1     7
 -9.0383043452084999E-01 a        28     0     2     1     8
  1.5951075404351394E+00 a        29     0     2     1     9
  9.5093771754538370E-01 a        30     0     2     1    10
  1.3994754583254157E-01 a        31     0     2     1    11
  1.9810512544952823E+00 a        32     0     2     1    12
  5.5113722403158238E-01 a        33     0     2     1    13
  1.8207034895026750E+00 a        34     0     2     1    14
 -9.9824676297214743E-01 a        35     0     2     1    15
 -6.2902594048972227E-01 a        36     0     2     1    16
  1.3394163191082262E+00 a        37     0     2     1    17
 -6.6021661066646020E-01 a        38     0     2     1    18
 -1.4294125177285069E+00 a        39     0     2     1    19
  2.7465669140857831E+00 a        40     0     2     1    20
  2.4295034397007048E-01 a        41     0     3     1     1
  5.7104947758057849E-02 a        42     0     3     1     2
  1.0874634677659060E-01 a        43     0     3     1     3
 -7.5267091718154366E-01 a        44     0     3     1     4
