################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.4132494733669414E-01 a         1     0     1     1     1
  1.5034751663083687E+00 a         2     0     1     1     2
 -2.6046350530481382E-01 a         3     0     1     1     3
  1.4957259112042549E+00 a         4     0     1     1     4
  1.3857269095368570E+00 a         5     0     1     1     5
 -3.0467103422010724E+00 a         6     0     1     1     6
 -1.7226881478933298E+00 a         7     0     1     1     7
  1.0894854458069196E+00 a         8     0     1     1     8
  1.4589512237186204E+00 a         9     0     1     1     9
  3.2322078390783395E+00 a        10     0     1     1    10
 -1.8334497546317683E+00 a        11     0     1     1    11
  1.7980089542698765E+00 a        12     0     1     1    12
  1.8677592827680202E-02 a        13     0     1     1    13
  2.7896006783781874E-01 a        14     0     1     1    14
  2.2909009955227044E+00 a        15     0     1     1    15
 -1.6689316239620648E+00 a        16     0     1     1    16
  2.0590037575984064E+00 a        17     0     1     1    17
  1.2534419261011793E+00 a        18     0     1     1    18
 -2.1573862949568472E+00 a        19     0     1     1    19
  2.9701864360019918E+00 a        20     0     1     1    20
  3.2751990007577576E+00 a        21     0     2     1     1
  9.0012126653313673E-01 a        22     0     2     1     2
  2.0720427892417019E+00 a        23     0     2     1     3
  1.7007791345734247E+00 a        24     0     2     1     4
 -1.4728645205276965E+00 a        25     0     2     1     5
 -1.7596949577370531E+00 a        26     0     2     1     6
  2.9824518530494376E-01 a        27     0     2     1     7
 -1.2991537443959174E+00 a        28     0     2     1     8
  1.7542875726602554E+00 a        29     0     2     1     9
 -6.5257932754136605E-01 a        30     0     2     1    10
 -6.0318244009324629E-01 a        31     0     2     1    11
  7.6492451676204820E-01 a        32     0     2     1    12
 -1.2985544196408297E-01 a        33     0     2     1    13
 -1.4865536322990456E+00 a        34     0     2     1    14
 -3.5575539866056025E+00 a        35     0     2     1    15
  3.2938844560703218E-01 a        36     0     2     1    16
  3.5940301298491457E+00 a        37     0     2     1    17
 -3.6178009974817522E-02 a        38     0     2     1    18
  4.8418476325380372E-01 a        39     0     2     1    19
  2.8318532989072849E+00 a        40     0     2     1    20
  2.7640881310708770E-01 a        41     0     3     1     1
  1.1456072416016547E+00 a        42     0     3     1     2
 -5.1508803419090210E-01 a        43     0     3     1     3
 -2.6287891664279468E+00 a        44     0     3     1     4
 -1.0556257135233993E+00 a        45     0     3     1     5
  7.8085958269686484E-01 a        46     0     3     1     6
 -4.2130399738218277E-01 a        47     0     3     1     7
  2.2410757797050410E-01 a        48     0     3     1     8
  2.6990825488712549E+00 a        49     0     3     1     9
  1.2929712685191741E+00 a        50     0     3     1    10
  4.1418470865143908E-01 a        51     0     3     1    11
  4.3823858935049262E+00 a        52     0     3     1    12
