################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8264691991116031E+00 a         1     0     1     1     1
  2.3847754773764320E+00 a         2     0     1     1     2
  7.0367963157718261E-01 a         3     0     1     1     3
  5.5387848864432909E-01 a         4     0     1     1     4
  2.9197323158121828E+00 a         5     0     1     1     5
 -3.4827258654437737E-01 a         6     0     1     1     6
  7.8553581406393888E-02 a         7     0     1     1     7
  4.8682777379385395E-01 a         8     0     1     1     8
  6.2703232585690971E-01 a         9     0     1     1     9
  2.5097801037252707E+00 a        10     0     1     1    10
 -2.6967965659983171E+00 a        11     0     1     1    11
 -8.6320424969469800E-01 a        12     0     1     1    12
  6.9860748691216512E-01 a        13     0     1     1    13
 -8.8533870161729233E-01 a        14     0     1     1    14
 -3.2082727882272960E-01 a        15     0     1     1    15
  9.5509824411947253E-01 a        16     0     1     1    16
 -6.8057793069755257E-01 a        17     0     1     1    17
 -6.6087203361168312E-01 a        18     0     1     1    18
 -1.7579975056512331E+00 a        19     0     1     1    19
 -3.9726673465060669E+00 a        20     0     1     1    20
  2.2620857429552843E+00 a        21     0     2     1     1
  1.6065014087256548E+00 a        22     0     2     1     2
  3.3110313332355529E-01 a        23     0     2     1     3
 -7.4735474398310228E-02 a        24     0     2     1     4
 -2.0925574314842410E+00 a        25     0     2     1     5
  1.6971353365532130E-01 a        26     0     2     1     6
  1.8598717487446030E+00 a        27     0     2     1     7
  6.1055571749951232E-01 a        28     0     2     1     8
  2.6682600843543867E+00 a        29     0     2     1     9
 -1.0984063031101301E+00 a        30     0     2     1    10
 -3.8590925790704103E+00 a        31     0     2     1    11
 -2.2863766616831008E-01 a        32     0     2     1    12
 -1.6024527399788455E+00 a        33     0     2     1    13
  3.7979661086494859E-01 a        34     0     2     1    14
 -1.0207574387788669E+00 a        35     0     2     1    15
  1.1378870849574010E+00 a        36     0     2     1    16
  9.9108759349086939E-01 a        37     0     2     1    17
  4.7206886599667834E+00 a        38     0     2     1    18
 -1.3111588222263251E+00 a        39     0     2     1    19
 -6.4847211370047708E-01 a        40     0     2     1    20
  3.8087965635305667E+00 a        41     0     3     1     1
 -1.5140923150633234E+00 a        42     0     3     1     2
  1.3901523272095881E+00 a        43     0     3     1     3
  1.9415553707225097E+00 a        44     0     3     1     4
  1.5593155884129628E-01 a        45     0     3     1     5
 -1.1196491827471318E+00 a        46     0     3     1     6
 -4.4520078441640152E+00 a        47     0     3     1     7
  1.3758419994130229E+00 a        48     0     3     1     8
  1.9984700909761060E+00 a        49     0     3     1     9
  1.9254517613028730E+00 a        50     0     3     1    10
 -2.6449084299491799E-01 a        51     0     3     1    11
 -1.8959296764940073E-01 a        52     0     3     1    12
  4.1133575225598629E-01 a        53     0     3     1    13
  2.6893667864896518E+00 a        54     0     3     1    14
  3.7301812549753727E-01 a        55     0     3     1    15
 -2.8267510081737082E+00 a        56     0     3     1    16
  2.6882855262514225E+00 a        57     0     3     1    17
  1.1633699121058139E+00 a        58     0     3     1    18
  1.6513712876703464E+00 a        59     0     3     1    19
  8.3410755570583461E-01 a        60     0     3     1    20
  3.0370769400509362E-01 a        61     0     4     1     1
 -3.9521962166938546E-01 a        62     0     4     1     2
  7.3475518811294327E-01 a        63     0     4     1     3
  2.9936891797267845E-01 a        64     0     4     1     4
  1.4331649177507111E+00 a        65     0     4     1     5
  2.7623808084574109E-01 a        66     0     4     1     6
 -5.7827935639771444E-01 a        67     0     4     1     7
  1.4726195835818274E+00 a        68     0     4     1     8
  1.5284600909805537E+00 a        69     0     4     1     9
  2.1940266308205494E-01 a        70     0     4     1    10
 -4.3105999336370415E-01 a        71     0     4     1    11
  1.8452337115452682E+00 a        72     0     4     1    12
  3.0494633350752940E+00 a        73     0     4     1    13
 -7.8318905930608473E-01 a        74     0     4     1    14
 -9.6066061367592159E-01 a        75     0     4     1    15
 -1.8256333748078828E+00 a        76     0     4     1    16
 -1.4965433530469224E-01 a        77     0     4     1    17
  1.6970622769333493E-01 a        78     0     4     1    18
  1.3987259478608780E+00 a        79     0     4     1    19
  1.4567412007947520E+00 a        80     0     4     1    20
  3.8404269342509606E-01 a        81     0     5     1     1
 -1.3637955830216228E-01 a        82     0     5     1     2
  5.3399695162359051E-01 a        83     0     5     1     3
  1.1090978778974859E-03 a        84     0     5     1     4
  1.1114418245986248E+00 a        85     0     5     1     5
  7.0270517564665202E-01 a        86     0     5     1     6
 -1.7866511170096246E+00 a        87     0     5     1     7
  3.9654405894493133E-01 a        88     0     5     1     8
  1.5864938643367010E+00 a        89     0     5     1     9
  1.7556276237483401E+00 a        90     0     5     1    10
  3.8310731212101856E-01 a        91     0     5     1    11
  1.0483603852682633E+00 a        92     0     5     1    12
  1.8857003142612776E+00 a        93     0     5     1    13
 -1.2661211131161683E+00 a        94     0     5     1    14
 -1.1457625483196010E+00 a        95     0     5     1    15
  3.2774250830638159E+00 a        96     0     5     1    16
 -4.0525647263285997E-01 a        97     0     5     1    17
 -3.4300520260583616E+00 a        98     0     5     1    18
 -1.0354459383043877E+00 a        99     0     5     1    19
 -3.4670749145287166E-01 a       100     0     5     1    20
  6.2989580179513782E-01 a       101     0     6     1     1
 -1.6960128508076999E+00 a       102     0     6     1     2
  7.0631263783522635E-01 a       103     0     6     1     3
  3.7486229055718483E+00 a       104     0     6     1     4
 -5.4032653018235455E-01 a       105     0     6     1     5
  4.9910581605850868E-01 a       106     0     6     1     6
 -2.9407500058143160E-01 a       107     0     6     1     7
