################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6204080758393677E-01 a         1     0     1     1     1
  3.4265197921959838E+00 a         2     0     1     1     2
 -1.7164886228319227E+00 a         3     0     1     1     3
 -3.4411424339317480E+00 a         4     0     1     1     4
 -1.2223104653168442E+00 a         5     0     1     1     5
  6.6744458180193245E-01 a         6     0     1     1     6
 -1.5094038157544911E+00 a         7     0     1     1     7
  8.8299968551441144E-01 a         8     0     1     1     8
 -3.4226071454711011E+00 a         9     0     1     1     9
  1.8658922901733754E+00 a        10     0     1     1    10
 -3.9335829119237650E-02 a        11     0     1     1    11
 -2.1773474989752981E-01 a        12     0     1     1    12
  2.3594690648191918E-01 a        13     0     1     1    13
  4.3182378605662736E-01 a        14     0     1     1    14
  9.3065435103016203E-01 a        15     0     1     1    15
  1.9467177250822105E+00 a        16     0     1     1    16
  7.1589232889329102E-01 a        17     0     1     1    17
  9.9151467520792258E-01 a        18     0     1     1    18
  2.0016228306452550E+00 a        19     0     1     1    19
  6.7962292543339120E-01 a        20     0     1     1    20
 -1.3729031697434655E+00 a        21     0     2     1     1
 -6.3386059919897808E-01 a        22     0     2     1     2
  1.4090431562760748E+00 a        23     0     2     1     3
 -1.8727710554906545E+00 a        24     0     2     1     4
  1.2709577982246656E-01 a        25     0     2     1     5
 -6.9404855056390025E-01 a        26     0     2     1     6
 -9.7741312228416821E-01 a        27     0     2     1     7
 -1.2412162474473480E+00 a        28     0     2     1     8
  3.5329267847963547E-01 a        29     0     2     1     9
  4.6506122076011591E+00 a        30     0     2     1    10
 -2.0954540553048675E+00 a        31     0     2     1    11
 -9.1021414989360705E-01 a        32     0     2     1    12
 -1.4232306081943373E+00 a        33     0     2     1    13
 -4.3074332799070814E-01 a        34     0     2     1    14
 -9.3012463722151972E-01 a        35     0     2     1    15
 -9.3414878453162398E-01 a        36     0     2     1    16
 -8.4193953135507194E-01 a        37     0     2     1    17
 -2.9968125499223458E-01 a        38     0     2     1    18
 -1.3220835449406958E+00 a        39     0     2     1    19
 -6.7824885136611124E-01 a        40     0     2     1    20
 -1.8038792146729057E+00 a        41     0     3     1     1
 -2.1470661410524608E-01 a        42     0     3     1     2
  1.9087717620420283E-01 a        43     0     3     1     3
 -2.6234199491793859E+00 a        44     0     3     1     4
  1.8201860498461460E+00 a        45     0     3     1     5
  2.9498156265081397E+00 a        46     0     3     1     6
 -1.4363906992904993E-01 a        47     0     3     1     7
 -2.3041846291161789E+00 a        48     0     3     1     8
  1.6352134065693980E-01 a        49     0     3     1     9
  2.8309592147358145E+00 a        50     0     3     1    10
  1.9440831601088908E+00 a        51     0     3     1    11
 -2.4088001064601092E-01 a        52     0     3     1    12
  9.2923036176805351E-01 a        53     0     3     1    13
 -5.1609510827538319E-01 a        54     0     3     1    14
  2.9471859711878678E-01 a        55     0     3     1    15
  2.0118436263876904E+00 a        56     0     3     1    16
 -1.3515016728966616E+00 a        57     0     3     1    17
 -1.5848408964393774E+00 a        58     0     3     1    18
  4.1936147818491065E-01 a        59     0     3     1    19
 -2.4758932239335452E+00 a        60     0     3     1    20
  2.0117953064108107E+00 a        61     0     4     1     1
  8.2175465004024606E-01 a        62     0     4     1     2
 -2.6503783234783511E+00 a        63     0     4     1     3
  2.1459689601870373E+00 a        64     0     4     1     4
  2.9931078670580971E+00 a        65     0     4     1     5
  3.4395646154025805E-01 a        66     0     4     1     6
 -7.3480673139554642E-01 a        67     0     4     1     7
 -4.1674928080458934E-01 a        68     0     4     1     8
  1.8226909850254007E+00 a        69     0     4     1     9
  1.3162235701609859E-01 a        70     0     4     1    10
  1.5250986351938753E+00 a        71     0     4     1    11
 -9.0480642471153339E-01 a        72     0     4     1    12
 -2.5800195533502959E+00 a        73     0     4     1    13
 -2.2452545030076125E+00 a        74     0     4     1    14
  4.0221371044151788E-01 a        75     0     4     1    15
 -1.5053835576582044E+00 a        76     0     4     1    16
  3.4812035928113177E-01 a        77     0     4     1    17
  8.6079287609312449E-01 a        78     0     4     1    18
  1.7969552366266726E+00 a        79     0     4     1    19
 -9.0683590766630451E-01 a        80     0     4     1    20
 -4.8195136194961213E-01 a        81     0     5     1     1
 -3.4738411403790842E-01 a        82     0     5     1     2
  6.4315097912619068E-01 a        83     0     5     1     3
 -4.9269143567425910E-01 a        84     0     5     1     4
 -7.3396526284313102E-01 a        85     0     5     1     5
 -6.8985908786340214E-02 a        86     0     5     1     6
 -7.3618157155892827E-01 a        87     0     5     1     7
 -1.2683910967608500E+00 a        88     0     5     1     8
 -3.1367040420201300E+00 a        89     0     5     1     9
  1.7359450478079259E+00 a        90     0     5     1    10
  2.6375819747071594E+00 a        91     0     5     1    11
  2.1089442188217822E+00 a        92     0     5     1    12
 -7.9042058448112185E-01 a        93     0     5     1    13
 -5.8245697166476140E-01 a        94     0     5     1    14
 -1.2932273027263799E+00 a        95     0     5     1    15
  1.8806027472865126E+00 a        96     0     5     1    16
  6.1919788533922127E-01 a        97     0     5     1    17
 -1.9334321629931621E+00 a        98     0     5     1    18
 -1.6164637993481845E+00 a        99     0     5     1    19
  8.6775005343679656E-01 a       100     0     5     1    20
 -8.4622440990745718E-01 a       101     0     6     1     1
  1.1656568436779170E-01 a       102     0     6     1     2
  8.2646190639435224E-01 a       103     0     6     1     3
 -1.2669348046968660E+00 a       104     0     6     1     4
  1.2060728865980466E+00 a       105     0     6     1     5
  1.9088944852723838E-01 a       106     0     6     1     6
 -5.6640254748812546E-01 a       107     0     6     1     7
  2.3836184191416837E-01 a       108     0     6     1     8
  1.2238239287900075E+00 a       109     0     6     1     9
  1.2587261352221204E+00 a       110     0     6     1    10
 -1.4807640803437219E+00 a       111     0     6     1    11
 -7.8221985523432647E-01 a       112     0     6     1    12
  1.4602072281189000E+00 a       113     0     6     1    13
  1.5915881857877898E+00 a       114     0     6     1    14
 -1.2038602534164229E-02 a       115     0     6     1    15
  4.7101265126106895E-01 a       116     0     6     1    16
 -7.1234918969355188E-01 a       117     0     6     1    17
  9.3365101454609734E-01 a       118     0     6     1    18
  2.3254669116941633E+00 a       119     0     6     1    19
  7.0848781574413644E-01 a       120     0     6     1    20
  9.6529286009660431E-01 a       121     0     7     1     1
 -5.4839791960377277E-02 a       122     0     7     1     2
 -2.0692510175879444E+00 a       123     0     7     1     3
  3.0948957114164960E-01 a       124     0     7     1     4
 -4.3778169224902103E-01 a       125     0     7     1     5
  9.4863670270704459E-01 a       126     0     7     1     6
  1.4723489926469604E+00 a       127     0     7     1     7
 -9.9118520324273685E-01 a       128     0     7     1     8
  2.8610635101338353E+00 a       129     0     7     1     9
  7.7478762632299258E-01 a       130     0     7     1    10
 -1.6725247698445549E+00 a       131     0     7     1    11
  1.4237033029098980E-01 a       132     0     7     1    12
