################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.4169888096527083E+00 a         1     0     1     1     1
 -2.5385277273165987E+00 a         2     0     1     1     2
 -1.2542404617203964E+00 a         3     0     1     1     3
 -1.4933580073931354E+00 a         4     0     1     1     4
 -5.1505209571731596E+00 a         5     0     1     1     5
 -3.1315363201938384E-01 a         6     0     1     1     6
 -1.5033122890735964E-01 a         7     0     1     1     7
  5.1121834819861722E-01 a         8     0     1     1     8
 -2.7419234718494208E+00 a         9     0     1     1     9
 -4.7251960267628895E-01 a        10     0     1     1    10
  2.9440463738609566E+00 a        11     0     1     1    11
  1.5395334046137599E+00 a        12     0     1     1    12
 -1.8375298860759648E+00 a        13     0     1     1    13
  1.6176054112361211E+00 a        14     0     1     1    14
 -6.0120990574625290E+00 a        15     0     1     1    15
 -2.7911084141865032E+00 a        16     0     1     1    16
 -3.3450680624153240E+00 a        17     0     1     1    17
 -3.6965533456441330E-01 a        18     0     1     1    18
  1.9361702672929366E+00 a        19     0     1     1    19
  8.3909398176947958E-01 a        20     0     1     1    20
 -6.7884839600780253E+00 a        21     0     2     1     1
  3.1793434711551853E+00 a        22     0     2     1     2
 -1.1285605117281068E-01 a        23     0     2     1     3
  4.0582922719728198E-01 a        24     0     2     1     4
  1.8000189952119585E+00 a        25     0     2     1     5
  5.5761831911227877E-01 a        26     0     2     1     6
  2.1165107411209920E+00 a        27     0     2     1     7
  2.8281916513726014E-02 a        28     0     2     1     8
  1.5856868980770487E+00 a        29     0     2     1     9
 -7.1339745145360012E-01 a        30     0     2     1    10
 -6.3694932305662277E-01 a        31     0     2     1    11
 -1.4901367403997030E+00 a        32     0     2     1    12
 -2.5707218445042441E+00 a        33     0     2     1    13
  2.2557224544701517E+00 a        34     0     2     1    14
  3.5348750350486913E-01 a        35     0     2     1    15
 -1.7760064543096754E+00 a        36     0     2     1    16
  2.1188930848938098E-01 a        37     0     2     1    17
 -1.5433568256957271E+00 a        38     0     2     1    18
 -1.7738631306281714E+00 a        39     0     2     1    19
 -1.7287743421696800E+00 a        40     0     2     1    20
  1.6657529096866555E+00 a        41     0     3     1     1
  9.1105992170237415E-01 a        42     0     3     1     2
 -1.6094870510114864E-02 a        43     0     3     1     3
 -5.0961714127928652E-02 a        44     0     3     1     4
 -2.4939880899109852E+00 a        45     0     3     1     5
  2.4326003342902620E+00 a        46     0     3     1     6
 -3.7448430359937257E+00 a        47     0     3     1     7
 -2.2236405647391355E+00 a        48     0     3     1     8
 -3.0138070491098334E-01 a        49     0     3     1     9
  9.0553881063784591E-01 a        50     0     3     1    10
 -1.4953442197083613E+00 a        51     0     3     1    11
  2.3851790945670834E+00 a        52     0     3     1    12
 -2.9951910477403736E+00 a        53     0     3     1    13
 -3.2792002819359584E-01 a        54     0     3     1    14
  3.3202482668852229E-01 a        55     0     3     1    15
  1.1189049616418305E+00 a        56     0     3     1    16
 -1.3549043352454402E+00 a        57     0     3     1    17
  3.1728190784204817E+00 a        58     0     3     1    18
 -6.5916604704525383E-01 a        59     0     3     1    19
  2.5432578788533808E+00 a        60     0     3     1    20
 -1.7148853136262676E+00 a        61     0     4     1     1
  2.1912671380510623E-01 a        62     0     4     1     2
 -1.0329314559124552E+00 a        63     0     4     1     3
 -5.7683477806565880E-02 a        64     0     4     1     4
  3.8393876054886328E-01 a        65     0     4     1     5
  1.8708197358903889E+00 a        66     0     4     1     6
  5.5428357601873768E-01 a        67     0     4     1     7
  8.7176410437118579E-01 a        68     0     4     1     8
  1.6509204812583633E+00 a        69     0     4     1     9
  1.5361509588943574E+00 a        70     0     4     1    10
  8.1093259520950187E-02 a        71     0     4     1    11
 -1.8643885732307026E+00 a        72     0     4     1    12
  2.1621629657063574E-03 a        73     0     4     1    13
  1.9846107379411884E+00 a        74     0     4     1    14
 -1.5782136637671658E+00 a        75     0     4     1    15
  2.3634326483414214E-01 a        76     0     4     1    16
  9.9190928090624664E-01 a        77     0     4     1    17
  3.7691469511575271E+00 a        78     0     4     1    18
  2.6916767380281259E+00 a        79     0     4     1    19
  1.6241986132460717E+00 a        80     0     4     1    20
  2.5565527555139398E+00 a        81     0     5     1     1
 -2.1116853284873613E+00 a        82     0     5     1     2
 -1.4227169488588687E+00 a        83     0     5     1     3
 -2.2311450458946325E-01 a        84     0     5     1     4
  7.2881785440323965E-01 a        85     0     5     1     5
  2.2207325209608504E+00 a        86     0     5     1     6
 -1.9790703510160357E+00 a        87     0     5     1     7
 -4.0316443362619653E-01 a        88     0     5     1     8
  7.9187663566448074E-01 a        89     0     5     1     9
  1.1114786735540122E-01 a        90     0     5     1    10
 -7.2228195921813354E-01 a        91     0     5     1    11
  2.8165805745015224E+00 a        92     0     5     1    12
 -1.8212199611252016E+00 a        93     0     5     1    13
  1.7963209326608485E+00 a        94     0     5     1    14
  2.1388545783114554E+00 a        95     0     5     1    15
 -1.1514280677832950E-01 a        96     0     5     1    16
 -6.6580314767620064E-01 a        97     0     5     1    17
 -1.5905259800899016E+00 a        98     0     5     1    18
  3.8498353760866237E+00 a        99     0     5     1    19
  4.0207041644065837E+00 a       100     0     5     1    20
  5.8423766804537747E-01 a       101     0     6     1     1
 -1.4524912552041738E+00 a       102     0     6     1     2
 -1.3003448157775224E-01 a       103     0     6     1     3
  4.5560631842033905E-01 a       104     0     6     1     4
  1.6528645964838476E-01 a       105     0     6     1     5
  8.6882825381607590E-02 a       106     0     6     1     6
  5.8101885490775129E-01 a       107     0     6     1     7
 -1.4823283171886399E+00 a       108     0     6     1     8
  1.0558130602016726E-01 a       109     0     6     1     9
 -2.6082981511280283E+00 a       110     0     6     1    10
 -2.1075790641557739E+00 a       111     0     6     1    11
  3.3381107384546769E+00 a       112     0     6     1    12
 -1.5380909485295557E-01 a       113     0     6     1    13
 -7.9021893411681643E-01 a       114     0     6     1    14
 -3.3302133517497228E+00 a       115     0     6     1    15
 -9.0697869791997887E-01 a       116     0     6     1    16
 -3.1594611854623017E-01 a       117     0     6     1    17
  6.7919487902869669E-01 a       118     0     6     1    18
  3.6757095026355842E+00 a       119     0     6     1    19
 -2.2362708375901414E+00 a       120     0     6     1    20
 -1.5445966130597266E+00 a       121     0     7     1     1
  1.0458037371209643E+00 a       122     0     7     1     2
 -1.0864449734118675E+00 a       123     0     7     1     3
 -3.5099135128132013E+00 a       124     0     7     1     4
  3.5563149824578306E+00 a       125     0     7     1     5
 -2.6297754713378576E+00 a       126     0     7     1     6
  1.1420116225240236E-01 a       127     0     7     1     7
  1.1601000075521009E+00 a       128     0     7     1     8
 -1.4391958227926864E+00 a       129     0     7     1     9
  5.7976579230545000E-01 a       130     0     7     1    10
 -5.6055293054682509E-01 a       131     0     7     1    11
 -5.2707485624476691E-01 a       132     0     7     1    12
  7.7512048444618642E-01 a       133     0     7     1    13
 -2.0664164694303455E+00 a       134     0     7     1    14
  8.3762603039513472E-01 a       135     0     7     1    15
  2.6992112018550701E-01 a       136     0     7     1    16
  4.9870832583923758E-01 a       137     0     7     1    17
  9.1174383966965344E-01 a       138     0     7     1    18
  8.8558581290370519E-01 a       139     0     7     1    19
 -3.9100864040248995E-01 a       140     0     7     1    20
 -1.7558351505048899E+00 a       141     0     8     1     1
  6.7484068682157450E-01 a       142     0     8     1     2
  8.7881080604923334E-01 a       143     0     8     1     3
  1.8315700046047827E+00 a       144     0     8     1     4
 -1.6585310129701358E-01 a       145     0     8     1     5
 -9.6391357838040392E-01 a       146     0     8     1     6
  1.2990039401388056E+00 a       147     0     8     1     7
 -3.1354010381992709E-01 a       148     0     8     1     8
  6.7218352864780950E-01 a       149     0     8     1     9
  1.3272177041654531E+00 a       150     0     8     1    10
 -2.6132969867047479E-01 a       151     0     8     1    11
 -1.2990143455522796E+00 a       152     0     8     1    12
  4.1146254748852401E-01 a       153     0     8     1    13
 -1.8879198306427991E+00 a       154     0     8     1    14
 -1.8795757631850024E-01 a       155     0     8     1    15
 -2.7066967799708865E+00 a       156     0     8     1    16
  9.9579421991030614E-01 a       157     0     8     1    17
  2.0285778088821300E+00 a       158     0     8     1    18
  1.9932846154864714E+00 a       159     0     8     1    19
  3.8283905616389760E+00 a       160     0     8     1    20
  1.2393978684140270E+00 a       161     0     9     1     1
 -3.4001786519716659E-01 a       162     0     9     1     2
 -1.1111888841409130E+00 a       163     0     9     1     3
 -4.5029387725762121E-01 a       164     0     9     1     4
 -2.4211466778203490E+00 a       165     0     9     1     5
  1.6781520521661145E-01 a       166     0     9     1     6
  1.7326086547127117E+00 a       167     0     9     1     7
  1.2545327069225445E+00 a       168     0     9     1     8
  3.6572599788957810E-01 a       169     0     9     1     9
  3.9625588218286940E+00 a       170     0     9     1    10
 -9.2136214196267241E-01 a       171     0     9     1    11
 -2.5700281968627796E+00 a       172     0     9     1    12
 -1.0960414140796535E+00 a       173     0     9     1    13
 -6.1270683401880266E-01 a       174     0     9     1    14
 -9.3538854566809038E-01 a       175     0     9     1    15
  1.3100819875583110E+00 a       176     0     9     1    16
  1.8744085626952505E+00 a       177     0     9     1    17
  9.4108088797493250E-01 a       178     0     9     1    18
  2.6329917615663403E+00 a       179     0     9     1    19
 -1.8446534306270397E+00 a       180     0     9     1    20
  3.8295073920836104E-01 a       181     0    10     1     1
 -9.4099219272294909E-01 a       182     0    10     1     2
  3.5132774190692939E-01 a       183     0    10     1     3
 -3.4368894705780857E+00 a       184     0    10     1     4
  3.1986629733067473E-01 a       185     0    10     1     5
  2.1309066367266700E+00 a       186     0    10     1     6
  2.4323405744039710E+00 a       187     0    10     1     7
  3.4461289373452308E-01 a       188     0    10     1     8
 -2.4495054724860394E+00 a       189     0    10     1     9
  2.1364612048705864E+00 a       190     0    10     1    10
 -7.7670939030514075E-01 a       191     0    10     1    11
 -1.6484755595356397E+00 a       192     0    10     1    12
  2.4980664622864870E+00 a       193     0    10     1    13
 -1.2797088438773255E-01 a       194     0    10     1    14
  1.0815735556433050E+00 a       195     0    10     1    15
  1.1275409177937072E+00 a       196     0    10     1    16
 -2.9218403244929876E+00 a       197     0    10     1    17
  2.1324114592974674E+00 a       198     0    10     1    18
  2.1201679941125473E-01 a       199     0    10     1    19
  1.1625175149098668E+00 a       200     0    10     1    20
  8.9100267955987841E-02 a       201     0    11     1     1
  3.6123576778131428E+00 a       202     0    11     1     2
  1.8948473433803050E+00 a       203     0    11     1     3
 -5.2091790731254584E-01 a       204     0    11     1     4
  8.7092996400139455E-01 a       205     0    11     1     5
 -3.3052304552732776E+00 a       206     0    11     1     6
 -5.1693253042282483E-01 a       207     0    11     1     7
  1.3441970801098604E+00 a       208     0    11     1     8
  3.0075763913343398E+00 a       209     0    11     1     9
 -2.2081092605009722E+00 a       210     0    11     1    10
  6.5820606911684920E-01 a       211     0    11     1    11
 -1.1624162448255708E+00 a       212     0    11     1    12
 -2.2090303115530993E-02 a       213     0    11     1    13
 -3.6335532248050700E-01 a       214     0    11     1    14
 -8.1787832235790603E-01 a       215     0    11     1    15
 -1.0767205008706096E+00 a       216     0    11     1    16
  5.6701341237644176E-01 a       217     0    11     1    17
 -1.1405286550490841E+00 a       218     0    11     1    18
  3.3902116793439694E+00 a       219     0    11     1    19
 -3.4387306873149981E-01 a       220     0    11     1    20
  1.1715432528274988E-01 a       221     0    12     1     1
  2.2153622964054165E+00 a       222     0    12     1     2
 -4.3135066165265563E+00 a       223     0    12     1     3
 -9.9667550610130307E-01 a       224     0    12     1     4
  1.9863745256659153E+00 a       225     0    12     1     5
  1.5954737623521265E+00 a       226     0    12     1     6
 -2.4534676789564411E-01 a       227     0    12     1     7
 -1.6747336571937410E+00 a       228     0    12     1     8
 -1.8887264018573811E+00 a       229     0    12     1     9
  1.1743469553312764E+00 a       230     0    12     1    10
 -1.8146031812915799E+00 a       231     0    12     1    11
 -1.1230295450513996E+00 a       232     0    12     1    12
 -8.6189650882324248E-02 a       233     0    12     1    13
 -1.4176791180961821E+00 a       234     0    12     1    14
  3.8217058596367131E+00 a       235     0    12     1    15
 -2.4979316686971251E+00 a       236     0    12     1    16
 -5.8452975123415229E-01 a       237     0    12     1    17
 -1.7635785071935806E-01 a       238     0    12     1    18
  6.8454596021631220E-01 a       239     0    12     1    19
 -3.3151974680876104E+00 a       240     0    12     1    20
  2.9168286920522501E-01 a       241     0    13     1     1
 -1.8757482491736881E+00 a       242     0    13     1     2
  8.6539764412415654E-01 a       243     0    13     1     3
 -4.8147641699457783E-01 a       244     0    13     1     4
 -4.5521359584901389E-02 a       245     0    13     1     5
  6.3123438328908310E-01 a       246     0    13     1     6
 -3.3625947707829418E-01 a       247     0    13     1     7
  1.7722223782157456E+00 a       248     0    13     1     8
 -1.2321765091103865E-01 a       249     0    13     1     9
  5.0325427591105969E+00 a       250     0    13     1    10
 -1.3054522047185093E+00 a       251     0    13     1    11
 -2.1192369841459864E+00 a       252     0    13     1    12
 -4.2448412286311188E-01 a       253     0    13     1    13
 -1.3556570069475729E+00 a       254     0    13     1    14
 -4.4214440026874211E+00 a       255     0    13     1    15
  5.8963591951101790E-01 a       256     0    13     1    16
  2.7546314519369299E+00 a       257     0    13     1    17
  2.8287426193537335E-01 a       258     0    13     1    18
 -3.4847303561665091E+00 a       259     0    13     1    19
  5.4916553730825265E-03 a       260     0    13     1    20
  1.1492979172923832E+00 a       261     0    14     1     1
  5.7731873893410934E-01 a       262     0    14     1     2
 -2.6301174192772696E+00 a       263     0    14     1     3
 -1.6375748829873307E+00 a       264     0    14     1     4
 -2.8455984982661917E+00 a       265     0    14     1     5
 -1.2730547557757119E+00 a       266     0    14     1     6
 -6.0425147940524904E-01 a       267     0    14     1     7
  1.4127273760513046E+00 a       268     0    14     1     8
 -5.8916077960982605E-01 a       269     0    14     1     9
 -1.4474537559741858E+00 a       270     0    14     1    10
  9.4731314077953821E-01 a       271     0    14     1    11
 -1.5474648006987448E+00 a       272     0    14     1    12
  1.6955886363138724E+00 a       273     0    14     1    13
  9.2003251004078190E-01 a       274     0    14     1    14
 -4.9216504676923989E-01 a       275     0    14     1    15
  2.1478111759415812E+00 a       276     0    14     1    16
 -1.6384690897524685E+00 a       277     0    14     1    17
 -3.9614808943515639E-01 a       278     0    14     1    18
 -7.4410968097154129E-01 a       279     0    14     1    19
  1.8267105072429152E-01 a       280     0    14     1    20
 -1.1470428972031085E-01 a       281     0    15     1     1
 -2.8167379148336416E+00 a       282     0    15     1     2
 -1.5287288540043240E+00 a       283     0    15     1     3
 -4.0584472394442062E-01 a       284     0    15     1     4
  7.7837239022734039E-01 a       285     0    15     1     5
  3.3645605713138806E+00 a       286     0    15     1     6
  1.6538104111921950E+00 a       287     0    15     1     7
  1.1696764241067759E+00 a       288     0    15     1     8
  4.3568402838083413E+00 a       289     0    15     1     9
  7.6815755248544548E-01 a       290     0    15     1    10
 -2.5505454791544251E+00 a       291     0    15     1    11
  2.1027470710938490E-01 a       292     0    15     1    12
  1.5215455794226549E+00 a       293     0    15     1    13
 -6.2228797970554486E-02 a       294     0    15     1    14
 -2.3513480299216467E+00 a       295     0    15     1    15
 -1.7925468139229035E+00 a       296     0    15     1    16
  1.5324252833983176E+00 a       297     0    15     1    17
 -3.1263259509031888E-01 a       298     0    15     1    18
 -4.9851765512021107E-01 a       299     0    15     1    19
  3.0045870218672682E-01 a       300     0    15     1    20
  1.5313540621992443E+00 a       301     0    16     1     1
 -3.8401739259737369E+00 a       302     0    16     1     2
 -2.7181226146651633E-01 a       303     0    16     1     3
  1.0095578321955943E+00 a       304     0    16     1     4
 -1.6247578800605281E-01 a       305     0    16     1     5
 -6.5802737941142098E-01 a       306     0    16     1     6
 -2.9357365481044777E+00 a       307     0    16     1     7
 -1.3359818902894183E+00 a       308     0    16     1     8
 -8.7348830573747482E-01 a       309     0    16     1     9
  2.4024604236952524E-01 a       310     0    16     1    10
 -3.8817979704031480E-01 a       311     0    16     1    11
  2.3016002814052003E-01 a       312     0    16     1    12
  2.5336013409690592E+00 a       313     0    16     1    13
  3.2703767530962558E-01 a       314     0    16     1    14
 -4.9738365409715186E+00 a       315     0    16     1    15
  3.9142761584763526E+00 a       316     0    16     1    16
 -2.0807690646664145E+00 a       317     0    16     1    17
 -9.0635124266873857E-01 a       318     0    16     1    18
 -3.5218482106096727E+00 a       319     0    16     1    19
 -1.3866306193022770E+00 a       320     0    16     1    20
 -4.0221905489329153E+00 a       321     0    17     1     1
 -1.5002931318524013E+00 a       322     0    17     1     2
  2.6113240570110308E-01 a       323     0    17     1     3
  5.5967572081982102E-02 a       324     0    17     1     4
  3.1684912093117599E+00 a       325     0    17     1     5
  2.6647030686280571E-01 a       326     0    17     1     6
 -2.0076436024281685E+00 a       327     0    17     1     7
 -2.1671161618122250E+00 a       328     0    17     1     8
 -1.4983905807874243E+00 a       329     0    17     1     9
 -3.3661850970999385E+00 a       330     0    17     1    10
  2.2546179944441844E+00 a       331     0    17     1    11
  2.2901811324436392E+00 a       332     0    17     1    12
  3.0306363387191166E+00 a       333     0    17     1    13
  1.6494147967574688E+00 a       334     0    17     1    14
 -1.8667274166313710E+00 a       335     0    17     1    15
 -2.1253089212368002E+00 a       336     0    17     1    16
  1.0926126033810310E-01 a       337     0    17     1    17
 -3.3656934328215455E+00 a       338     0    17     1    18
  3.4891272681043151E+00 a       339     0    17     1    19
  3.2848727938692607E-01 a       340     0    17     1    20
  1.3597765407050383E-01 a       341     0    18     1     1
  1.5120811099614426E+00 a       342     0    18     1     2
 -2.7806336327661296E+00 a       343     0    18     1     3
 -1.9866751270685763E+00 a       344     0    18     1     4
  4.0411713916736626E-02 a       345     0    18     1     5
  4.2506747263607325E+00 a       346     0    18     1     6
  4.7596636992049444E+00 a       347     0    18     1     7
  9.4330389296380968E-01 a       348     0    18     1     8
 -1.2975220862066916E+00 a       349     0    18     1     9
  8.3565119379166408E-01 a       350     0    18     1    10
 -1.6667470615575115E+00 a       351     0    18     1    11
  1.6759581453057466E+00 a       352     0    18     1    12
 -2.2830654424741246E+00 a       353     0    18     1    13
  2.0712781017357900E+00 a       354     0    18     1    14
 -4.0473058092172215E-01 a       355     0    18     1    15
 -1.7325409542592172E+00 a       356     0    18     1    16
 -6.2658285434466823E+00 a       357     0    18     1    17
 -8.5617131776155109E-01 a       358     0    18     1    18
  1.1695246530712242E+00 a       359     0    18     1    19
  3.0878883442685177E+00 a       360     0    18     1    20
  3.2709056983745119E+00 a       361     0    19     1     1
 -2.6436274114172864E+00 a       362     0    19     1     2
  7.0782545174128164E-01 a       363     0    19     1     3
 -4.8805061235793937E-02 a       364     0    19     1     4
 -1.9135626983455006E-01 a       365     0    19     1     5
 -2.0320193372731463E-01 a       366     0    19     1     6
 -2.1185339529108616E+00 a       367     0    19     1     7
 -1.8590670278337404E+00 a       368     0    19     1     8
  1.0791831880458105E+00 a       369     0    19     1     9
 -1.3756656804226126E+00 a       370     0    19     1    10
  9.2744854902152507E-01 a       371     0    19     1    11
 -3.1421166285586959E+00 a       372     0    19     1    12
 -5.4031021811132407E-01 a       373     0    19     1    13
  3.1098958373677048E+00 a       374     0    19     1    14
  2.5927944192750203E-02 a       375     0    19     1    15
 -6.9345019962527765E-01 a       376     0    19     1    16
  1.8585729587844387E-02 a       377     0    19     1    17
 -6.8233794200117748E-01 a       378     0    19     1    18
 -2.0357230458888564E-01 a       379     0    19     1    19
  2.3510919409991384E+00 a       380     0    19     1    20
 -1.1148145236599596E+00 a       381     0    20     1     1
  1.4510012805697268E+00 a       382     0    20     1     2
 -1.6139040149173369E+00 a       383     0    20     1     3
  2.2332779467428652E+00 a       384     0    20     1     4
  3.8148206706002807E+00 a       385     0    20     1     5
 -2.1842457675515705E+00 a       386     0    20     1     6
  3.0906242189291569E-02 a       387     0    20     1     7
  1.6733270681613939E+00 a       388     0    20     1     8
 -2.4168899944442095E+00 a       389     0    20     1     9
  2.2172615950474706E-01 a       390     0    20     1    10
 -5.6527656231039747E-01 a       391     0    20     1    11
 -4.0368513611724754E+00 a       392     0    20     1    12
 -1.5716302498042494E+00 a       393     0    20     1    13
  1.9090945972808868E+00 a       394     0    20     1    14
  6.6339829689470819E-01 a       395     0    20     1    15
  2.1429803787644377E+00 a       396     0    20     1    16
 -5.0140392223611896E-01 a       397     0    20     1    17
  3.0390368159017062E-01 a       398     0    20     1    18
  6.6842568475050979E-01 a       399     0    20     1    19
  1.1844641953614476E+00 a       400     0    20     1    20
 -3.4332268501535754E+00 a       401     0    21     1     1
 -1.5197309566658610E+00 a       402     0    21     1     2
  2.6244042341146474E+00 a       403     0    21     1     3
 -1.5404395850398249E+00 a       404     0    21     1     4
 -9.2152139871816405E-02 a       405     0    21     1     5
 -3.7316614805853510E+00 a       406     0    21     1     6
 -2.4395934617699266E+00 a       407     0    21     1     7
  8.2024407853331749E-01 a       408     0    21     1     8
 -2.4642087846370724E+00 a       409     0    21     1     9
  6.5469351731803127E-01 a       410     0    21     1    10
 -1.8165106895526015E+00 a       411     0    21     1    11
  8.8815970170466807E-01 a       412     0    21     1    12
  2.2227940395298322E+00 a       413     0    21     1    13
 -3.3745782181212509E+00 a       414     0    21     1    14
  1.6021474521083372E+00 a       415     0    21     1    15
 -4.4378903511750856E-01 a       416     0    21     1    16
  8.9747556939777806E-01 a       417     0    21     1    17
  1.9557374905252611E+00 a       418     0    21     1    18
  2.5298016663779985E+00 a       419     0    21     1    19
 -1.7801833221310064E+00 a       420     0    21     1    20
 -2.9133957379244984E+00 a       421     0    22     1     1
  1.7735125765366968E+00 a       422     0    22     1     2
 -7.1241414071905984E-01 a       423     0    22     1     3
 -7.9638370771393463E-01 a       424     0    22     1     4
 -1.1067256946826316E+00 a       425     0    22     1     5
 -4.2155299988359669E+00 a       426     0    22     1     6
  1.6030293179543309E+00 a       427     0    22     1     7
 -7.1742703006743314E-01 a       428     0    22     1     8
  1.2831337057730736E+00 a       429     0    22     1     9
  3.3467040169102420E+00 a       430     0    22     1    10
 -6.6958783117721665E-01 a       431     0    22     1    11
 -3.6434412894630066E+00 a       432     0    22     1    12
  1.8786491402219976E+00 a       433     0    22     1    13
 -2.5709455661056684E-02 a       434     0    22     1    14
  1.1765403502504042E+00 a       435     0    22     1    15
  3.7392288154946368E-01 a       436     0    22     1    16
 -2.6993668393278676E+00 a       437     0    22     1    17
  1.8539487578623215E+00 a       438     0    22     1    18
 -2.1183838934718846E+00 a       439     0    22     1    19
  1.9535896824906542E+00 a       440     0    22     1    20
  1.0174963548033360E+00 a       441     0    23     1     1
 -2.1005046349613492E+00 a       442     0    23     1     2
  1.4188273367150694E-01 a       443     0    23     1     3
 -5.7668252973222756E-01 a       444     0    23     1     4
 -1.1675350366912098E+00 a       445     0    23     1     5
 -3.4503600556892211E-01 a       446     0    23     1     6
 -1.4241768727175703E+00 a       447     0    23     1     7
  9.0510474121166351E-01 a       448     0    23     1     8
 -1.1891626177833250E+00 a       449     0    23     1     9
 -2.5371151946626052E+00 a       450     0    23     1    10
  1.4598759998300584E-01 a       451     0    23     1    11
  9.8494377823641927E-02 a       452     0    23     1    12
 -1.6820766205920827E+00 a       453     0    23     1    13
  4.0913633154664475E-01 a       454     0    23     1    14
  7.7187440790999942E-02 a       455     0    23     1    15
 -1.0010091874898925E+00 a       456     0    23     1    16
 -3.0677793374172019E-01 a       457     0    23     1    17
  2.7004413330198114E+00 a       458     0    23     1    18
 -5.1006632795722977E+00 a       459     0    23     1    19
 -3.6739469385091845E+00 a       460     0    23     1    20
 -4.1904853617101839E-01 a       461     0    24     1     1
  5.3232204639691494E-01 a       462     0    24     1     2
 -1.8017891180924448E+00 a       463     0    24     1     3
  5.2032080533174685E-01 a       464     0    24     1     4
 -8.5627079319507626E-01 a       465     0    24     1     5
