################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2201518433207412E+00 a         1     0     1     1     1
  1.6930016734828928E+00 a         2     0     1     1     2
 -1.3877344027730163E+00 a         3     0     1     1     3
  1.5638364024350275E+00 a         4     0     1     1     4
 -3.5615982052241346E-01 a         5     0     1     1     5
 -2.6853562852110374E-01 a         6     0     1     1     6
  8.4221647647631337E-01 a         7     0     1     1     7
 -1.1006497786837819E+00 a         8     0     1     1     8
  8.2645717401751373E-01 a         9     0     1     1     9
 -1.0119452397116811E-01 a        10     0     1     1    10
 -7.6766151550853159E-02 a        11     0     1     1    11
 -3.3400331246182274E-01 a        12     0     1     1    12
 -1.1967896527297477E+00 a        13     0     1     1    13
 -6.9602882101900687E-01 a        14     0     1     1    14
  4.4400070969595118E-01 a        15     0     1     1    15
  3.7911838774933075E+00 a        16     0     1     1    16
 -2.5683114710303796E+00 a        17     0     1     1    17
 -2.9506594851941870E+00 a        18     0     1     1    18
  1.3511388310368571E+00 a        19     0     1     1    19
 -1.2475817762050558E+00 a        20     0     1     1    20
  4.0510800268791619E-01 a        21     0     2     1     1
  3.2481027513581719E+00 a        22     0     2     1     2
  7.6428418132108022E-01 a        23     0     2     1     3
 -1.3734433663950125E+00 a        24     0     2     1     4
 -1.7247882690635883E+00 a        25     0     2     1     5
 -3.5488049794605464E-01 a        26     0     2     1     6
  2.1503892305868892E+00 a        27     0     2     1     7
 -7.3534881302453570E-01 a        28     0     2     1     8
  1.1377802115319222E+00 a        29     0     2     1     9
 -8.7927198122164674E-01 a        30     0     2     1    10
 -8.2553059765296244E-01 a        31     0     2     1    11
 -1.4691268690723760E+00 a        32     0     2     1    12
  5.5396719359916746E-01 a        33     0     2     1    13
 -5.2472164260898169E-01 a        34     0     2     1    14
 -5.7229188332040248E-01 a        35     0     2     1    15
 -3.7843208152023350E-01 a        36     0     2     1    16
  1.0944715100237528E+00 a        37     0     2     1    17
  7.7445406879233492E-01 a        38     0     2     1    18
 -6.0502519960425782E-01 a        39     0     2     1    19
 -1.0335995567729008E+00 a        40     0     2     1    20
 -4.3283853138584298E+00 a        41     0     3     1     1
  3.0699660346691471E-01 a        42     0     3     1     2
 -4.6757867432219831E+00 a        43     0     3     1     3
  4.6851109211401304E-01 a        44     0     3     1     4
 -5.5497296618249126E-01 a        45     0     3     1     5
  3.8834033091150488E-01 a        46     0     3     1     6
 -3.2269357236647078E-01 a        47     0     3     1     7
  1.0825237282374081E+00 a        48     0     3     1     8
 -6.5728371010977982E-01 a        49     0     3     1     9
  5.3497834888206042E-01 a        50     0     3     1    10
  1.4911097000782079E+00 a        51     0     3     1    11
 -3.0714617892633594E-01 a        52     0     3     1    12
 -7.2390314269935829E-01 a        53     0     3     1    13
 -1.3464837369914779E+00 a        54     0     3     1    14
 -1.3952422496046160E-01 a        55     0     3     1    15
  9.8827948997847770E-01 a        56     0     3     1    16
 -1.1961931063657729E+00 a        57     0     3     1    17
  2.3256355699938394E+00 a        58     0     3     1    18
 -8.9708430679180551E-01 a        59     0     3     1    19
  8.6804257491667125E-01 a        60     0     3     1    20
 -1.6203842541718345E+00 a        61     0     4     1     1
 -1.0639329337867169E+00 a        62     0     4     1     2
 -1.7553944135027003E-01 a        63     0     4     1     3
  2.9897703711759958E+00 a        64     0     4     1     4
  1.0573838485064113E+00 a        65     0     4     1     5
  2.3651949466861124E+00 a        66     0     4     1     6
 -2.6065419737975704E-01 a        67     0     4     1     7
  1.3252641030405010E+00 a        68     0     4     1     8
 -2.7250166451071107E-02 a        69     0     4     1     9
 -4.7727494977690327E-01 a        70     0     4     1    10
 -3.0563665964003417E+00 a        71     0     4     1    11
  5.1790411215447536E-02 a        72     0     4     1    12
  3.1823603034741979E-02 a        73     0     4     1    13
  1.3952061360310308E+00 a        74     0     4     1    14
 -1.7231963731197260E+00 a        75     0     4     1    15
 -1.1088167701051954E+00 a        76     0     4     1    16
 -9.4704854907443914E-01 a        77     0     4     1    17
 -2.4854678347526482E+00 a        78     0     4     1    18
  5.8501879397401846E-01 a        79     0     4     1    19
  8.8821169610129558E-01 a        80     0     4     1    20
 -6.3097813132200264E-01 a        81     0     5     1     1
  1.9339025161891932E+00 a        82     0     5     1     2
 -3.3016744942404554E+00 a        83     0     5     1     3
  6.6569858309944641E-01 a        84     0     5     1     4
 -1.5998381248271289E+00 a        85     0     5     1     5
