################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.1911893637190212E-01 a         1     0     1     1     1
  1.4220248018905270E+00 a         2     0     1     1     2
 -5.4052562964225770E-01 a         3     0     1     1     3
 -6.2325306841045802E-01 a         4     0     1     1     4
 -7.6986650007642565E-01 a         5     0     1     1     5
 -4.3544739029568663E-01 a         6     0     1     1     6
  8.2206994793228572E-01 a         7     0     1     1     7
 -9.3065245229295179E-01 a         8     0     1     1     8
 -1.3474311131772994E+00 a         9     0     1     1     9
  5.4940210786952204E-01 a        10     0     1     1    10
  5.8422872367565970E-01 a        11     0     1     1    11
  2.1888607669043285E+00 a        12     0     1     1    12
  3.4682481260203174E-01 a        13     0     1     1    13
  4.1667839234923801E-02 a        14     0     1     1    14
  2.2045577803062191E-01 a        15     0     1     1    15
  2.1396102653448108E+00 a        16     0     1     1    16
  5.3781614538203781E-01 a        17     0     1     1    17
  1.5678279213964954E+00 a        18     0     1     1    18
  8.4231201308417081E-01 a        19     0     1     1    19
  4.1235921612093640E-01 a        20     0     1     1    20
 -1.9488488091218994E+00 a        21     0     2     1     1
 -1.7410983981694654E+00 a        22     0     2     1     2
 -6.4712079856589422E-01 a        23     0     2     1     3
 -3.5836151911136510E-01 a        24     0     2     1     4
  1.6791130198426765E+00 a        25     0     2     1     5
  1.6654574102777671E+00 a        26     0     2     1     6
 -1.0662389721798786E+00 a        27     0     2     1     7
 -6.2427481294249931E-01 a        28     0     2     1     8
  1.5408094614976964E+00 a        29     0     2     1     9
 -1.6385961130810194E+00 a        30     0     2     1    10
 -1.7529087759092006E+00 a        31     0     2     1    11
 -1.0478503228622256E+00 a        32     0     2     1    12
  7.6318422511224770E-01 a        33     0     2     1    13
 -1.0908419522051320E+00 a        34     0     2     1    14
 -4.0558200666669397E-01 a        35     0     2     1    15
  4.1756705150305001E-01 a        36     0     2     1    16
 -7.3052057978206436E-02 a        37     0     2     1    17
 -9.6229181703608091E-01 a        38     0     2     1    18
  2.4859487061086924E-01 a        39     0     2     1    19
 -2.7734656677828160E+00 a        40     0     2     1    20
  1.4802260309437849E+00 a        41     0     3     1     1
 -7.9790383433053824E-01 a        42     0     3     1     2
 -2.2943230875689218E+00 a        43     0     3     1     3
  6.4393749211735174E-01 a        44     0     3     1     4
 -2.2674153509207180E+00 a        45     0     3     1     5
  5.8433990154101789E-01 a        46     0     3     1     6
 -1.3213715620775197E+00 a        47     0     3     1     7
 -1.1648019353290358E+00 a        48     0     3     1     8
 -3.1579632454491180E-01 a        49     0     3     1     9
  1.1638242421499032E+00 a        50     0     3     1    10
  4.2065121158582941E-01 a        51     0     3     1    11
  4.1680575160310795E-01 a        52     0     3     1    12
 -7.9414663748148084E-01 a        53     0     3     1    13
