################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.2735741911649099E-01 a         1     0     1     1     1
 -8.5975859365579665E-01 a         2     0     1     1     2
 -2.9905528910988372E-01 a         3     0     1     1     3
 -2.1049909515328236E+00 a         4     0     1     1     4
 -4.5347826883639419E-01 a         5     0     1     1     5
  4.8556999925810862E-01 a         6     0     1     1     6
 -1.3462173932820427E+00 a         7     0     1     1     7
  8.7600338557868240E-01 a         8     0     1     1     8
  5.0495736449108330E-01 a         9     0     1     1     9
 -4.2120120889061902E-01 a        10     0     1     1    10
  1.8855567321339815E+00 a        11     0     1     1    11
  8.6041504346815645E-01 a        12     0     1     1    12
  6.8763104409204101E-01 a        13     0     1     1    13
 -8.3608482140848839E-01 a        14     0     1     1    14
  2.4776376583223287E+00 a        15     0     1     1    15
 -1.5616176011644258E+00 a        16     0     1     1    16
  8.1701294019198833E-01 a        17     0     1     1    17
  1.0581819777782404E+00 a        18     0     1     1    18
  1.9593407336088882E+00 a        19     0     1     1    19
 -1.9746767698537233E+00 a        20     0     1     1    20
  3.1092247385062954E-01 a        21     0     2     1     1
  5.6558134283509076E-01 a        22     0     2     1     2
 -4.2326473072930154E-01 a        23     0     2     1     3
 -2.5435377268842219E+00 a        24     0     2     1     4
  5.1388898040494557E-01 a        25     0     2     1     5
 -1.5380509758562921E+00 a        26     0     2     1     6
  2.0598859008770871E+00 a        27     0     2     1     7
  5.3876971307972910E-01 a        28     0     2     1     8
  6.4110697826307983E-01 a        29     0     2     1     9
  3.3490290444091297E-01 a        30     0     2     1    10
  1.0108415664171742E+00 a        31     0     2     1    11
 -4.8535638009757748E-01 a        32     0     2     1    12
 -8.3529540799976787E-01 a        33     0     2     1    13
 -3.6399466479434026E+00 a        34     0     2     1    14
  1.9045349219721777E-01 a        35     0     2     1    15
  9.2593711153148039E-01 a        36     0     2     1    16
  1.5034650077304699E+00 a        37     0     2     1    17
  1.7587502823513157E+00 a        38     0     2     1    18
 -1.0766343446359630E+00 a        39     0     2     1    19
  3.5291176154464127E-01 a        40     0     2     1    20
 -3.3200402560079117E-01 a        41     0     3     1     1
  1.4029722250125478E+00 a        42     0     3     1     2
 -6.3245134515909485E-01 a        43     0     3     1     3
 -2.2545862335012314E+00 a        44     0     3     1     4
  9.6737437983558672E-01 a        45     0     3     1     5
 -3.3645461658617884E-02 a        46     0     3     1     6
  1.4257662133062887E+00 a        47     0     3     1     7
 -2.1839429048402494E+00 a        48     0     3     1     8
 -5.9813739951225930E-01 a        49     0     3     1     9
  1.2938799296815546E+00 a        50     0     3     1    10
  4.7898022810725999E-01 a        51     0     3     1    11
 -4.2401176184002642E-01 a        52     0     3     1    12
 -9.8618646260612197E-01 a        53     0     3     1    13
 -2.9060190064597285E-01 a        54     0     3     1    14
  2.1901867531026271E+00 a        55     0     3     1    15
 -2.6603722823517528E+00 a        56     0     3     1    16
 -4.4242170484470406E-01 a        57     0     3     1    17
  9.5263159335709036E-01 a        58     0     3     1    18
  1.8979926661656210E+00 a        59     0     3     1    19
  1.0729891585540952E+00 a        60     0     3     1    20
  5.5022433843425966E-01 a        61     0     4     1     1
  1.1512713125053695E+00 a        62     0     4     1     2
 -1.9851633641530182E+00 a        63     0     4     1     3
 -1.6424203075476593E+00 a        64     0     4     1     4
  1.6635193574983349E+00 a        65     0     4     1     5
  9.2863234544291495E-01 a        66     0     4     1     6
 -9.5959839435254635E-01 a        67     0     4     1     7
 -2.6615412422653423E-01 a        68     0     4     1     8
 -6.0651000649718301E-01 a        69     0     4     1     9
 -1.2164329408146743E+00 a        70     0     4     1    10
 -4.0818377418523905E-01 a        71     0     4     1    11
 -1.0277245380948339E+00 a        72     0     4     1    12
  8.6332412140768366E-01 a        73     0     4     1    13
  2.7205457587058002E-02 a        74     0     4     1    14
  2.4086927462809302E+00 a        75     0     4     1    15
 -2.6139417556834954E-01 a        76     0     4     1    16
  1.7341976695844044E-01 a        77     0     4     1    17
 -8.0417137380906367E-01 a        78     0     4     1    18
  2.2475753462561091E-02 a        79     0     4     1    19
 -2.1659027595085458E+00 a        80     0     4     1    20
 -2.5906034691640114E+00 a        81     0     5     1     1
  5.4056763605850278E-01 a        82     0     5     1     2
 -4.2857586764117100E-01 a        83     0     5     1     3
  2.8538319313617461E-01 a        84     0     5     1     4
  8.5822835137883391E-01 a        85     0     5     1     5
  9.3532711510053712E-01 a        86     0     5     1     6
  1.6911452893618684E+00 a        87     0     5     1     7
  1.6963014568472803E-01 a        88     0     5     1     8
  6.9637082914200465E-01 a        89     0     5     1     9
 -5.4706129449028440E-01 a        90     0     5     1    10
  7.2580855909010622E-01 a        91     0     5     1    11
  2.9466002866563851E-01 a        92     0     5     1    12
 -2.1346722572592829E+00 a        93     0     5     1    13
  9.5863493654041276E-01 a        94     0     5     1    14
  6.3805431411490932E-01 a        95     0     5     1    15
 -4.8190409110315524E-01 a        96     0     5     1    16
 -1.5312764558702374E+00 a        97     0     5     1    17
  2.4799991270715229E+00 a        98     0     5     1    18
 -1.9912625714443230E-02 a        99     0     5     1    19
  1.5841111367001171E+00 a       100     0     5     1    20
 -2.3147876076560997E-01 a       101     0     6     1     1
 -1.2035647703272510E+00 a       102     0     6     1     2
  3.4104908820984481E-01 a       103     0     6     1     3
 -5.6107875916496641E-01 a       104     0     6     1     4
 -8.4995352419672698E-01 a       105     0     6     1     5
  5.1835343699033642E-01 a       106     0     6     1     6
  1.8336732370372451E+00 a       107     0     6     1     7
 -6.4588151819584572E-01 a       108     0     6     1     8
  5.3323055104426320E-01 a       109     0     6     1     9
  8.3074570351395960E-01 a       110     0     6     1    10
 -4.4033802109894826E-01 a       111     0     6     1    11
  5.7692429827780745E-01 a       112     0     6     1    12
 -5.5772385661687396E-01 a       113     0     6     1    13
  4.9975583348430924E-01 a       114     0     6     1    14
 -1.9841587560633729E+00 a       115     0     6     1    15
  2.3194174510006467E+00 a       116     0     6     1    16
 -9.1519084699588937E-01 a       117     0     6     1    17
  1.2272108217944933E-01 a       118     0     6     1    18
  7.0558090550734087E-01 a       119     0     6     1    19
 -3.3994087204495538E-01 a       120     0     6     1    20
  7.5176598866529787E-01 a       121     0     7     1     1
  6.1146108058453963E-01 a       122     0     7     1     2
 -8.4845076104822159E-01 a       123     0     7     1     3
 -1.7203075988659302E+00 a       124     0     7     1     4
  4.1270685717072381E-01 a       125     0     7     1     5
 -2.2970774510753267E-01 a       126     0     7     1     6
  5.9596657810680598E-01 a       127     0     7     1     7
  2.5727896520093169E-01 a       128     0     7     1     8
 -2.0405506664095134E+00 a       129     0     7     1     9
  1.1328740667183949E-01 a       130     0     7     1    10
  2.7741160307963597E-01 a       131     0     7     1    11
  6.7899587770573433E-01 a       132     0     7     1    12
  1.1600294856091194E-01 a       133     0     7     1    13
 -7.9307268904656469E-01 a       134     0     7     1    14
  9.2544504933748784E-01 a       135     0     7     1    15
  3.8396814620326042E-01 a       136     0     7     1    16
  1.0308319705470543E+00 a       137     0     7     1    17
  2.0527618024077876E+00 a       138     0     7     1    18
 -1.1820192092574584E+00 a       139     0     7     1    19
 -6.3405189491361891E-01 a       140     0     7     1    20
 -7.4356886274883308E-02 a       141     0     8     1     1
  4.4079739294530788E-02 a       142     0     8     1     2
  9.8197075112936349E-01 a       143     0     8     1     3
  1.2134145681286621E+00 a       144     0     8     1     4
  1.5149113891348487E+00 a       145     0     8     1     5
  1.4770354629116342E-01 a       146     0     8     1     6
  3.4915191887062531E+00 a       147     0     8     1     7
  2.3641429760300935E-02 a       148     0     8     1     8
 -1.1420740789644410E-01 a       149     0     8     1     9
 -1.4196106224809346E+00 a       150     0     8     1    10
  8.3705989990422580E-01 a       151     0     8     1    11
  7.9928226905626965E-01 a       152     0     8     1    12
  7.3904497917144651E-01 a       153     0     8     1    13
 -9.5565952483938355E-01 a       154     0     8     1    14
 -7.6705728990238342E-01 a       155     0     8     1    15
 -8.3339644422301784E-01 a       156     0     8     1    16
  7.1544804449661781E-01 a       157     0     8     1    17
  1.2519117859603857E+00 a       158     0     8     1    18
 -2.1266853911339787E+00 a       159     0     8     1    19
  9.3567416435347284E-01 a       160     0     8     1    20
 -2.4762166214203885E+00 a       161     0     9     1     1
  3.3401063679723269E+00 a       162     0     9     1     2
 -2.3020735572279416E+00 a       163     0     9     1     3
  2.6616653780116741E+00 a       164     0     9     1     4
 -5.6017069005431763E-01 a       165     0     9     1     5
  7.0348884385272836E-01 a       166     0     9     1     6
 -1.1716003700464344E+00 a       167     0     9     1     7
 -2.7025033385742008E+00 a       168     0     9     1     8
  1.8431842826802505E+00 a       169     0     9     1     9
  1.0727176913250018E+00 a       170     0     9     1    10
  2.4270419757645221E+00 a       171     0     9     1    11
 -9.1435491904922817E-01 a       172     0     9     1    12
 -2.4819834990918808E+00 a       173     0     9     1    13
  9.8323221870667110E-01 a       174     0     9     1    14
  1.9648447859339579E+00 a       175     0     9     1    15
  1.1967516567606393E+00 a       176     0     9     1    16
 -1.7070785084125131E+00 a       177     0     9     1    17
 -6.4343863932641721E-01 a       178     0     9     1    18
 -1.4595912373880309E+00 a       179     0     9     1    19
  2.9523745038898863E-01 a       180     0     9     1    20
