################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0000601695281974E-01 a         1     0     1     1     1
  7.0242155779078097E-01 a         2     0     1     1     2
 -1.8422058157779790E+00 a         3     0     1     1     3
 -2.6779435260692552E-01 a         4     0     1     1     4
 -1.8450440771306664E+00 a         5     0     1     1     5
 -6.4273457593065919E-01 a         6     0     1     1     6
 -1.5777831049345872E-01 a         7     0     1     1     7
 -1.1077965054889429E+00 a         8     0     1     1     8
 -5.4892739007537172E-01 a         9     0     1     1     9
  3.6438087678640879E-01 a        10     0     1     1    10
  2.3017666853599810E+00 a        11     0     1     1    11
  7.4298647499874249E-01 a        12     0     1     1    12
 -1.2220085505120559E+00 a        13     0     1     1    13
 -1.2186949580272584E+00 a        14     0     1     1    14
 -5.4632843698919609E-01 a        15     0     1     1    15
  1.2623264245164099E+00 a        16     0     1     1    16
  8.4682038234437929E-01 a        17     0     1     1    17
 -1.8107393066676936E-01 a        18     0     1     1    18
 -2.4872084732776270E-01 a        19     0     1     1    19
 -9.0155880737840266E-01 a        20     0     1     1    20
 -2.7277569313991912E-01 a        21     0     2     1     1
 -4.9344634437344148E-01 a        22     0     2     1     2
 -1.0043660596497812E+00 a        23     0     2     1     3
 -1.8434322209857033E+00 a        24     0     2     1     4
  6.9655809923288325E-01 a        25     0     2     1     5
 -7.0458137459196579E-01 a        26     0     2     1     6
 -2.7891280524122597E-01 a        27     0     2     1     7
  1.4120616078019317E+00 a        28     0     2     1     8
  7.0919719346028809E-02 a        29     0     2     1     9
  2.5502090656036464E-01 a        30     0     2     1    10
 -8.5727023452899820E-01 a        31     0     2     1    11
 -3.1456996867600007E-01 a        32     0     2     1    12
 -4.6889408345007455E-01 a        33     0     2     1    13
  1.1830466607743491E+00 a        34     0     2     1    14
 -5.3257963834693789E-01 a        35     0     2     1    15
 -5.3719344305411365E-01 a        36     0     2     1    16
  6.9934842855053436E-01 a        37     0     2     1    17
 -2.7630985102810157E-01 a        38     0     2     1    18
  3.6934393208021316E-01 a        39     0     2     1    19
  7.4406834736887795E-01 a        40     0     2     1    20
  5.2962834201665987E-01 a        41     0     3     1     1
  8.6002677782833958E-01 a        42     0     3     1     2
 -1.2343098657230285E+00 a        43     0     3     1     3
  2.0430457284583486E-01 a        44     0     3     1     4
 -1.4378385001217222E+00 a        45     0     3     1     5
 -3.2379695883498688E-01 a        46     0     3     1     6
 -3.8502177062782778E-02 a        47     0     3     1     7
 -1.2105730240581678E+00 a        48     0     3     1     8
 -3.4109832840638199E-01 a        49     0     3     1     9
  4.6744124547265975E-01 a        50     0     3     1    10
  1.4111765274249646E+00 a        51     0     3     1    11
  3.6296998636439132E-01 a        52     0     3     1    12
 -1.0936319425768055E+00 a        53     0     3     1    13
 -1.2629282916943512E+00 a        54     0     3     1    14
 -1.2213657306166403E+00 a        55     0     3     1    15
 -1.1640415517527980E+00 a        56     0     3     1    16
  1.7461602121091193E+00 a        57     0     3     1    17
  8.1362874421114909E-02 a        58     0     3     1    18
  7.5537084987004011E-02 a        59     0     3     1    19
 -2.3661650200281859E-01 a        60     0     3     1    20
 -3.3172102969744610E-01 a        61     0     4     1     1
 -5.0327410672340211E-01 a        62     0     4     1     2
 -1.3255775682445385E+00 a        63     0     4     1     3
  1.2524502976577283E+00 a        64     0     4     1     4
  1.4020082265066530E-01 a        65     0     4     1     5
 -4.3475958982221308E-01 a        66     0     4     1     6
 -3.2404603596029485E-01 a        67     0     4     1     7
  4.1507285975103381E-01 a        68     0     4     1     8
  3.3188206330330361E-01 a        69     0     4     1     9
 -5.0221823634625781E-02 a        70     0     4     1    10
 -1.7216271255735072E+00 a        71     0     4     1    11
 -2.6800108129250705E-01 a        72     0     4     1    12
 -1.0594612739821743E+00 a        73     0     4     1    13
  5.2011173111356213E-01 a        74     0     4     1    14
 -2.7204864330734602E-01 a        75     0     4     1    15
 -2.8301256292594151E-01 a        76     0     4     1    16
 -2.4528224777764576E-01 a        77     0     4     1    17
  3.9019327874953152E-01 a        78     0     4     1    18
  9.4240278498431432E-02 a        79     0     4     1    19
 -6.6177207635568877E-02 a        80     0     4     1    20
  2.1332724107782000E-01 a        81     0     5     1     1
  6.5872504787803121E-01 a        82     0     5     1     2
 -1.0259620522732076E+00 a        83     0     5     1     3
  9.7124437055891988E-01 a        84     0     5     1     4
  1.5218301078908167E+00 a        85     0     5     1     5
 -8.1046862592346489E-02 a        86     0     5     1     6
 -2.5962713251640018E-01 a        87     0     5     1     7
 -5.5010641969121976E-01 a        88     0     5     1     8
  5.7936174004886243E-01 a        89     0     5     1     9
  3.0201327664318972E-01 a        90     0     5     1    10
  6.1171374370934017E-01 a        91     0     5     1    11
 -1.4460507115030339E+00 a        92     0     5     1    12
  1.1365857291003321E+00 a        93     0     5     1    13
 -5.6361435637621615E-01 a        94     0     5     1    14
 -3.3082326072710505E-01 a        95     0     5     1    15
 -4.3112830133853297E-01 a        96     0     5     1    16
  1.3311367166604720E+00 a        97     0     5     1    17
