################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.9577583034390948E-01 a         1     0     1     1     1
  1.5610163509961346E+00 a         2     0     1     1     2
  1.3063623492274536E+00 a         3     0     1     1     3
  1.8218030446830273E+00 a         4     0     1     1     4
 -1.3789739932758145E+00 a         5     0     1     1     5
 -7.2057096359103778E-01 a         6     0     1     1     6
 -1.0168424027025120E+00 a         7     0     1     1     7
  1.6819120800118550E+00 a         8     0     1     1     8
 -5.6883714361748605E-01 a         9     0     1     1     9
  1.2866879500995076E-02 a        10     0     1     1    10
  4.4444476283676931E-01 a        11     0     1     1    11
  4.9468009961929638E-01 a        12     0     1     1    12
 -2.2791099389908034E-01 a        13     0     1     1    13
  2.2113102101091528E-01 a        14     0     1     1    14
  5.4892303555963473E-01 a        15     0     1     1    15
  1.6656223806327952E-01 a        16     0     1     1    16
  9.4434617247857933E-01 a        17     0     1     1    17
  1.6193083898552443E+00 a        18     0     1     1    18
 -1.8657588440558541E+00 a        19     0     1     1    19
 -1.2675394533433191E+00 a        20     0     1     1    20
 -8.2340750269449825E-01 a        21     0     2     1     1
 -1.1609771951561718E+00 a        22     0     2     1     2
  1.0726227872281682E+00 a        23     0     2     1     3
 -2.3631349865893064E-01 a        24     0     2     1     4
 -1.9140857943922824E+00 a        25     0     2     1     5
 -7.8729451019795327E-01 a        26     0     2     1     6
 -4.5526870778553767E-02 a        27     0     2     1     7
  1.6933554994522151E+00 a        28     0     2     1     8
  1.3670422319846982E+00 a        29     0     2     1     9
 -1.1376037849508258E+00 a        30     0     2     1    10
  5.7381044385256333E-02 a        31     0     2     1    11
 -9.9554152197763734E-01 a        32     0     2     1    12
 -1.0484479780981850E+00 a        33     0     2     1    13
  1.8927632262725440E+00 a        34     0     2     1    14
  1.9039907868072239E+00 a        35     0     2     1    15
 -1.7136715422417972E+00 a        36     0     2     1    16
  1.0187444687578813E+00 a        37     0     2     1    17
  1.5181905838825303E+00 a        38     0     2     1    18
  8.9721441479906117E-01 a        39     0     2     1    19
  5.3599912051997034E-01 a        40     0     2     1    20
 -1.7349307286844162E+00 a        41     0     3     1     1
 -2.0086172257540724E+00 a        42     0     3     1     2
  1.4620262329496971E+00 a        43     0     3     1     3
 -1.2741799239303206E-01 a        44     0     3     1     4
 -3.6617223846331504E+00 a        45     0     3     1     5
 -1.2281033313058221E+00 a        46     0     3     1     6
 -1.5922261852209587E+00 a        47     0     3     1     7
 -1.2994131835969153E-01 a        48     0     3     1     8
