################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.8042595859817419E-01 a         1     0     1     1     1
 -3.6187214636798415E-01 a         2     0     1     1     2
 -8.4317697708590067E-01 a         3     0     1     1     3
  8.1071706745250036E-02 a         4     0     1     1     4
  4.6150288434836773E-01 a         5     0     1     1     5
  3.4575154499250971E-01 a         6     0     1     1     6
  5.2162439673260930E-01 a         7     0     1     1     7
  4.3283729245457825E-01 a         8     0     1     1     8
  4.0226591270426715E-01 a         9     0     1     1     9
  1.6432081802700274E+00 a        10     0     1     1    10
  5.3872484861294223E-01 a        11     0     1     1    11
  1.8111047427649007E+00 a        12     0     1     1    12
  4.5908764502191429E-01 a        13     0     1     1    13
  1.4773593947821009E+00 a        14     0     1     1    14
 -1.7782965552570418E+00 a        15     0     1     1    15
  8.6997834134098251E-01 a        16     0     1     1    16
  5.7497572870778646E-01 a        17     0     1     1    17
  8.5601905320415528E-01 a        18     0     1     1    18
  3.7076906617349298E-01 a        19     0     1     1    19
 -1.4679247158735629E+00 a        20     0     1     1    20
  1.1536465828056266E+00 a        21     0     2     1     1
 -2.1629938844353480E-01 a        22     0     2     1     2
 -1.0500550550537078E+00 a        23     0     2     1     3
  1.2587039283443060E+00 a        24     0     2     1     4
  1.1744524174413784E+00 a        25     0     2     1     5
  9.0130202809772986E-01 a        26     0     2     1     6
 -1.2366665342666723E+00 a        27     0     2     1     7
 -9.4158853494066330E-02 a        28     0     2     1     8
  6.4667947442178864E-01 a        29     0     2     1     9
 -2.3921541117202740E+00 a        30     0     2     1    10
  7.4365582239046568E-01 a        31     0     2     1    11
  7.5937477665986231E-01 a        32     0     2     1    12
