################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.6740433404223707E-01 a         1     0     1     1     1
  1.4943315725059972E-01 a         2     0     1     1     2
 -1.1299427930408779E+00 a         3     0     1     1     3
  2.7754039492635774E-01 a         4     0     1     1     4
  3.5540954418638987E-01 a         5     0     1     1     5
  7.0367166251924840E-01 a         6     0     1     1     6
 -1.6007951686105817E+00 a         7     0     1     1     7
 -5.1124578944811350E-01 a         8     0     1     1     8
  1.7472129306576614E+00 a         9     0     1     1     9
  1.1386018433392857E+00 a        10     0     1     1    10
  2.0717153100699512E-01 a        11     0     1     1    11
 -1.4659574111141733E+00 a        12     0     1     1    12
 -9.0796667488230776E-01 a        13     0     1     1    13
 -2.6033269446719092E+00 a        14     0     1     1    14
 -4.6645964961440334E-01 a        15     0     1     1    15
 -3.3951675618660326E+00 a        16     0     1     1    16
 -1.3087898941148672E+00 a        17     0     1     1    17
  3.3622039493142625E-01 a        18     0     1     1    18
  9.6855867538201845E-01 a        19     0     1     1    19
 -1.7522406435095008E+00 a        20     0     1     1    20
 -3.8053131587250584E+00 a        21     0     2     1     1
  1.1657349054684232E+00 a        22     0     2     1     2
  1.1738756503658184E-02 a        23     0     2     1     3
 -4.0654107965043029E-01 a        24     0     2     1     4
 -3.1946059777970032E-01 a        25     0     2     1     5
 -2.5407015464678284E-01 a        26     0     2     1     6
  1.2175178998851729E-01 a        27     0     2     1     7
  1.8032680175662381E+00 a        28     0     2     1     8
  1.9227924929956848E+00 a        29     0     2     1     9
 -4.2750741764649502E-01 a        30     0     2     1    10
  9.4512867456455130E-01 a        31     0     2     1    11
 -2.2311209755678445E+00 a        32     0     2     1    12
 -6.4570872579033156E-01 a        33     0     2     1    13
 -3.1135886049121937E+00 a        34     0     2     1    14
  2.5844575448758350E-01 a        35     0     2     1    15
  3.3614912983012570E+00 a        36     0     2     1    16
  2.9582877737082245E+00 a        37     0     2     1    17
  1.6649348391195631E+00 a        38     0     2     1    18
 -1.5443279007662147E-01 a        39     0     2     1    19
  4.3313044546104579E-01 a        40     0     2     1    20
 -1.2262559522744427E+00 a        41     0     3     1     1
