################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.4394245630466411E+00 a         1     0     1     1     1
 -2.1325345234666241E+01 a         2     0     1     1     2
 -2.0973647806597824E+00 a         3     0     1     1     3
 -1.6902957874675216E+01 a         4     0     1     1     4
 -3.1381560132911179E+01 a         5     0     1     1     5
  1.1336241309855316E+01 a         6     0     1     1     6
 -7.8818527577916413E+00 a         7     0     1     1     7
 -2.8924303561244519E-01 a         8     0     1     1     8
  1.3524029750310540E+01 a         9     0     1     1     9
  3.2981101080331833E+01 a        10     0     1     1    10
 -2.6542382306191986E-01 a        11     0     1     1    11
 -6.8635276823817781E+00 a        12     0     1     1    12
  3.2645080533506570E+00 a        13     0     1     1    13
 -7.6304091803446381E+00 a        14     0     1     1    14
 -5.8988340170592313E+00 a        15     0     1     1    15
 -7.8608520219309606E+00 a        16     0     1     1    16
 -3.9544348614357570E+00 a        17     0     1     1    17
 -9.1865124853352267E+00 a        18     0     1     1    18
  3.1337341664548838E+01 a        19     0     1     1    19
 -6.9711633122297627E+00 a        20     0     1     1    20
  1.8568897503782265E+00 a        21     0     2     1     1
  1.3811127148224177E+01 a        22     0     2     1     2
  1.7973191513959073E+01 a        23     0     2     1     3
 -1.6531930989881878E+00 a        24     0     2     1     4
  3.2733947381675974E+00 a        25     0     2     1     5
  5.0433487107691137E+00 a        26     0     2     1     6
 -5.7306300524790084E+00 a        27     0     2     1     7
  8.1368914513627288E+00 a        28     0     2     1     8
 -9.5185070252396253E-01 a        29     0     2     1     9
  1.8593849400154198E+01 a        30     0     2     1    10
 -4.3824108855930524E+00 a        31     0     2     1    11
 -2.9499460693715107E-01 a        32     0     2     1    12
 -3.7765379963146017E+00 a        33     0     2     1    13
  1.1558250050178730E+01 a        34     0     2     1    14
  1.5774973004983733E-02 a        35     0     2     1    15
 -5.3092166540381829E+00 a        36     0     2     1    16
 -3.2920524917099527E+00 a        37     0     2     1    17
 -1.6049183421984463E+01 a        38     0     2     1    18
 -2.4261151074369796E+00 a        39     0     2     1    19
  3.7767424568353243E+00 a        40     0     2     1    20
 -1.2362904685385927E+00 a        41     0     3     1     1
  6.7982103847049062E+00 a        42     0     3     1     2
  1.0475995133340222E+01 a        43     0     3     1     3
  1.7946017922646096E+01 a        44     0     3     1     4
  1.2981594632930038E+01 a        45     0     3     1     5
 -7.5834208006203188E+00 a        46     0     3     1     6
 -1.0024206491010057E+01 a        47     0     3     1     7
 -1.3476398615414228E+01 a        48     0     3     1     8
 -8.3069839720202516E+00 a        49     0     3     1     9
 -2.1187561642596942E+00 a        50     0     3     1    10
  8.1392999530330741E+00 a        51     0     3     1    11
  1.7977738241139061E+01 a        52     0     3     1    12
  4.1825412409869074E+00 a        53     0     3     1    13
 -8.6805089616094318E+00 a        54     0     3     1    14
 -7.9878074515197355E+00 a        55     0     3     1    15
  1.8234485344040166E+01 a        56     0     3     1    16
 -1.3445092922638416E+01 a        57     0     3     1    17
  1.2692418485766888E+01 a        58     0     3     1    18
 -2.3147336838264096E+01 a        59     0     3     1    19
  5.3450308674131390E+00 a        60     0     3     1    20
  7.6007743251814510E+00 a        61     0     4     1     1
 -1.4973055552630948E+01 a        62     0     4     1     2
  8.4243231656932882E-01 a        63     0     4     1     3
 -3.0548404042997155E+00 a        64     0     4     1     4
  5.3365337062240306E+00 a        65     0     4     1     5
  1.9738983784013381E+01 a        66     0     4     1     6
  1.1237229484842192E+01 a        67     0     4     1     7
 -1.5102737440777442E+01 a        68     0     4     1     8
  4.0745660690770447E-01 a        69     0     4     1     9
 -1.9445952039347674E+00 a        70     0     4     1    10
  2.8125097647315073E+01 a        71     0     4     1    11
  1.0554968612190498E+01 a        72     0     4     1    12
  9.4926552173786352E+00 a        73     0     4     1    13
  9.0331557796106643E-01 a        74     0     4     1    14
  1.7909410141011662E+01 a        75     0     4     1    15
  1.2324744491218874E+01 a        76     0     4     1    16
 -1.7956804609158239E+00 a        77     0     4     1    17
  1.5360499797382102E+01 a        78     0     4     1    18
  8.5974230171369026E+00 a        79     0     4     1    19
 -1.1506753504445740E+01 a        80     0     4     1    20
 -3.7573783917989245E+00 a        81     0     5     1     1
  9.5206371123262059E+00 a        82     0     5     1     2
  4.1315565909533802E+00 a        83     0     5     1     3
  2.0623166199321923E+00 a        84     0     5     1     4
 -1.4796422929293980E+01 a        85     0     5     1     5
 -6.4977846232401673E+00 a        86     0     5     1     6
  1.0490037169513707E+01 a        87     0     5     1     7
  1.0303080973696998E+01 a        88     0     5     1     8
 -4.7544282362291792E+00 a        89     0     5     1     9
  3.7520560716409341E+00 a        90     0     5     1    10
  8.4697519762120681E+00 a        91     0     5     1    11
 -2.6354726839368681E+00 a        92     0     5     1    12
  8.9169856209893510E+00 a        93     0     5     1    13
  2.2588064224731127E+01 a        94     0     5     1    14
 -6.0354037755404466E-01 a        95     0     5     1    15
  7.6963915731741828E-01 a        96     0     5     1    16
  1.9700571538254827E+01 a        97     0     5     1    17
 -3.0501491056435118E+01 a        98     0     5     1    18
  3.2901732451171263E+01 a        99     0     5     1    19
  1.4633689942061768E+01 a       100     0     5     1    20
  7.9050184851479157E+00 a       101     0     6     1     1
 -6.4883284887024406E-01 a       102     0     6     1     2
  8.8861600640666154E+00 a       103     0     6     1     3
  3.2899395027466345E+00 a       104     0     6     1     4
 -1.6484492938781877E+01 a       105     0     6     1     5
 -7.0834972805430709E+00 a       106     0     6     1     6
  3.7835660464768530E+01 a       107     0     6     1     7
 -2.4995361119050039E+00 a       108     0     6     1     8
 -1.5856994604444125E+01 a       109     0     6     1     9
 -7.7014616978687442E+00 a       110     0     6     1    10
 -3.5114662363032480E+01 a       111     0     6     1    11
 -8.7352825437611887E+00 a       112     0     6     1    12
 -9.8762295154583732E+00 a       113     0     6     1    13
 -6.6631149233329632E+00 a       114     0     6     1    14
 -1.1061580652459501E+01 a       115     0     6     1    15
  2.5634056222728280E+01 a       116     0     6     1    16
 -4.6697691845497653E+00 a       117     0     6     1    17
  2.7065511769380930E+01 a       118     0     6     1    18
  8.4613271168809181E+00 a       119     0     6     1    19
  2.7861197946052318E+01 a       120     0     6     1    20
 -6.5650504286113485E+00 a       121     0     7     1     1
 -1.1323993020589088E+01 a       122     0     7     1     2
  3.7784144655727894E+00 a       123     0     7     1     3
 -8.5072988424300071E+00 a       124     0     7     1     4
 -1.3404404841478619E-02 a       125     0     7     1     5
 -1.1018616594135553E+01 a       126     0     7     1     6
  5.0595806754303005E+00 a       127     0     7     1     7
  4.7577202413871138E+00 a       128     0     7     1     8
 -8.4417864708928541E+00 a       129     0     7     1     9
  1.6054869715913952E+01 a       130     0     7     1    10
 -3.1835476002708853E+00 a       131     0     7     1    11
 -6.5143443006870401E+00 a       132     0     7     1    12
  1.4647611262819700E+00 a       133     0     7     1    13
  1.6973406257525858E+00 a       134     0     7     1    14
 -1.4448000522766502E+01 a       135     0     7     1    15
 -3.7624985096160518E-01 a       136     0     7     1    16
  1.2502096705866176E+01 a       137     0     7     1    17
 -1.0025883789299673E+01 a       138     0     7     1    18
  1.4459367064331479E+01 a       139     0     7     1    19
  4.2329140342402036E+00 a       140     0     7     1    20
 -7.1055390834714922E+00 a       141     0     8     1     1
  8.1429073312197087E+00 a       142     0     8     1     2
 -1.3090094764031322E+01 a       143     0     8     1     3
  1.2991898591364597E+01 a       144     0     8     1     4
  1.3053470505564983E+01 a       145     0     8     1     5
 -3.7039653684359388E+00 a       146     0     8     1     6
 -4.6425315170160042E+00 a       147     0     8     1     7
 -2.4473916423155404E+00 a       148     0     8     1     8
 -5.3817378792110802E+00 a       149     0     8     1     9
  1.4493845773013854E+00 a       150     0     8     1    10
  9.5800482983163260E+00 a       151     0     8     1    11
  1.8209139171480615E+00 a       152     0     8     1    12
 -8.4565194760902109E+00 a       153     0     8     1    13
  4.8306432670663684E+00 a       154     0     8     1    14
  5.9174625942615826E+00 a       155     0     8     1    15
  9.4390651703896165E+00 a       156     0     8     1    16
 -1.3512803273516678E+00 a       157     0     8     1    17
  4.5734245836988210E+00 a       158     0     8     1    18
  8.3893637836082302E+00 a       159     0     8     1    19
 -1.7269924942411070E+01 a       160     0     8     1    20
  3.9250396294720535E+00 a       161     0     9     1     1
  3.2429435835733300E+00 a       162     0     9     1     2
 -5.5810866640731858E+00 a       163     0     9     1     3
 -1.0976967069672798E+00 a       164     0     9     1     4
 -5.7967989158928042E+00 a       165     0     9     1     5
 -7.1910476900880838E+00 a       166     0     9     1     6
  6.7853623562982799E+00 a       167     0     9     1     7
 -1.0120054112783510E+01 a       168     0     9     1     8
  2.9784421460386357E+00 a       169     0     9     1     9
 -8.7520617507745655E+00 a       170     0     9     1    10
  2.0086109132380251E+01 a       171     0     9     1    11
 -3.1849804031126601E+00 a       172     0     9     1    12
  1.2069986267239317E+01 a       173     0     9     1    13
  9.8803841162609061E+00 a       174     0     9     1    14
 -2.2829805925553623E+00 a       175     0     9     1    15
 -3.1836823832975356E+00 a       176     0     9     1    16
 -8.3271456445784491E+00 a       177     0     9     1    17
 -7.8714781578001114E+00 a       178     0     9     1    18
 -6.6602774922844166E-02 a       179     0     9     1    19
 -1.8620262334774698E+00 a       180     0     9     1    20
  4.8664036955740420E+00 a       181     0    10     1     1
 -8.2190118807991759E+00 a       182     0    10     1     2
  6.2169896688609114E+00 a       183     0    10     1     3
 -3.0365708806897862E+00 a       184     0    10     1     4
 -9.3566490035041063E+00 a       185     0    10     1     5
  4.6877806373058286E+00 a       186     0    10     1     6
  6.9318959917203715E+00 a       187     0    10     1     7
 -1.6914577467624653E+01 a       188     0    10     1     8
  7.4198096545444798E+00 a       189     0    10     1     9
 -1.4745914125451694E+01 a       190     0    10     1    10
 -6.2867228741060490E+00 a       191     0    10     1    11
  1.9037236089162732E+01 a       192     0    10     1    12
 -1.1658483368362871E+01 a       193     0    10     1    13
 -6.0900372472489135E+00 a       194     0    10     1    14
  5.6411562294396029E+00 a       195     0    10     1    15
  4.0997510695054391E+00 a       196     0    10     1    16
  8.6737790452896739E+00 a       197     0    10     1    17
 -3.9159028678267256E+00 a       198     0    10     1    18
  7.2287555794732672E+00 a       199     0    10     1    19
