################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.9256630158304917E+00 a         1     0     1     1     1
  2.6179819873415253E+00 a         2     0     1     1     2
  1.8970198724432976E+01 a         3     0     1     1     3
  1.3547946491880949E+00 a         4     0     1     1     4
  6.9015636779599854E+00 a         5     0     1     1     5
  7.2870971812822223E+00 a         6     0     1     1     6
 -4.1304654624323947E+00 a         7     0     1     1     7
  1.0401147824965456E+01 a         8     0     1     1     8
  9.0672064030674644E+00 a         9     0     1     1     9
 -1.0207690001465261E+01 a        10     0     1     1    10
 -9.7179681057869871E+00 a        11     0     1     1    11
 -6.0862232760735955E+00 a        12     0     1     1    12
 -7.9694509197627985E+00 a        13     0     1     1    13
 -5.7264692075822259E+00 a        14     0     1     1    14
  3.7233789179302423E+00 a        15     0     1     1    15
 -1.0042149056682641E+01 a        16     0     1     1    16
 -4.6473286893606996E+01 a        17     0     1     1    17
  4.2206707439784479E+00 a        18     0     1     1    18
 -3.9910045835906800E+00 a        19     0     1     1    19
  1.5938022495681268E+00 a        20     0     1     1    20
  3.0882344775907622E-01 a        21     0     2     1     1
 -1.5170584807035960E+01 a        22     0     2     1     2
  7.6995822729655616E+00 a        23     0     2     1     3
 -1.6415816897393668E+01 a        24     0     2     1     4
  5.4736215606561380E+00 a        25     0     2     1     5
  8.0996626029591461E+00 a        26     0     2     1     6
  4.6953650512629244E+00 a        27     0     2     1     7
 -5.1038722765887048E+00 a        28     0     2     1     8
  9.7064832115983730E+00 a        29     0     2     1     9
 -2.6537611334726008E-01 a        30     0     2     1    10
  2.2659201855303306E+00 a        31     0     2     1    11
  5.4993973546405996E+00 a        32     0     2     1    12
  4.0984602424472296E+00 a        33     0     2     1    13
 -7.4666526853488175E+00 a        34     0     2     1    14
 -7.5797712571990719E+00 a        35     0     2     1    15
  1.3655927395756065E+00 a        36     0     2     1    16
 -6.6627861301914146E+00 a        37     0     2     1    17
  2.6131466579207689E+00 a        38     0     2     1    18
  1.3024086352512784E+01 a        39     0     2     1    19
 -6.8390492180202482E+00 a        40     0     2     1    20
  4.2865025812509119E+00 a        41     0     3     1     1
 -1.2423434451588376E+01 a        42     0     3     1     2
 -5.5759609748557599E+00 a        43     0     3     1     3
 -1.2502897607200925E+00 a        44     0     3     1     4
  1.3741494582952518E+00 a        45     0     3     1     5
  2.2809615406649584E+01 a        46     0     3     1     6
 -3.6300717853758173E+00 a        47     0     3     1     7
  1.9380470222856949E+00 a        48     0     3     1     8
 -1.1580104095858776E+00 a        49     0     3     1     9
  8.3152063371953773E+00 a        50     0     3     1    10
  3.5096091496347546E+00 a        51     0     3     1    11
  4.8824982332287536E+00 a        52     0     3     1    12
  6.8550133805835776E+00 a        53     0     3     1    13
 -1.0308585025707718E+01 a        54     0     3     1    14
 -8.5079132794655887E-01 a        55     0     3     1    15
 -2.9596044700259472E+00 a        56     0     3     1    16
  1.2421902998750674E+01 a        57     0     3     1    17
  7.3179043936706849E+00 a        58     0     3     1    18
 -5.2285343968767979E+00 a        59     0     3     1    19
 -1.0300729460205074E+00 a        60     0     3     1    20
 -1.6698609611978529E+01 a        61     0     4     1     1
  1.7669820910069294E+01 a        62     0     4     1     2
 -1.9257535489547571E+01 a        63     0     4     1     3
  4.3775764498736232E+00 a        64     0     4     1     4
 -2.0771083888629011E+01 a        65     0     4     1     5
 -1.0809280030578938E+01 a        66     0     4     1     6
 -1.7218819406176882E+00 a        67     0     4     1     7
 -1.9678843293447134E+01 a        68     0     4     1     8
 -2.0056534142026350E+00 a        69     0     4     1     9
 -4.9811505420443020E-01 a        70     0     4     1    10
 -9.4877440626767839E+00 a        71     0     4     1    11
 -1.3366703369219209E+01 a        72     0     4     1    12
  9.3307895656207851E+00 a        73     0     4     1    13
  8.3557810686633438E+00 a        74     0     4     1    14
 -6.6250059458117505E+00 a        75     0     4     1    15
  9.0572711644609427E+00 a        76     0     4     1    16
 -1.5378854147726035E+01 a        77     0     4     1    17
 -1.5863142399492279E+01 a        78     0     4     1    18
 -8.5848473270747334E+00 a        79     0     4     1    19
  1.4152013911516701E+01 a        80     0     4     1    20
 -1.0437433724261213E+01 a        81     0     5     1     1
 -9.0820369575628437E+00 a        82     0     5     1     2
 -5.3541848347826067E+00 a        83     0     5     1     3
 -4.7381564097111148E+00 a        84     0     5     1     4
  7.3836520131424246E+00 a        85     0     5     1     5
 -2.4134136603253321E+01 a        86     0     5     1     6
  4.1129572440803530E+00 a        87     0     5     1     7
  4.9897490183649609E+00 a        88     0     5     1     8
 -2.9229844053892786E+00 a        89     0     5     1     9
 -6.2676227516665195E-01 a        90     0     5     1    10
 -1.5401051659132909E+00 a        91     0     5     1    11
 -5.1033090260211775E+00 a        92     0     5     1    12
 -8.7539039706861779E+00 a        93     0     5     1    13
 -8.6495460037952281E+00 a        94     0     5     1    14
 -6.1952226429371473E+00 a        95     0     5     1    15
 -8.7578751877989482E+00 a        96     0     5     1    16
 -4.6122496559682746E+00 a        97     0     5     1    17
 -2.1726810340676113E+01 a        98     0     5     1    18
 -1.0283472780677529E+01 a        99     0     5     1    19
  1.2039650527794828E+01 a       100     0     5     1    20
  1.0398464186377236E+01 a       101     0     6     1     1
  8.0049290030740323E+00 a       102     0     6     1     2
  3.2976529800003389E+00 a       103     0     6     1     3
  8.1271824922321052E+00 a       104     0     6     1     4
  9.5281428610883125E+00 a       105     0     6     1     5
 -1.1863720448790895E+01 a       106     0     6     1     6
 -1.5653671878080666E+00 a       107     0     6     1     7
 -5.2986298149095363E+00 a       108     0     6     1     8
 -5.4142567580802927E+00 a       109     0     6     1     9
  8.2919361155122573E+00 a       110     0     6     1    10
  6.8681062537693620E+00 a       111     0     6     1    11
 -6.6983085564267801E+00 a       112     0     6     1    12
  1.0217544216131499E+01 a       113     0     6     1    13
  5.4734526969726955E+00 a       114     0     6     1    14
 -6.0850435980275090E+00 a       115     0     6     1    15
 -4.8353962818401550E+00 a       116     0     6     1    16
  9.7779875656878676E+00 a       117     0     6     1    17
  3.5295514484778190E+00 a       118     0     6     1    18
  6.3530881245205402E+00 a       119     0     6     1    19
  1.2071802716325003E+01 a       120     0     6     1    20
  6.9213960631511318E-01 a       121     0     7     1     1
 -1.2693001590908481E+00 a       122     0     7     1     2
 -5.1281419346468740E+00 a       123     0     7     1     3
  5.9179022423088270E+00 a       124     0     7     1     4
 -8.8404770252658214E+00 a       125     0     7     1     5
 -6.9833343365547789E+00 a       126     0     7     1     6
  4.0144419431723115E+00 a       127     0     7     1     7
  4.2306758763296477E+00 a       128     0     7     1     8
 -1.1629543891736855E+00 a       129     0     7     1     9
  4.7067181394102675E-01 a       130     0     7     1    10
  7.2190848885919778E-01 a       131     0     7     1    11
 -8.7592128882616098E+00 a       132     0     7     1    12
 -7.4969805936439862E+00 a       133     0     7     1    13
  1.9616620342905502E-01 a       134     0     7     1    14
 -5.0094000348689272E-01 a       135     0     7     1    15
 -2.0767207465294066E+00 a       136     0     7     1    16
 -9.3470877484950083E+00 a       137     0     7     1    17
  5.0546424590294832E+00 a       138     0     7     1    18
  5.8007032938451397E-01 a       139     0     7     1    19
  3.0326834931770037E+00 a       140     0     7     1    20
  7.3132219038234081E-01 a       141     0     8     1     1
  1.5938331883282808E+00 a       142     0     8     1     2
 -4.8804774834732996E+00 a       143     0     8     1     3
 -8.4452891844757367E+00 a       144     0     8     1     4
 -4.5138550556257773E-01 a       145     0     8     1     5
 -2.0653942364109529E+01 a       146     0     8     1     6
  1.3696761087101430E+01 a       147     0     8     1     7
  1.1785965087600413E+01 a       148     0     8     1     8
 -4.6438686163662313E+00 a       149     0     8     1     9
 -6.2678751110847184E+00 a       150     0     8     1    10
  1.8998337971869805E+00 a       151     0     8     1    11
 -1.8438269278606771E+00 a       152     0     8     1    12
  1.2723873206091236E+01 a       153     0     8     1    13
  7.4148821642238687E+00 a       154     0     8     1    14
  6.6242509848318001E+00 a       155     0     8     1    15
  4.5287831920601507E+00 a       156     0     8     1    16
  8.3220880302463964E+00 a       157     0     8     1    17
 -4.1003577718457068E-01 a       158     0     8     1    18
 -4.9572831194317031E+00 a       159     0     8     1    19
 -2.0288069285845434E+00 a       160     0     8     1    20
 -9.0088643545372704E-01 a       161     0     9     1     1
 -6.5746361644714357E-01 a       162     0     9     1     2
  7.4580319975363976E+00 a       163     0     9     1     3
  6.8660234358596606E+00 a       164     0     9     1     4
  3.7817255017631592E+00 a       165     0     9     1     5
 -8.0528451584031266E+00 a       166     0     9     1     6
  3.2133165593021146E-01 a       167     0     9     1     7
  3.8838500840324079E+00 a       168     0     9     1     8
 -6.7493562124093598E-01 a       169     0     9     1     9
 -3.8282020586899228E+00 a       170     0     9     1    10
  2.1627885837231813E+00 a       171     0     9     1    11
 -2.1469936404804231E+00 a       172     0     9     1    12
 -1.5732717137563024E-01 a       173     0     9     1    13
 -1.4411103149340352E+00 a       174     0     9     1    14
  1.0409588829099192E+00 a       175     0     9     1    15
 -1.0610053427606092E+01 a       176     0     9     1    16
 -4.7619773729103914E+00 a       177     0     9     1    17
  3.9330673605505635E+00 a       178     0     9     1    18
  2.9727271224980845E+00 a       179     0     9     1    19
  4.4561333020428799E+00 a       180     0     9     1    20
 -1.9308221077317203E+01 a       181     0    10     1     1
  1.5358043463612624E+01 a       182     0    10     1     2
  2.3691155448283188E+00 a       183     0    10     1     3
 -1.2433741449486702E+01 a       184     0    10     1     4
  1.3991579238992887E+01 a       185     0    10     1     5
  1.3597831724911642E+00 a       186     0    10     1     6
  4.3763463062050336E+00 a       187     0    10     1     7
 -4.5601424690247461E+00 a       188     0    10     1     8
 -1.0051796047804362E-01 a       189     0    10     1     9
  1.0327205180861725E+01 a       190     0    10     1    10
 -2.6806513030586530E+00 a       191     0    10     1    11
  8.6521720235160764E+00 a       192     0    10     1    12
  4.5613003640891856E+00 a       193     0    10     1    13
 -1.2711522511252062E+00 a       194     0    10     1    14
 -6.3239645923893253E+00 a       195     0    10     1    15
 -1.6778901560907226E+01 a       196     0    10     1    16
  5.6729110899071422E+00 a       197     0    10     1    17
  2.6822109375550255E+01 a       198     0    10     1    18
 -9.8069654590159203E+00 a       199     0    10     1    19
  6.3401174517312286E+00 a       200     0    10     1    20
 -9.3222974191264085E-01 a       201     0    11     1     1
  2.2342832775781374E+00 a       202     0    11     1     2
 -4.7914883052297830E+00 a       203     0    11     1     3
 -3.2136206310230828E+00 a       204     0    11     1     4
 -5.8621496414018246E+00 a       205     0    11     1     5
 -6.4239402993888177E+00 a       206     0    11     1     6
  2.2639319529589202E-01 a       207     0    11     1     7
  2.5043056476822212E+00 a       208     0    11     1     8
 -1.2036729594093847E+01 a       209     0    11     1     9
  1.7413101097059840E+00 a       210     0    11     1    10
  9.2903199022240757E-01 a       211     0    11     1    11
 -2.8869089922347988E+00 a       212     0    11     1    12
  1.2546200718373646E+00 a       213     0    11     1    13
  2.7465526078197815E+00 a       214     0    11     1    14
 -2.7974703807187788E+00 a       215     0    11     1    15
  4.0990867055859379E+00 a       216     0    11     1    16
  4.5298719580829006E-01 a       217     0    11     1    17
