################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         17   2.2455161684687379E-04   6.6269517211153201E-03   2.1710293112061213E-03   1.1408196604587749E-03
         1         18   1.1884878659321929E-03   2.9633513181838267E-02   9.0230591231832257E-03   5.6488381971298313E-03
         1         19   5.9955640001993190E-04   3.1788085334038173E-02   8.4767979403447789E-03   6.8026392919819248E-03
         1         20   5.5645587080520146E-04   1.4151412776388796E-02   5.9331320866392468E-03   2.6169782325452455E-03
         1         21   5.0086042893992795E-03   6.5533275260037577E-02   2.6161946455770989E-02   1.2466894339033779E-02
         1         22   4.9032661475760598E-03   8.0533552390291474E-02   2.6644844646635794E-02   1.6693263979648380E-02
         1         23   1.4904894912511258E-05   6.9276515306326803E-04   1.2661622879823705E-04   1.1034973246549544E-04
         1         24   6.2838466631187788E-06   2.7530331315353922E-03   4.8755083036212753E-04   5.3838346535854914E-04
         1         25   1.4247543872859308E-07   2.5082551774614878E-03   3.7465665569166341E-04   4.8435195387234401E-04
         1         26   3.1705549968962557E-04   4.9507482494903837E-03   2.2175892953490641E-03   8.8531718266276463E-04
         1         27   2.4163168805996812E-03   2.2755966371528626E-02   1.0030030362502438E-02   4.1076667572837117E-03
         1         28   2.9539292225982294E-03   2.9753163799206433E-02   1.0843011298460766E-02   5.7501760857125665E-03
         1         29   1.2263413138250301E-03   2.8012441321077216E-02   6.7313055854179944E-03   4.1542281299365696E-03
         1         30   6.4235606353490815E-03   1.1885690110777102E-01   3.1570890379731320E-02   2.0302363783806003E-02
         1         31   2.1587153350493800E-03   1.2439625194302703E-01   3.0293170892924073E-02   2.5122498746792420E-02
         1         32   2.1489325594819114E-03   5.8588542924328843E-02   1.8173823314604418E-02   9.8711334406366980E-03
         1         33   2.0318275883944165E-02   2.5935012458177648E-01   9.0777349745827920E-02   4.6350741978680138E-02
         1         34   1.6490720078014526E-02   3.0596312700361555E-01   9.9461798763886472E-02   6.5626397661964569E-02
         1         35   2.5682244904244453E-05   2.5944639115403709E-03   4.6733861123695881E-04   3.4312484479009187E-04
         1         36   6.3139773765214126E-05   9.6731408380209289E-03   1.6167220338040276E-03   1.7976348317580472E-03
         1         37   8.0280874969071602E-07   7.5086729967674378E-03   1.1601246680196698E-03   1.4844367518964308E-03
         1         38   1.1742002860767489E-03   1.9109419323836169E-02   7.2053399544158162E-03   3.4125474385207966E-03
         1         39   8.7754939975251758E-03   8.5811725572453701E-02   3.4528652694802604E-02   1.5388174508831504E-02
         1         40   9.8470789191947607E-03   1.1257190136431673E-01   4.1100754338188834E-02   2.3148796408503310E-02
         2          1   1.2543001122924266E-01   6.5319492093485687E-01   3.6190678041852964E-01   1.1251659594484480E-01
         2          2   3.2200528862127459E-01   1.1837190983473502E+00   6.1469406132848303E-01   1.9873697146929239E-01
         2          3   1.8856369481616223E-01   1.1614441145880596E+00   6.6393801450371004E-01   1.9432543659384374E-01
         2          4   5.0161731276368760E-01   2.1032825651543172E+00   1.1583904741666755E+00   3.6680466873544326E-01
         2          5   2.1228675027733068E-01   1.4693240026983851E+00   7.6654910830794942E-01   1.9977424055599224E-01
         2          6   3.9092080774209154E-01   2.4839597674836935E+00   1.3334980270208279E+00   4.6640477306363842E-01
         2          7   2.3691847477394207E-01   1.1463987927482449E+00   5.7320089073254132E-01   1.3743344530501880E-01
         2          8   5.5176760908115430E-01   2.2042258700231909E+00   1.2250625605870413E+00   4.7799543629956259E-01
         2          9   4.4238432976131010E-03   7.8570451287895937E-01   4.1860331373643778E-01   1.5402677801383180E-01
         2         10   4.7530338966549829E-01   1.4975755347884696E+00   8.8351768356143445E-01   2.9337379780938228E-01
         2         11   1.9869125282385951E-07   4.1304913410110344E-01   1.9174412544443262E-01   9.7782873999497630E-02
         2         12   4.4411286300554476E-01   8.7822788799202733E-01   6.1028036110527817E-01   1.4470866698810633E-01
         2         13   1.5947178503661410E-16   3.2082034642615481E-01   1.7212992202623686E-01   1.2131639165994582E-01
         2         14   4.6413712469804685E-01   8.9121902564815214E-01   6.4641700140436043E-01   1.0480781423458566E-01
         2         15   4.0109273863853308E-34   3.4932291266712601E-01   2.0582659596594480E-01   1.4626781802391553E-01
         2         16   4.3857308542296282E-02   1.8721164626846643E-01   1.0311748987641274E-01   1.6563056678315185E-02
         2         17   4.3124992563852132E-04   7.6892339771703396E-03   3.4120772325280492E-03   1.3113491698438645E-03
         2         18   2.4816128532410293E-03   3.1143189049735169E-02   1.3233856454812825E-02   5.9500781622880850E-03
         2         19   1.8344543993537811E-03   3.0252574563843896E-02   1.1358853071944962E-02   6.5703551594033889E-03
         2         20   9.4635694886027592E-04   1.8007304092963503E-02   8.3162579604567511E-03   3.3747126112376254E-03
         2         21   7.7638933971014975E-03   7.8415849875687255E-02   3.3595000327827348E-02   1.4421446950079851E-02
         2         22   9.9754270979110146E-03   7.8450905281207670E-02   3.0497666979823548E-02   1.4225614563742418E-02
         2         23   5.0245501685370212E-05   7.2125115974891961E-04   2.7537294945740296E-04   1.0435553945206811E-04
         2         24   2.1965455682029488E-04   2.7875027672355454E-03   1.0341130310244321E-03   4.8779090989183320E-04
         2         25   5.2528189889497643E-06   3.2890585052989499E-03   1.0086053510764657E-03   9.2070899651663473E-04
         2         26   4.8096513638172013E-04   6.5958616895122925E-03   2.9375973699137439E-03   1.1960311856506801E-03
         2         27   3.7075707295107568E-03   2.7295702706214953E-02   1.2275681750792938E-02   4.9960612357323820E-03
