################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.0847916687856263E-01 a         1     0     1     1     1
  2.2390296678543066E-02 a         2     0     1     1     2
  1.4025529979404152E+00 a         3     0     1     1     3
  2.9840179004161194E-01 a         4     0     1     1     4
 -6.0734831358336971E-01 a         5     0     1     1     5
 -8.9408527175043673E-01 a         6     0     1     1     6
  5.1721735494408050E-01 a         7     0     1     1     7
 -4.2285240778029581E-01 a         8     0     1     1     8
  1.2393179775301513E+00 a         9     0     1     1     9
  1.2287962167934788E-01 a        10     0     1     1    10
 -5.6600331635390311E-01 a        11     0     1     1    11
 -1.1725099677266253E+00 a        12     0     1     1    12
 -1.6643910696423865E+00 a        13     0     1     1    13
 -6.2196959830849885E-01 a        14     0     1     1    14
  1.3667902257361362E+00 a        15     0     1     1    15
 -3.9161354195777359E-01 a        16     0     1     1    16
  3.6826545909670011E-01 a        17     0     1     1    17
  3.5496453723579674E-01 a        18     0     1     1    18
 -9.1569710597411080E-01 a        19     0     1     1    19
  2.1137058059931668E+00 a        20     0     1     1    20
  1.9592942867145664E+00 a        21     0     2     1     1
  1.1556042183814894E+00 a        22     0     2     1     2
 -6.3005299949452709E-01 a        23     0     2     1     3
  7.5943763921643470E-01 a        24     0     2     1     4
 -1.3084083382470175E+00 a        25     0     2     1     5
  2.4157301784719473E-01 a        26     0     2     1     6
  5.5452699045102605E-01 a        27     0     2     1     7
  5.3014134272298907E-01 a        28     0     2     1     8
  1.9958453140008070E+00 a        29     0     2     1     9
  6.4635753245526761E-01 a        30     0     2     1    10
 -2.4898367699656974E+00 a        31     0     2     1    11
  1.3865303351307054E+00 a        32     0     2     1    12
  1.0842071084328428E-01 a        33     0     2     1    13
 -1.2738401296393549E+00 a        34     0     2     1    14
  8.5109592487114227E-01 a        35     0     2     1    15
  1.8462288771917593E-02 a        36     0     2     1    16
  5.7971484899937664E-01 a        37     0     2     1    17
  1.4020729681288953E+00 a        38     0     2     1    18
 -5.1203930444457701E-01 a        39     0     2     1    19
 -1.1967180558036115E+00 a        40     0     2     1    20
  5.5641694764308125E-01 a        41     0     3     1     1
  9.6088169178550420E-01 a        42     0     3     1     2
  2.7916700594737548E-01 a        43     0     3     1     3
 -6.7915088712878346E-01 a        44     0     3     1     4
 -3.1490853051159384E-01 a        45     0     3     1     5
  1.6247549153725768E-01 a        46     0     3     1     6
  1.4049965698845173E+00 a        47     0     3     1     7
 -9.2972549290138140E-01 a        48     0     3     1     8
  2.6541151956626385E+00 a        49     0     3     1     9
 -5.4921830155423212E-01 a        50     0     3     1    10
  4.4636142018679287E-01 a        51     0     3     1    11
  1.9564788195013352E-01 a        52     0     3     1    12
 -1.8876108279473165E+00 a        53     0     3     1    13
  4.8814495719147794E-01 a        54     0     3     1    14
 -1.2849952480891196E+00 a        55     0     3     1    15
  4.6189728674107777E-01 a        56     0     3     1    16
  7.1850059418431769E-02 a        57     0     3     1    17
 -2.0328192213715766E+00 a        58     0     3     1    18
 -1.9553567992689272E-01 a        59     0     3     1    19
  1.0613495505783150E+00 a        60     0     3     1    20
