################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7877922834883402E+00 a         1     0     1     1     1
 -4.3667424149535872E-01 a         2     0     1     1     2
 -4.2205546701840219E-01 a         3     0     1     1     3
  4.1864444003787629E+00 a         4     0     1     1     4
 -9.8720363538088585E-01 a         5     0     1     1     5
  9.3430773648075005E-01 a         6     0     1     1     6
 -9.3969551966626552E-01 a         7     0     1     1     7
 -1.5019655776899070E+00 a         8     0     1     1     8
 -1.1778334082545117E+00 a         9     0     1     1     9
 -1.1608562831578717E+00 a        10     0     1     1    10
  1.6077107944484996E+00 a        11     0     1     1    11
 -2.2022243045063106E+00 a        12     0     1     1    12
  1.5428539996727816E-01 a        13     0     1     1    13
 -2.4695910018296376E+00 a        14     0     1     1    14
 -2.2042262279057012E+00 a        15     0     1     1    15
  5.3089926043416902E-01 a        16     0     1     1    16
  1.9477917294376150E+00 a        17     0     1     1    17
 -3.3194832833822905E+00 a        18     0     1     1    18
  7.8982390842774952E-01 a        19     0     1     1    19
  1.1553368914619794E-01 a        20     0     1     1    20
  5.6624331379238313E-01 a        21     0     2     1     1
 -1.9676625405052700E-01 a        22     0     2     1     2
  5.5276798118001613E-01 a        23     0     2     1     3
 -2.5199547190902647E-02 a        24     0     2     1     4
  4.3899188448382268E-03 a        25     0     2     1     5
 -8.1101634738604794E-02 a        26     0     2     1     6
  4.0937725829106725E-01 a        27     0     2     1     7
 -5.9910071197729697E-01 a        28     0     2     1     8
  1.9923603831315100E+00 a        29     0     2     1     9
 -7.1064564773640415E-01 a        30     0     2     1    10
 -4.0259891966163491E-01 a        31     0     2     1    11
  4.7804992599970529E-02 a        32     0     2     1    12
  5.5868029259863605E-01 a        33     0     2     1    13
  7.7845476856036211E-01 a        34     0     2     1    14
 -1.9572258643619914E-01 a        35     0     2     1    15
  1.2177075080443585E+00 a        36     0     2     1    16
  1.0875864484738702E+00 a        37     0     2     1    17
 -2.8344925984564644E+00 a        38     0     2     1    18
  2.4065789753371800E+00 a        39     0     2     1    19
 -3.8018021718409134E-01 a        40     0     2     1    20
 -5.4505326866791648E-01 a        41     0     3     1     1
  2.4604652071095643E+00 a        42     0     3     1     2
  1.3042421877214765E+00 a        43     0     3     1     3
  3.6013352810216864E-01 a        44     0     3     1     4
 -1.6645302959892332E+00 a        45     0     3     1     5
  7.0292570733365733E-01 a        46     0     3     1     6
 -8.6231595583224491E-02 a        47     0     3     1     7
  3.6195429141005051E+00 a        48     0     3     1     8
 -7.4677298350060040E-01 a        49     0     3     1     9
  2.9152209998013529E-01 a        50     0     3     1    10
  7.7839753309818527E-01 a        51     0     3     1    11
  4.3827975317680448E+00 a        52     0     3     1    12
  5.3796850310351907E-01 a        53     0     3     1    13
 -7.1981120814853432E-03 a        54     0     3     1    14
  2.1301512070763056E+00 a        55     0     3     1    15
  1.9609927968444307E+00 a        56     0     3     1    16
  1.1567483725079273E+00 a        57     0     3     1    17
 -2.2296586615449452E+00 a        58     0     3     1    18
 -1.7395350262881324E+00 a        59     0     3     1    19
 -3.8402444566644400E-01 a        60     0     3     1    20
 -1.2655201581475553E+00 a        61     0     4     1     1
 -9.0626432415349545E-01 a        62     0     4     1     2
  7.4238846865118879E-01 a        63     0     4     1     3
 -2.1986311480194956E+00 a        64     0     4     1     4
 -1.3734211775242835E+00 a        65     0     4     1     5
 -2.8126531097145469E-01 a        66     0     4     1     6
  1.2508466703123793E+00 a        67     0     4     1     7
 -8.3283730651064669E-01 a        68     0     4     1     8
  7.8457073253370635E-01 a        69     0     4     1     9
  2.6357039477326177E-01 a        70     0     4     1    10
  1.5052357286671794E-01 a        71     0     4     1    11
  4.2001335083485170E-01 a        72     0     4     1    12
  8.4752236004719805E-01 a        73     0     4     1    13
 -1.1429025599861643E-01 a        74     0     4     1    14
 -4.0897356771577194E+00 a        75     0     4     1    15
 -2.0315936140382851E+00 a        76     0     4     1    16
 -2.7363846550712414E+00 a        77     0     4     1    17
  1.5839815564373150E+00 a        78     0     4     1    18
 -2.3505147701323943E+00 a        79     0     4     1    19
 -6.0096547984239005E-03 a        80     0     4     1    20
 -6.1326312995434129E-01 a        81     0     5     1     1
 -8.7797737913811857E-01 a        82     0     5     1     2
 -1.1031684244592850E+00 a        83     0     5     1     3
  5.4817164488671766E-01 a        84     0     5     1     4
 -2.3868149599015778E-01 a        85     0     5     1     5
 -1.3175231788340899E-01 a        86     0     5     1     6
  1.4743052111784551E+00 a        87     0     5     1     7
 -1.1162613726252413E+00 a        88     0     5     1     8
  3.2696165121916714E+00 a        89     0     5     1     9
  2.1539989777164167E-01 a        90     0     5     1    10
 -8.9162145429293216E-01 a        91     0     5     1    11
 -1.8856648743997171E+00 a        92     0     5     1    12
 -1.7091246038230370E+00 a        93     0     5     1    13
  1.6592642488073468E+00 a        94     0     5     1    14
  3.6298209863982915E+00 a        95     0     5     1    15
  1.6862434517126550E+00 a        96     0     5     1    16
  1.3387520357297495E+00 a        97     0     5     1    17
  8.8195060650859214E-01 a        98     0     5     1    18
 -1.9092984938284356E+00 a        99     0     5     1    19
 -1.1535539676023734E+00 a       100     0     5     1    20
 -1.8590548687357031E-01 a       101     0     6     1     1
  1.6146401198337921E+00 a       102     0     6     1     2
  1.0473914338136663E+00 a       103     0     6     1     3
 -1.8836673762404434E+00 a       104     0     6     1     4
 -3.7119170850766825E-01 a       105     0     6     1     5
  1.1302791783485003E-01 a       106     0     6     1     6
 -1.1913684045920716E+00 a       107     0     6     1     7
 -3.2813268213757699E-02 a       108     0     6     1     8
  1.6991252584552768E-01 a       109     0     6     1     9
  1.2333059418062309E+00 a       110     0     6     1    10
 -5.7097376510494935E-01 a       111     0     6     1    11
 -8.3290971866102237E-02 a       112     0     6     1    12
 -2.4677149537702836E+00 a       113     0     6     1    13
  3.5746712086931176E-01 a       114     0     6     1    14
  1.6444058178757108E+00 a       115     0     6     1    15
  2.1834610607641233E-02 a       116     0     6     1    16
 -6.2014430614769844E-01 a       117     0     6     1    17
  5.8132870800065928E-01 a       118     0     6     1    18
  5.3444114668494280E-01 a       119     0     6     1    19
 -1.1453396429023672E+00 a       120     0     6     1    20
 -9.2952149498287104E-02 a       121     0     7     1     1
 -2.4888873963183553E-01 a       122     0     7     1     2
  8.3274845936268194E-01 a       123     0     7     1     3
 -2.2461326788013758E-01 a       124     0     7     1     4
 -5.4216183986077360E-01 a       125     0     7     1     5
 -2.6470975012402204E-01 a       126     0     7     1     6
 -8.5513068031502792E-01 a       127     0     7     1     7
  5.8161734904488149E-01 a       128     0     7     1     8
  2.3189958760421503E-01 a       129     0     7     1     9
 -1.5912853682710326E+00 a       130     0     7     1    10
  4.9282352694587317E-01 a       131     0     7     1    11
 -8.5304602642759175E-01 a       132     0     7     1    12
 -6.3412854169304056E-01 a       133     0     7     1    13
 -1.2153276195608029E+00 a       134     0     7     1    14
  3.2785935716011769E+00 a       135     0     7     1    15
  9.1786237196844367E-02 a       136     0     7     1    16
 -2.3065352376791270E-01 a       137     0     7     1    17
 -6.2912962357909796E-01 a       138     0     7     1    18
 -3.2178262018007686E+00 a       139     0     7     1    19
  1.6230425679458679E-01 a       140     0     7     1    20
 -1.9749910977652188E-01 a       141     0     8     1     1
 -1.0431265757902490E+00 a       142     0     8     1     2
 -2.9040466947945713E+00 a       143     0     8     1     3
  1.0369605863760141E-01 a       144     0     8     1     4
  1.8150926722433049E+00 a       145     0     8     1     5
  7.9593659324848032E-01 a       146     0     8     1     6
  2.3155425193185297E+00 a       147     0     8     1     7
 -1.3611943025542658E-01 a       148     0     8     1     8
  2.2901439300108839E+00 a       149     0     8     1     9
 -1.2400404298724848E+00 a       150     0     8     1    10
 -3.7045586374488415E-01 a       151     0     8     1    11
  3.0558798891196579E+00 a       152     0     8     1    12
 -9.3338467264490876E-01 a       153     0     8     1    13
  4.0572268549898105E-01 a       154     0     8     1    14
  4.2622907084416140E-01 a       155     0     8     1    15
 -1.5955698070403357E+00 a       156     0     8     1    16
  1.2712338437475574E+00 a       157     0     8     1    17
  2.7632455570392467E-01 a       158     0     8     1    18
  1.1705860569929301E+00 a       159     0     8     1    19
  4.3126201376511260E+00 a       160     0     8     1    20
 -1.7602232123164239E+00 a       161     0     9     1     1
 -2.1386124680585292E-01 a       162     0     9     1     2
 -5.8266773753298051E-01 a       163     0     9     1     3
 -1.3474770728926053E+00 a       164     0     9     1     4
  1.8148946015374692E+00 a       165     0     9     1     5
 -1.2368678643854956E+00 a       166     0     9     1     6
  1.0832729210247010E+00 a       167     0     9     1     7
  1.3966539526002889E-01 a       168     0     9     1     8
  6.3282534560809056E-01 a       169     0     9     1     9
 -1.4737152556326860E+00 a       170     0     9     1    10
 -1.9736777703918493E+00 a       171     0     9     1    11
 -1.4886774815438524E+00 a       172     0     9     1    12
  9.5981172409725879E-01 a       173     0     9     1    13
  1.6288103170164374E+00 a       174     0     9     1    14
 -1.4616192499269662E+00 a       175     0     9     1    15
  1.3135403245051662E+00 a       176     0     9     1    16
  3.6686972634649589E-01 a       177     0     9     1    17
 -5.2293736945289582E-01 a       178     0     9     1    18
  5.7493845341855108E-02 a       179     0     9     1    19
  1.4617402918860634E+00 a       180     0     9     1    20
  2.4780815499701864E-01 a       181     0    10     1     1
 -6.1206565496625431E-01 a       182     0    10     1     2
 -9.6937139121107352E-01 a       183     0    10     1     3
 -1.1138102323823287E-01 a       184     0    10     1     4
  1.7847398101122709E+00 a       185     0    10     1     5
  1.3882506235646586E+00 a       186     0    10     1     6
 -9.9797468865674166E-01 a       187     0    10     1     7
  9.3913653432927846E-02 a       188     0    10     1     8
  2.0034238944730181E+00 a       189     0    10     1     9
  6.6017626417404840E-01 a       190     0    10     1    10
  5.6341556485209587E-01 a       191     0    10     1    11
 -6.3948126864825150E-01 a       192     0    10     1    12
  5.3900419634354069E-01 a       193     0    10     1    13
 -9.9853487022364934E-02 a       194     0    10     1    14
  2.0064625491902097E+00 a       195     0    10     1    15
  2.2893858553323893E-01 a       196     0    10     1    16
 -1.6973077934637346E+00 a       197     0    10     1    17
 -2.8699915708488849E-01 a       198     0    10     1    18
 -7.3892993441406341E-01 a       199     0    10     1    19
  1.4626316254464380E+00 a       200     0    10     1    20
  8.5046364373018057E-01 a       201     0    11     1     1
 -1.0231870030184258E+00 a       202     0    11     1     2
 -5.5360909123893787E-01 a       203     0    11     1     3
 -8.6387243584399998E-01 a       204     0    11     1     4
 -5.7163788992189424E-01 a       205     0    11     1     5
  9.8543147707938417E-01 a       206     0    11     1     6
  9.2903433179242073E-03 a       207     0    11     1     7
  2.0916580698189224E+00 a       208     0    11     1     8
  1.3520888902741777E+00 a       209     0    11     1     9
  1.0565608020446038E+00 a       210     0    11     1    10
  1.6805048080286695E+00 a       211     0    11     1    11
  6.6045196271698869E-01 a       212     0    11     1    12
  2.5557959491538949E+00 a       213     0    11     1    13
 -5.2022571625663050E-01 a       214     0    11     1    14
 -1.1347774628035351E-03 a       215     0    11     1    15
  1.3746636948850899E+00 a       216     0    11     1    16
 -6.3537778682350965E-01 a       217     0    11     1    17
 -1.9326893996225600E+00 a       218     0    11     1    18
  6.1637217892413287E-01 a       219     0    11     1    19
  1.1594127089632753E+00 a       220     0    11     1    20
 -9.8998113556722156E-01 a       221     0    12     1     1
  1.9413043739577875E+00 a       222     0    12     1     2
 -1.6704405228655463E+00 a       223     0    12     1     3
  2.4652815561352859E+00 a       224     0    12     1     4
  1.6000322410227499E-02 a       225     0    12     1     5
 -7.7320057019808885E-01 a       226     0    12     1     6
 -1.3781469460320628E-01 a       227     0    12     1     7
 -1.5712639187560427E+00 a       228     0    12     1     8
 -1.9998220742534261E+00 a       229     0    12     1     9
  1.5681677427467844E+00 a       230     0    12     1    10
 -3.2908210785300476E+00 a       231     0    12     1    11
  2.5048220933138148E+00 a       232     0    12     1    12
  1.1860716840628376E-01 a       233     0    12     1    13
  1.7906459294432260E+00 a       234     0    12     1    14
  2.1664555858472627E+00 a       235     0    12     1    15
 -4.4436486709535922E-01 a       236     0    12     1    16
 -3.5900344292071975E+00 a       237     0    12     1    17
