################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4504592234450731E+00 a         1     0     1     1     1
  1.6528687549995738E-01 a         2     0     1     1     2
 -1.7236751020975302E-01 a         3     0     1     1     3
  2.4860398776811690E+00 a         4     0     1     1     4
  1.1144868828309767E-01 a         5     0     1     1     5
  1.2782619261282768E+00 a         6     0     1     1     6
 -7.3531230506096978E-01 a         7     0     1     1     7
 -1.9293123549041757E-01 a         8     0     1     1     8
 -1.5317396328743951E+00 a         9     0     1     1     9
 -7.6780937127682206E-02 a        10     0     1     1    10
 -8.6000051972387637E-01 a        11     0     1     1    11
  5.3034198955125145E-01 a        12     0     1     1    12
  1.6648926578308580E+00 a        13     0     1     1    13
 -1.5041419027940079E+00 a        14     0     1     1    14
 -2.6984444130961566E-01 a        15     0     1     1    15
  4.5379822209084003E-01 a        16     0     1     1    16
 -2.5588911431985295E+00 a        17     0     1     1    17
 -5.7461682553196336E-01 a        18     0     1     1    18
  2.4306823081078019E+00 a        19     0     1     1    19
 -1.7582015052551019E+00 a        20     0     1     1    20
  1.0746341190861572E+00 a        21     0     2     1     1
 -2.7089632063013327E+00 a        22     0     2     1     2
  1.3408096409808303E+00 a        23     0     2     1     3
 -1.8904743320594986E+00 a        24     0     2     1     4
  2.5235362211017027E+00 a        25     0     2     1     5
 -5.5975439895398604E-02 a        26     0     2     1     6
 -2.0415497531839891E-01 a        27     0     2     1     7
  1.8121187993219978E-01 a        28     0     2     1     8
  9.5496354055535271E-01 a        29     0     2     1     9
  7.3622953170061312E-01 a        30     0     2     1    10
 -1.3749829310879567E+00 a        31     0     2     1    11
  8.1710796393587237E-01 a        32     0     2     1    12
  3.7452301934540499E-01 a        33     0     2     1    13
 -2.0416343825905367E-01 a        34     0     2     1    14
  2.1851373711029484E-01 a        35     0     2     1    15
 -1.3729431073266525E+00 a        36     0     2     1    16
  1.4141058624903287E+00 a        37     0     2     1    17
  1.1902027977928318E+00 a        38     0     2     1    18
 -1.2573878487269676E+00 a        39     0     2     1    19
 -9.8360832438167256E-01 a        40     0     2     1    20
 -2.3199641947636098E+00 a        41     0     3     1     1
 -2.7038774018825396E-01 a        42     0     3     1     2
  1.8407748600861376E+00 a        43     0     3     1     3
 -3.8731274351874412E-01 a        44     0     3     1     4
  4.9397633218533915E-01 a        45     0     3     1     5
  1.8562071311101838E+00 a        46     0     3     1     6
  8.6737096718193490E-02 a        47     0     3     1     7
  7.5863694170553864E-01 a        48     0     3     1     8
  1.3244417053058672E+00 a        49     0     3     1     9
  2.4769305449502759E+00 a        50     0     3     1    10
  1.0457902391783604E+00 a        51     0     3     1    11
  8.9372913115329722E-01 a        52     0     3     1    12
  5.0741309183634287E-01 a        53     0     3     1    13
  2.4640988268258379E+00 a        54     0     3     1    14
  7.1996236096971156E-01 a        55     0     3     1    15
  9.8058702493005279E-01 a        56     0     3     1    16
 -1.4344247091856959E+00 a        57     0     3     1    17
 -2.8749329150660607E-01 a        58     0     3     1    18
 -1.3244561832825769E-01 a        59     0     3     1    19
  7.8891847408196114E-01 a        60     0     3     1    20
  7.8085674753270351E-01 a        61     0     4     1     1
  9.0385737702527391E-01 a        62     0     4     1     2
 -1.4213558424603829E+00 a        63     0     4     1     3
  2.1722859053525307E+00 a        64     0     4     1     4
 -2.0327451877881040E+00 a        65     0     4     1     5
  1.7231784342790821E+00 a        66     0     4     1     6
  1.9578298097177209E+00 a        67     0     4     1     7
 -2.2853899423250947E+00 a        68     0     4     1     8
 -1.2342785899099489E+00 a        69     0     4     1     9
  5.6423134493968352E-01 a        70     0     4     1    10
