################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.6972510278533852E-01 a         1     0     1     1     1
  3.7663880547424894E-01 a         2     0     1     1     2
  1.3297263835771835E+00 a         3     0     1     1     3
  1.8168537093157431E+00 a         4     0     1     1     4
 -1.9008750266197347E+00 a         5     0     1     1     5
  3.9165287938846804E-01 a         6     0     1     1     6
 -2.8191211496557386E-02 a         7     0     1     1     7
  7.7831826569551787E-01 a         8     0     1     1     8
 -1.9485534754098346E+00 a         9     0     1     1     9
  2.7203605200060719E+00 a        10     0     1     1    10
  1.4983985048956042E-01 a        11     0     1     1    11
  1.4599974892655820E+00 a        12     0     1     1    12
  1.0908749816370551E-01 a        13     0     1     1    13
  4.3177128072253206E+00 a        14     0     1     1    14
 -1.2298107320881118E+00 a        15     0     1     1    15
  8.5252042393843508E-01 a        16     0     1     1    16
  7.6290469768673363E-01 a        17     0     1     1    17
  2.9299120502471285E+00 a        18     0     1     1    18
  3.3257944949363218E-02 a        19     0     1     1    19
 -2.2574729900306081E-01 a        20     0     1     1    20
 -1.4368534515654767E+00 a        21     0     2     1     1
  6.9802204337845605E-02 a        22     0     2     1     2
 -6.0545069684054731E-01 a        23     0     2     1     3
 -1.7524660742861339E-01 a        24     0     2     1     4
  9.1394452078897548E-01 a        25     0     2     1     5
 -3.2858212730537301E-01 a        26     0     2     1     6
 -1.6036799762818861E+00 a        27     0     2     1     7
 -7.2622051625524164E-01 a        28     0     2     1     8
  1.2708982090290766E+00 a        29     0     2     1     9
  1.0428913250920906E-01 a        30     0     2     1    10
 -6.2862403437247794E-01 a        31     0     2     1    11
 -1.7444864972218337E+00 a        32     0     2     1    12
 -2.0750493298840308E-01 a        33     0     2     1    13
  2.6849411612542146E-01 a        34     0     2     1    14
  1.8116521725146836E-01 a        35     0     2     1    15
 -1.0305552701809169E+00 a        36     0     2     1    16
 -3.4342817824514987E-01 a        37     0     2     1    17
 -1.9619666111004783E+00 a        38     0     2     1    18
 -1.9795344987409494E-01 a        39     0     2     1    19
 -5.1767564879474204E-01 a        40     0     2     1    20
 -1.1062607987235966E+00 a        41     0     3     1     1
  2.8688385721460108E-01 a        42     0     3     1     2
  1.7725869592970749E+00 a        43     0     3     1     3
 -7.3853710947874851E-01 a        44     0     3     1     4
  2.3240399987193006E-01 a        45     0     3     1     5
 -8.7414874533097042E-01 a        46     0     3     1     6
 -1.3586637844566551E+00 a        47     0     3     1     7
  1.3797497692073313E-01 a        48     0     3     1     8
  3.0324472508278166E-01 a        49     0     3     1     9
  8.0306363250979929E-01 a        50     0     3     1    10
 -1.0111297224106075E+00 a        51     0     3     1    11
 -6.7690452205877516E-01 a        52     0     3     1    12
