################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4814725658105683E+00 a         1     0     1     1     1
  3.8119037034975780E+00 a         2     0     1     1     2
 -4.8203430219154755E-02 a         3     0     1     1     3
  4.3791293946986052E+00 a         4     0     1     1     4
 -3.9787565089638544E+00 a         5     0     1     1     5
  3.0058727846021278E+00 a         6     0     1     1     6
  1.9177321430305022E-01 a         7     0     1     1     7
  9.3512275472841400E-01 a         8     0     1     1     8
  2.1039702513423837E+00 a         9     0     1     1     9
 -1.2803744070554139E+00 a        10     0     1     1    10
  3.4568804152323751E+00 a        11     0     1     1    11
 -5.0931232609210264E-01 a        12     0     1     1    12
  7.1833163855891030E-02 a        13     0     1     1    13
 -1.4598101194316020E+00 a        14     0     1     1    14
 -1.5678846499397863E+00 a        15     0     1     1    15
  1.1460923320178402E+00 a        16     0     1     1    16
  1.5689994488465715E+00 a        17     0     1     1    17
  2.4912973584879086E+00 a        18     0     1     1    18
  6.3650371748929113E-01 a        19     0     1     1    19
  2.7050855862706574E-01 a        20     0     1     1    20
  1.3105486181469632E+00 a        21     0     2     1     1
  3.4487928241445659E-01 a        22     0     2     1     2
  8.8133555500738470E-01 a        23     0     2     1     3
  3.5199121645323123E-01 a        24     0     2     1     4
  1.8558580020360846E-01 a        25     0     2     1     5
 -4.7418416576329514E-01 a        26     0     2     1     6
 -9.7320725334972036E-01 a        27     0     2     1     7
 -1.6551406245175042E+00 a        28     0     2     1     8
 -3.3353382017419864E+00 a        29     0     2     1     9
  1.4688657544143175E+00 a        30     0     2     1    10
 -7.5836329311818398E-02 a        31     0     2     1    11
 -2.3605692185993834E+00 a        32     0     2     1    12
 -3.0594697347597952E+00 a        33     0     2     1    13
  4.7690009952766271E-01 a        34     0     2     1    14
  2.3697650275998119E-01 a        35     0     2     1    15
  9.4761405696021594E-01 a        36     0     2     1    16
  1.6600035598677063E-01 a        37     0     2     1    17
  1.3642810447946907E+00 a        38     0     2     1    18
  2.0650967853028912E+00 a        39     0     2     1    19
 -1.9871271367309713E+00 a        40     0     2     1    20
  2.8868834295519195E+00 a        41     0     3     1     1
 -1.3105592363239515E+00 a        42     0     3     1     2
  1.3257081749911241E+00 a        43     0     3     1     3
  2.1531361849276753E+00 a        44     0     3     1     4
  1.9978192219574959E+00 a        45     0     3     1     5
 -1.6073020440605856E+00 a        46     0     3     1     6
 -1.9407100085627567E+00 a        47     0     3     1     7
 -6.8166745053113675E-01 a        48     0     3     1     8
  8.8592681487494229E-01 a        49     0     3     1     9
  1.1906113712969288E+00 a        50     0     3     1    10
  1.1987967938133379E+00 a        51     0     3     1    11
 -4.9712197015948667E-01 a        52     0     3     1    12
 -1.1196312723575281E+00 a        53     0     3     1    13
  2.5933464797941488E+00 a        54     0     3     1    14
  1.0002185858181933E+00 a        55     0     3     1    15
  6.0820423345611836E+00 a        56     0     3     1    16
  2.4835363467929414E+00 a        57     0     3     1    17
  9.5481886988641751E-01 a        58     0     3     1    18
  1.7322910498689583E+00 a        59     0     3     1    19
 -3.7123981121678091E+00 a        60     0     3     1    20
 -4.3001598756746642E+00 a        61     0     4     1     1
  1.3189662437723673E+00 a        62     0     4     1     2
  1.8773083204866676E+00 a        63     0     4     1     3
 -7.8835524329356477E-02 a        64     0     4     1     4
  1.7058843862610285E-01 a        65     0     4     1     5
 -3.7622843493906760E-01 a        66     0     4     1     6
 -3.8364070145253613E+00 a        67     0     4     1     7
  2.0966477607980094E+00 a        68     0     4     1     8
 -8.8018469690086670E-03 a        69     0     4     1     9
  1.5699068614526798E-01 a        70     0     4     1    10
  2.1274459955803571E+00 a        71     0     4     1    11
  1.4931071325570131E+00 a        72     0     4     1    12
 -3.1480623851670941E+00 a        73     0     4     1    13
  2.4731254783319914E+00 a        74     0     4     1    14
  7.4067808430347615E-01 a        75     0     4     1    15
 -2.6928486513672785E+00 a        76     0     4     1    16
 -4.1180476295239182E-01 a        77     0     4     1    17
  9.3996424409098611E-01 a        78     0     4     1    18
 -2.8374165929592445E+00 a        79     0     4     1    19
 -4.0579827419448883E-01 a        80     0     4     1    20
 -2.7346500961379991E+00 a        81     0     5     1     1
 -2.0821411999218755E+00 a        82     0     5     1     2
  1.9927024820603407E+00 a        83     0     5     1     3
 -6.8426679140015711E-01 a        84     0     5     1     4
 -1.7737947485996131E+00 a        85     0     5     1     5
  1.9702334457431552E+00 a        86     0     5     1     6
 -9.8030068026359218E-01 a        87     0     5     1     7
 -6.4033137214400704E-01 a        88     0     5     1     8
  6.6508646435510022E-01 a        89     0     5     1     9
 -9.8098055890286062E-01 a        90     0     5     1    10
 -2.7485880875058437E+00 a        91     0     5     1    11
 -3.1337378645728866E+00 a        92     0     5     1    12
 -4.2767686616117728E-01 a        93     0     5     1    13
 -3.7143318382813639E+00 a        94     0     5     1    14
  7.7144093310539152E-01 a        95     0     5     1    15
 -1.6120247602085360E+00 a        96     0     5     1    16
  8.1397196720403542E-01 a        97     0     5     1    17
  3.1710487088018482E+00 a        98     0     5     1    18
 -8.7004792079856930E-01 a        99     0     5     1    19
  2.8953434588526679E+00 a       100     0     5     1    20
 -3.9790391318072706E+00 a       101     0     6     1     1
 -2.5563744080295137E-01 a       102     0     6     1     2
  1.5320995944050608E-01 a       103     0     6     1     3
  1.9009277779307634E+00 a       104     0     6     1     4
 -1.5713679269994192E+00 a       105     0     6     1     5
  5.1175883928507443E-02 a       106     0     6     1     6
  1.5380371601946317E+00 a       107     0     6     1     7
 -6.2271523415024177E-01 a       108     0     6     1     8
  1.5324309658504216E+00 a       109     0     6     1     9
  5.5316022875118098E-01 a       110     0     6     1    10
  2.1213414663015420E+00 a       111     0     6     1    11
  6.8201603281836864E-01 a       112     0     6     1    12
 -1.3755736500336975E+00 a       113     0     6     1    13
  1.2883512640202519E+00 a       114     0     6     1    14
 -1.6741466041153674E+00 a       115     0     6     1    15
  1.3582971622063891E+00 a       116     0     6     1    16
  1.2576007551494397E+00 a       117     0     6     1    17
  1.3537202674720843E+00 a       118     0     6     1    18
  1.6811689535089931E+00 a       119     0     6     1    19
 -8.2599357567729806E-02 a       120     0     6     1    20
  1.2480689088785006E+00 a       121     0     7     1     1
  1.1131027624211767E+00 a       122     0     7     1     2
 -1.3161788186426071E+00 a       123     0     7     1     3
  5.3378434521679959E-02 a       124     0     7     1     4
  1.4957454011330860E+00 a       125     0     7     1     5
 -2.0871438524611127E-01 a       126     0     7     1     6
  2.0831076975642966E+00 a       127     0     7     1     7
 -2.6941343098344156E-01 a       128     0     7     1     8
 -3.1585236527746532E+00 a       129     0     7     1     9
 -4.6742100423925725E-01 a       130     0     7     1    10
 -3.6106351843221002E-01 a       131     0     7     1    11
  1.5670669816420352E-01 a       132     0     7     1    12
 -1.3609164212851581E+00 a       133     0     7     1    13
 -3.0400905681802128E+00 a       134     0     7     1    14
 -8.9928361201158979E-01 a       135     0     7     1    15
 -9.8309982896054782E-01 a       136     0     7     1    16
 -7.2949746550466354E-01 a       137     0     7     1    17
  3.1411343879412162E-01 a       138     0     7     1    18
 -6.3151575620158007E-01 a       139     0     7     1    19
 -1.8341433690373354E+00 a       140     0     7     1    20
 -1.1696629116264456E+00 a       141     0     8     1     1
  1.6344520569154155E+00 a       142     0     8     1     2
  4.1667507787951994E+00 a       143     0     8     1     3
 -2.6284289529609821E+00 a       144     0     8     1     4
 -1.9445077930875301E+00 a       145     0     8     1     5
 -2.6375257908344638E+00 a       146     0     8     1     6
  1.8675113857011598E+00 a       147     0     8     1     7
  2.8070736330713358E-01 a       148     0     8     1     8
 -5.9365737825007558E-01 a       149     0     8     1     9
  2.8802398339958377E+00 a       150     0     8     1    10
  2.6358196605189099E-01 a       151     0     8     1    11
 -3.4175635601963694E-01 a       152     0     8     1    12
 -1.5863102762788717E+00 a       153     0     8     1    13
 -3.5822936865045718E+00 a       154     0     8     1    14
  1.0691299552724480E+00 a       155     0     8     1    15
 -1.9045224800516369E+00 a       156     0     8     1    16
 -1.6011527853432086E+00 a       157     0     8     1    17
  8.4819550717619474E-01 a       158     0     8     1    18
 -1.5439838613780946E-01 a       159     0     8     1    19
  4.0055691908672886E+00 a       160     0     8     1    20
 -1.4235231761841676E+00 a       161     0     9     1     1
 -1.0532939376205301E+00 a       162     0     9     1     2
 -2.7606354202409555E+00 a       163     0     9     1     3
 -5.0995120854521350E+00 a       164     0     9     1     4
  5.2140036064480377E-01 a       165     0     9     1     5
 -5.4863350919123900E-02 a       166     0     9     1     6
  1.5219453002873984E+00 a       167     0     9     1     7
 -1.8014648274183154E+00 a       168     0     9     1     8
 -2.5332030941799499E+00 a       169     0     9     1     9
  1.4182958889803954E-01 a       170     0     9     1    10
 -1.1900188014485411E+00 a       171     0     9     1    11
  1.2728958182103000E-02 a       172     0     9     1    12
 -2.7098193329718732E+00 a       173     0     9     1    13
 -5.4559879812706935E-01 a       174     0     9     1    14
  1.3145506330984327E+00 a       175     0     9     1    15
 -2.0554680169571879E+00 a       176     0     9     1    16
 -1.5704669675648952E-01 a       177     0     9     1    17
  9.4634892150297922E-01 a       178     0     9     1    18
  1.3523403071135085E+00 a       179     0     9     1    19
 -5.3435786460976020E-01 a       180     0     9     1    20
 -2.2380710451615710E-01 a       181     0    10     1     1
  3.2130373310392679E+00 a       182     0    10     1     2
 -4.9982855810154190E+00 a       183     0    10     1     3
  1.4235358675103975E+00 a       184     0    10     1     4
  3.1716476706433278E-01 a       185     0    10     1     5
  1.2516636659732702E-01 a       186     0    10     1     6
 -2.3652626716722830E-01 a       187     0    10     1     7
  3.5767538059422754E-01 a       188     0    10     1     8
  2.2158027759552110E-01 a       189     0    10     1     9
  1.1434847743641632E+00 a       190     0    10     1    10
 -2.0264373699503335E+00 a       191     0    10     1    11
 -1.1682171848742846E+00 a       192     0    10     1    12
  7.9232391277377023E-01 a       193     0    10     1    13
 -2.8019516863909177E+00 a       194     0    10     1    14
 -8.9250588007018283E-01 a       195     0    10     1    15
 -7.9605663390259795E-01 a       196     0    10     1    16
 -1.2243023045396668E+00 a       197     0    10     1    17
 -1.3930111206968545E+00 a       198     0    10     1    18
  1.3578500543434402E+00 a       199     0    10     1    19
  6.3809179443872455E-01 a       200     0    10     1    20
 -2.1487041957242048E+00 a       201     0    11     1     1
  1.9131928330146805E-01 a       202     0    11     1     2
 -4.8455389100749680E-01 a       203     0    11     1     3
  2.3395864605912706E+00 a       204     0    11     1     4
 -1.4965737342214630E-01 a       205     0    11     1     5
  9.3862627178020097E-01 a       206     0    11     1     6
  1.5552026454188543E+00 a       207     0    11     1     7
 -2.4292021585553950E-01 a       208     0    11     1     8
  1.3006697786393990E+00 a       209     0    11     1     9
 -1.9096238818808562E+00 a       210     0    11     1    10
 -1.6699628029824254E+00 a       211     0    11     1    11
  2.6876888470675455E+00 a       212     0    11     1    12
 -1.5581913214037770E+00 a       213     0    11     1    13
  8.9733594132780370E-01 a       214     0    11     1    14
 -2.0074670031371013E-02 a       215     0    11     1    15
 -1.0762510826176047E-01 a       216     0    11     1    16
  1.7420739284946261E+00 a       217     0    11     1    17
 -6.1613500041295732E-01 a       218     0    11     1    18
 -1.6007996896796017E+00 a       219     0    11     1    19
 -1.1893965555432127E+00 a       220     0    11     1    20
  4.0886678017104611E-01 a       221     0    12     1     1
 -1.7845502954208172E+00 a       222     0    12     1     2
  1.4334023395924286E-01 a       223     0    12     1     3
  6.0917661560040171E-01 a       224     0    12     1     4
  1.0926724778005663E+00 a       225     0    12     1     5
  1.3618335662492111E+00 a       226     0    12     1     6
 -2.5567863141327252E-01 a       227     0    12     1     7
  3.1755721165801276E-01 a       228     0    12     1     8
 -2.3020049587149267E+00 a       229     0    12     1     9
 -9.5505816931412058E-01 a       230     0    12     1    10
  8.6894233477850258E-01 a       231     0    12     1    11
  3.0313336411872918E+00 a       232     0    12     1    12
 -4.6676737252453776E-02 a       233     0    12     1    13
 -1.9571399797415496E+00 a       234     0    12     1    14
 -1.8122805950810859E+00 a       235     0    12     1    15
 -4.7852735374801671E+00 a       236     0    12     1    16
 -3.7814784616328184E-01 a       237     0    12     1    17
 -1.8693727511745850E+00 a       238     0    12     1    18
 -2.6400728023659059E-01 a       239     0    12     1    19
  8.8114385586967447E-01 a       240     0    12     1    20
 -7.2800021558673234E-01 a       241     0    13     1     1
  7.1851819126938343E-01 a       242     0    13     1     2
 -2.2313186957676839E-01 a       243     0    13     1     3
  2.1809471124984725E+00 a       244     0    13     1     4
 -1.1910759962456123E+00 a       245     0    13     1     5
  7.6758763060609814E-01 a       246     0    13     1     6
  6.1817769557055824E-01 a       247     0    13     1     7
  4.1660114846577354E+00 a       248     0    13     1     8
  5.7515139768075763E-02 a       249     0    13     1     9
 -1.6173387097985905E+00 a       250     0    13     1    10
 -1.2622821943986735E+00 a       251     0    13     1    11
 -4.2968216242206425E-01 a       252     0    13     1    12
  4.8502219985174131E+00 a       253     0    13     1    13
 -2.1742770467100216E+00 a       254     0    13     1    14
 -1.4095737979760476E+00 a       255     0    13     1    15
 -6.9854665667379734E-01 a       256     0    13     1    16
  3.9653202808389665E+00 a       257     0    13     1    17
 -1.0108494239651693E+00 a       258     0    13     1    18
 -1.0435810129284022E+00 a       259     0    13     1    19
  3.6290538139380996E-01 a       260     0    13     1    20
  1.7286149851262962E+00 a       261     0    14     1     1
  1.4292376983077801E+00 a       262     0    14     1     2
 -2.5055422157455651E+00 a       263     0    14     1     3
  3.1790321433381981E+00 a       264     0    14     1     4
 -8.3008182114251894E-01 a       265     0    14     1     5
  2.1322145585820880E+00 a       266     0    14     1     6
  3.0674301640582566E+00 a       267     0    14     1     7
  2.5616080812658328E+00 a       268     0    14     1     8
  3.1655262274949849E+00 a       269     0    14     1     9
 -2.3302490870704004E-01 a       270     0    14     1    10
  9.0489410071637089E-01 a       271     0    14     1    11
  2.5116575269404146E-01 a       272     0    14     1    12
 -1.1438127497745203E+00 a       273     0    14     1    13
