################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.4564303432228587E+00 a         1     0     1     1     1
 -1.1394488102453959E+00 a         2     0     1     1     2
  1.7058884866467336E+00 a         3     0     1     1     3
 -2.1316700151354984E+00 a         4     0     1     1     4
  2.2554453178297149E-01 a         5     0     1     1     5
  7.6987153145636067E-01 a         6     0     1     1     6
  1.1121485674824252E+00 a         7     0     1     1     7
 -1.0131396144647133E+00 a         8     0     1     1     8
  9.4521101940668273E-01 a         9     0     1     1     9
  3.2945710105676640E-01 a        10     0     1     1    10
  8.6414481608617710E-01 a        11     0     1     1    11
  6.2285576456394132E-01 a        12     0     1     1    12
  4.8753868422918317E-02 a        13     0     1     1    13
  1.9917644329844284E+00 a        14     0     1     1    14
  3.2737982351626144E-01 a        15     0     1     1    15
  9.4652776739631406E-01 a        16     0     1     1    16
 -8.4236582729180720E-01 a        17     0     1     1    17
 -6.5345919872413483E-01 a        18     0     1     1    18
 -7.5073935038419193E-02 a        19     0     1     1    19
 -4.8178209639200953E-01 a        20     0     1     1    20
  8.2360224713907382E-01 a        21     0     2     1     1
  1.3354200963258106E-01 a        22     0     2     1     2
  2.4067569653373763E-01 a        23     0     2     1     3
 -6.3785812759326529E-02 a        24     0     2     1     4
 -9.1873292625460068E-02 a        25     0     2     1     5
 -6.2679501119612147E-01 a        26     0     2     1     6
 -1.1949284717157541E-01 a        27     0     2     1     7
 -5.9803033658880822E-01 a        28     0     2     1     8
 -9.1065704616044341E-01 a        29     0     2     1     9
  9.4548100169077928E-02 a        30     0     2     1    10
 -3.3719286809113697E-01 a        31     0     2     1    11
 -3.4112177277109729E-01 a        32     0     2     1    12
  3.3803207926029888E-01 a        33     0     2     1    13
  4.1437272213114890E-01 a        34     0     2     1    14
 -2.2676830453969840E-01 a        35     0     2     1    15
 -8.0390064069857614E-01 a        36     0     2     1    16
 -8.3711151163397579E-01 a        37     0     2     1    17
 -2.4885803686188451E-01 a        38     0     2     1    18
 -1.8436025578350443E+00 a        39     0     2     1    19
 -5.4365140887191277E-01 a        40     0     2     1    20
  1.4729265123822393E+00 a        41     0     3     1     1
  3.3619193295466343E-01 a        42     0     3     1     2
 -1.3520809244510648E-01 a        43     0     3     1     3
 -1.0211480739614658E+00 a        44     0     3     1     4
  4.2673563260416375E-01 a        45     0     3     1     5
  6.8810734302118737E-01 a        46     0     3     1     6
  1.1063535508278204E+00 a        47     0     3     1     7
 -6.5974088038278211E-01 a        48     0     3     1     8
 -5.8764463863491689E-01 a        49     0     3     1     9
  5.6459281838676934E-01 a        50     0     3     1    10
  7.9379616293876254E-01 a        51     0     3     1    11
 -7.5912081770948414E-01 a        52     0     3     1    12
 -4.4442970283967026E-01 a        53     0     3     1    13
 -1.2440243389677855E-04 a        54     0     3     1    14
  1.3512347190112979E+00 a        55     0     3     1    15
  6.3244295002592832E-01 a        56     0     3     1    16
 -2.0020222626329777E-02 a        57     0     3     1    17
 -3.1956150138921757E-01 a        58     0     3     1    18
  8.7563377579840151E-01 a        59     0     3     1    19
  2.9582940894538806E-01 a        60     0     3     1    20
 -1.7027350629154299E+00 a        61     0     4     1     1
  6.5478151637318860E-01 a        62     0     4     1     2
  9.1256497877259635E-01 a        63     0     4     1     3
  2.1548648165405765E-01 a        64     0     4     1     4
 -3.5029199704659075E-01 a        65     0     4     1     5
 -1.2003212982060827E+00 a        66     0     4     1     6
 -2.1745148011075024E-01 a        67     0     4     1     7
  2.1936458785430563E-02 a        68     0     4     1     8
 -8.8723024072049306E-01 a        69     0     4     1     9
 -5.1872811244517458E-01 a        70     0     4     1    10
 -3.2425588808199901E-01 a        71     0     4     1    11
  3.6966075884372639E-02 a        72     0     4     1    12
 -9.1902709111186462E-02 a        73     0     4     1    13
  2.6363681561760005E-01 a        74     0     4     1    14
 -1.5781661819836679E-01 a        75     0     4     1    15
 -2.0335708351112267E-01 a        76     0     4     1    16
  1.7223797748722225E+00 a        77     0     4     1    17
 -3.4100660790774606E-01 a        78     0     4     1    18
 -9.9363428940322274E-01 a        79     0     4     1    19
 -1.1728719796485059E+00 a        80     0     4     1    20
 -3.7465619724542737E-01 a        81     0     5     1     1
