################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.1886194759750079E+00 a         1     0     1     1     1
 -1.2592637726194498E+01 a         2     0     1     1     2
  5.1745078633774080E+00 a         3     0     1     1     3
 -3.2852209373266406E+00 a         4     0     1     1     4
 -9.6504372701294461E+00 a         5     0     1     1     5
  3.6105851223061416E+00 a         6     0     1     1     6
  7.1866371263921724E+00 a         7     0     1     1     7
 -3.7256875851733016E+00 a         8     0     1     1     8
  2.0932747960156322E+00 a         9     0     1     1     9
 -3.7500695123361445E+00 a        10     0     1     1    10
  1.4150876813183663E+01 a        11     0     1     1    11
  6.1668621505309744E+00 a        12     0     1     1    12
 -1.8931115482427007E+01 a        13     0     1     1    13
 -1.4991351472020867E+01 a        14     0     1     1    14
  1.2708225834691692E+01 a        15     0     1     1    15
  1.5492289803773016E+01 a        16     0     1     1    16
  1.0363760440404429E+01 a        17     0     1     1    17
 -5.9931580677213547E-01 a        18     0     1     1    18
 -3.0730744932582993E-01 a        19     0     1     1    19
  1.2642768629388437E+01 a        20     0     1     1    20
 -1.3818486787135843E+01 a        21     0     2     1     1
  2.2046749540733308E+00 a        22     0     2     1     2
 -5.5164387191717603E+00 a        23     0     2     1     3
 -1.1731109693805871E+01 a        24     0     2     1     4
  8.2619680406479077E+00 a        25     0     2     1     5
 -6.0422551748701352E+00 a        26     0     2     1     6
  1.3698116024437834E+00 a        27     0     2     1     7
 -1.6920452421852827E+00 a        28     0     2     1     8
 -5.2636918985883376E+00 a        29     0     2     1     9
 -6.6692208583756916E+00 a        30     0     2     1    10
  1.7260926309100331E+01 a        31     0     2     1    11
 -7.0711669382943558E+00 a        32     0     2     1    12
 -4.4453951920876547E+00 a        33     0     2     1    13
  7.9507618730632563E+00 a        34     0     2     1    14
 -3.8061609260481215E+00 a        35     0     2     1    15
  4.6554748986102430E+00 a        36     0     2     1    16
 -1.6707369159247424E+01 a        37     0     2     1    17
 -8.7145076128239918E-01 a        38     0     2     1    18
 -1.1527167062209786E+01 a        39     0     2     1    19
  8.2550802410954951E+00 a        40     0     2     1    20
  1.2011817268147661E+01 a        41     0     3     1     1
 -1.4594201657666315E+00 a        42     0     3     1     2
 -1.6930689343248545E+01 a        43     0     3     1     3
  6.8468365381101490E+00 a        44     0     3     1     4
  8.6814112677776354E+00 a        45     0     3     1     5
 -1.7675091225587749E+01 a        46     0     3     1     6
  9.1952479558498013E+00 a        47     0     3     1     7
  4.0291624086697624E+00 a        48     0     3     1     8
  1.0712796507948415E+01 a        49     0     3     1     9
  2.5349899826467088E+00 a        50     0     3     1    10
