################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.1280853224717994E+01 a         1     0     1     1     1
 -7.6889221051063759E+00 a         2     0     1     1     2
  2.7649955488647642E+00 a         3     0     1     1     3
 -4.2056836811104175E+00 a         4     0     1     1     4
  9.5144989355030400E+00 a         5     0     1     1     5
 -1.8925691528341448E+00 a         6     0     1     1     6
  1.3307654493997317E+01 a         7     0     1     1     7
 -3.1012638713322760E+00 a         8     0     1     1     8
 -3.5817008308723093E+00 a         9     0     1     1     9
  4.7724051315799274E+00 a        10     0     1     1    10
 -1.7904292916316127E+01 a        11     0     1     1    11
  9.7154094296349438E+00 a        12     0     1     1    12
 -7.1135625709480292E+00 a        13     0     1     1    13
 -9.1506732694295287E+00 a        14     0     1     1    14
  2.2583311325304747E-02 a        15     0     1     1    15
  1.6636738178492990E+01 a        16     0     1     1    16
 -1.7201108323085212E+01 a        17     0     1     1    17
  5.9489241386009386E+00 a        18     0     1     1    18
 -2.7938717320297703E+00 a        19     0     1     1    19
  3.5660283638830217E+00 a        20     0     1     1    20
  4.8610580314728251E+00 a        21     0     2     1     1
  1.9442716184004137E+01 a        22     0     2     1     2
  4.4614535575314598E+00 a        23     0     2     1     3
 -8.2236079368019404E+00 a        24     0     2     1     4
 -2.0611906732805529E+00 a        25     0     2     1     5
  1.3951367111848092E+00 a        26     0     2     1     6
  1.8684015333343595E+01 a        27     0     2     1     7
 -2.8650075935900987E+00 a        28     0     2     1     8
  9.3290704741338515E-01 a        29     0     2     1     9
  3.6063205666007772E+00 a        30     0     2     1    10
  3.4347053209140856E+00 a        31     0     2     1    11
 -5.9204027940227331E+00 a        32     0     2     1    12
 -5.2164785671638425E+00 a        33     0     2     1    13
  1.2935438852794443E+01 a        34     0     2     1    14
  9.4475948474983540E-01 a        35     0     2     1    15
 -1.8226182996440937E+01 a        36     0     2     1    16
  9.2328699491576884E+00 a        37     0     2     1    17
 -6.1871931496844654E+00 a        38     0     2     1    18
 -1.3964078248341563E+01 a        39     0     2     1    19
  5.5175305818038414E+00 a        40     0     2     1    20
  1.3762363132240209E+01 a        41     0     3     1     1
  1.9818045534951064E+01 a        42     0     3     1     2
  1.8761614091999024E+00 a        43     0     3     1     3
 -2.2039303202591034E+00 a        44     0     3     1     4
 -3.7654210577375276E+00 a        45     0     3     1     5
  2.0780286323859958E+00 a        46     0     3     1     6
 -3.0723072977921071E+01 a        47     0     3     1     7
  8.1192181308617606E+00 a        48     0     3     1     8
 -7.3936900141382109E+00 a        49     0     3     1     9
 -8.8649428595491582E+00 a        50     0     3     1    10
  1.3239542871420509E+00 a        51     0     3     1    11
  3.6041790236191855E+00 a        52     0     3     1    12
  7.7520761493895449E+00 a        53     0     3     1    13
  4.0573141475122361E+00 a        54     0     3     1    14
  9.2273951394709897E-01 a        55     0     3     1    15
  8.7345392896424789E-02 a        56     0     3     1    16
  1.6392811441222925E+01 a        57     0     3     1    17
 -1.9543783365057141E+00 a        58     0     3     1    18
  9.7456707638132434E-01 a        59     0     3     1    19
  9.5449688092890658E-02 a        60     0     3     1    20
 -7.5563926684342986E-01 a        61     0     4     1     1
 -2.7633356366947236E+01 a        62     0     4     1     2
  1.1282925379356294E+01 a        63     0     4     1     3
  7.7766490029794637E+00 a        64     0     4     1     4
