################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.9641377232182977E+00 a         1     0     1     1     1
 -2.6067648511361785E+00 a         2     0     1     1     2
  8.4450120998231633E+00 a         3     0     1     1     3
  5.9867186050161276E+00 a         4     0     1     1     4
 -9.3964876376960191E+00 a         5     0     1     1     5
 -1.8415732391179169E+01 a         6     0     1     1     6
 -4.5793276076784863E+00 a         7     0     1     1     7
  1.7650943417024315E+01 a         8     0     1     1     8
  1.1971010611216861E+00 a         9     0     1     1     9
 -1.5995024157710846E+01 a        10     0     1     1    10
 -1.2939060317124051E+00 a        11     0     1     1    11
  7.4922650655540677E+00 a        12     0     1     1    12
  1.0551401365532332E+01 a        13     0     1     1    13
  5.8612263155037061E+00 a        14     0     1     1    14
  1.7188821356862423E+01 a        15     0     1     1    15
 -1.0896546680712325E+01 a        16     0     1     1    16
 -1.3360995604463792E+00 a        17     0     1     1    17
  6.5695362389154006E+00 a        18     0     1     1    18
 -3.5275403767022566E+00 a        19     0     1     1    19
 -1.1254295293953655E+01 a        20     0     1     1    20
  2.5488565812656647E+00 a        21     0     2     1     1
 -8.6053897202516296E+00 a        22     0     2     1     2
  1.8526208596367726E+00 a        23     0     2     1     3
  1.8903648598782072E+00 a        24     0     2     1     4
  7.1382058128246655E+00 a        25     0     2     1     5
 -8.9573516766589076E+00 a        26     0     2     1     6
  6.3824738055578569E+00 a        27     0     2     1     7
  1.8065357469478478E+01 a        28     0     2     1     8
 -2.2059409268816594E+00 a        29     0     2     1     9
 -1.1337015397008012E+00 a        30     0     2     1    10
  1.1328549565715495E+01 a        31     0     2     1    11
 -1.3350521686212209E+01 a        32     0     2     1    12
  7.3098141916568016E-01 a        33     0     2     1    13
  8.1623854928994906E+00 a        34     0     2     1    14
 -7.2398913139743595E+00 a        35     0     2     1    15
  5.8924952659912808E+00 a        36     0     2     1    16
  4.2943369453926881E+00 a        37     0     2     1    17
  2.7035520946669784E+00 a        38     0     2     1    18
  3.3609026206577929E-02 a        39     0     2     1    19
 -9.8469748964611892E+00 a        40     0     2     1    20
  1.6081007831070806E+01 a        41     0     3     1     1
 -8.5374817667817791E+00 a        42     0     3     1     2
 -3.2427489583353095E+00 a        43     0     3     1     3
 -1.2755487188194072E+01 a        44     0     3     1     4
 -7.8066687448357879E+00 a        45     0     3     1     5
  1.3881714700641695E+01 a        46     0     3     1     6
 -9.0453364455247787E+00 a        47     0     3     1     7
 -8.5495745131364753E+00 a        48     0     3     1     8
  1.2013947770471416E+00 a        49     0     3     1     9
  1.5403173331452715E+01 a        50     0     3     1    10
  2.6051770066800092E+01 a        51     0     3     1    11
  6.6320996625202311E-01 a        52     0     3     1    12
 -1.1959369536464189E+01 a        53     0     3     1    13
  6.9306912459435246E+00 a        54     0     3     1    14
 -1.1151972741478605E+01 a        55     0     3     1    15
 -8.9511314968660454E+00 a        56     0     3     1    16
 -1.5400769962014873E+01 a        57     0     3     1    17
  1.0528176973508256E+01 a        58     0     3     1    18
 -1.7878638563707880E+00 a        59     0     3     1    19
  1.9458435342345016E+01 a        60     0     3     1    20
 -5.6916427104479750E+00 a        61     0     4     1     1
  1.7849972492348325E+01 a        62     0     4     1     2
 -1.2465964134596771E+01 a        63     0     4     1     3
 -9.5126509389630289E+00 a        64     0     4     1     4
 -1.4563736907316120E+01 a        65     0     4     1     5
  9.6076314444214326E+00 a        66     0     4     1     6
 -5.1965819295068814E+00 a        67     0     4     1     7
 -1.4258193909614338E+01 a        68     0     4     1     8
 -4.5738513188268790E+00 a        69     0     4     1     9
 -7.2881637965091155E+00 a        70     0     4     1    10
 -1.3918078238326741E+01 a        71     0     4     1    11
  3.6538747479807077E+00 a        72     0     4     1    12
 -1.9127431246877173E+01 a        73     0     4     1    13
 -3.9034300879743173E+00 a        74     0     4     1    14
  1.9419452387913760E-01 a        75     0     4     1    15
  2.3374410951123830E+00 a        76     0     4     1    16
  1.5580883869859776E+00 a        77     0     4     1    17
 -7.1507961906979371E+00 a        78     0     4     1    18
  1.2226106851626639E+01 a        79     0     4     1    19
  9.5425256402143201E+00 a        80     0     4     1    20
 -7.7325664461026449E+00 a        81     0     5     1     1
  4.6087190309897369E-01 a        82     0     5     1     2
 -1.8052350325672908E+00 a        83     0     5     1     3
 -1.4152878188956208E+01 a        84     0     5     1     4
 -1.7920815955418770E+00 a        85     0     5     1     5
 -2.5981541107502713E+00 a        86     0     5     1     6
  1.2567636525637019E+01 a        87     0     5     1     7
 -7.0430435892404306E+00 a        88     0     5     1     8
  7.6972205025505467E+00 a        89     0     5     1     9
  5.2606045029942932E+00 a        90     0     5     1    10
 -5.9754098336262096E-01 a        91     0     5     1    11
  2.6704150390147108E+00 a        92     0     5     1    12
  4.3917488876005562E-01 a        93     0     5     1    13
 -1.6282587958992596E+00 a        94     0     5     1    14
  6.6057212601093411E+00 a        95     0     5     1    15
  2.3992034414602048E+00 a        96     0     5     1    16
 -2.6208362826744684E+00 a        97     0     5     1    17
  8.4787933503974156E+00 a        98     0     5     1    18
  4.5662745093298209E+00 a        99     0     5     1    19
  3.6462072622437924E+00 a       100     0     5     1    20
 -3.0098847571593640E-01 a       101     0     6     1     1
  4.9180168731619922E+00 a       102     0     6     1     2
  1.0274831418664288E+01 a       103     0     6     1     3
 -1.2868927154116500E+01 a       104     0     6     1     4
  9.2361600719721455E+00 a       105     0     6     1     5
 -9.9815041977270234E+00 a       106     0     6     1     6
  1.0697834651864317E+01 a       107     0     6     1     7
  7.2472367720010791E+00 a       108     0     6     1     8
 -1.7042309542681512E+01 a       109     0     6     1     9
