################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.1097119547977243E+00 a         1     0     1     1     1
  5.4415668150804408E-01 a         2     0     1     1     2
 -6.2048953032170895E-01 a         3     0     1     1     3
 -8.9061431368099597E-01 a         4     0     1     1     4
  9.5262577089421607E-01 a         5     0     1     1     5
 -2.3956002846156443E+00 a         6     0     1     1     6
  1.7478677415073089E+00 a         7     0     1     1     7
 -1.4264045598181074E+00 a         8     0     1     1     8
 -1.6057580504515587E-01 a         9     0     1     1     9
 -3.1817577256369717E-01 a        10     0     1     1    10
  6.8181923891215579E-02 a        11     0     1     1    11
  1.6600283679722607E+00 a        12     0     1     1    12
 -1.1247685429734968E+00 a        13     0     1     1    13
 -1.6914769758729902E+00 a        14     0     1     1    14
  1.2705746552526958E+00 a        15     0     1     1    15
 -3.1430572018947646E-02 a        16     0     1     1    16
 -1.0559547926455515E+00 a        17     0     1     1    17
 -1.4636651148263049E+00 a        18     0     1     1    18
 -1.9313097725623178E+00 a        19     0     1     1    19
  1.1604792298950326E+00 a        20     0     1     1    20
  1.8150280037501516E+00 a        21     0     2     1     1
  2.6731824152344688E+00 a        22     0     2     1     2
  2.0685364443853906E+00 a        23     0     2     1     3
 -4.1940872997126155E-01 a        24     0     2     1     4
  8.9567539397819662E-01 a        25     0     2     1     5
 -9.4751275182189121E-01 a        26     0     2     1     6
 -4.0439134909267183E-01 a        27     0     2     1     7
 -7.1668604369742406E-01 a        28     0     2     1     8
  3.9311085081480240E-01 a        29     0     2     1     9
  1.6481853488631484E+00 a        30     0     2     1    10
 -3.8319961891394622E-01 a        31     0     2     1    11
  8.6387882461789545E-01 a        32     0     2     1    12
 -1.1396922730654477E+00 a        33     0     2     1    13
  1.4321910736581041E+00 a        34     0     2     1    14
 -1.8507680152522032E+00 a        35     0     2     1    15
 -5.1933228669848230E-01 a        36     0     2     1    16
  2.0230260047896627E+00 a        37     0     2     1    17
  7.6430057691504660E-01 a        38     0     2     1    18
  1.6344328595459707E+00 a        39     0     2     1    19
  4.8045631492254237E-01 a        40     0     2     1    20
 -1.2138930919249859E-01 a        41     0     3     1     1
