################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3203527241456063E+00 a         1     0     1     1     1
  1.3190897940217690E+00 a         2     0     1     1     2
 -1.3580956883801218E+00 a         3     0     1     1     3
 -8.2394512872577252E-01 a         4     0     1     1     4
 -7.2820561192369870E-01 a         5     0     1     1     5
  2.2237621619997072E+00 a         6     0     1     1     6
 -1.6170741073013717E-01 a         7     0     1     1     7
  2.1404358889050856E+00 a         8     0     1     1     8
  4.6833760238272482E-01 a         9     0     1     1     9
 -3.7100134501596554E-01 a        10     0     1     1    10
  1.3187220072854937E+00 a        11     0     1     1    11
  1.7856235690055045E-01 a        12     0     1     1    12
  7.0879691937295852E-01 a        13     0     1     1    13
 -6.4994135190951582E-02 a        14     0     1     1    14
  1.9639479317295179E+00 a        15     0     1     1    15
  8.0666703889240587E-01 a        16     0     1     1    16
 -1.6197836099832195E+00 a        17     0     1     1    17
 -1.8257512511038676E+00 a        18     0     1     1    18
  4.6672258603155747E-01 a        19     0     1     1    19
 -1.3316726746041168E+00 a        20     0     1     1    20
  1.8868958317570044E+00 a        21     0     2     1     1
  1.8148964710240356E+00 a        22     0     2     1     2
 -3.4599958726168872E-01 a        23     0     2     1     3
  3.9679460712766662E-01 a        24     0     2     1     4
 -3.4151721636073523E-01 a        25     0     2     1     5
  7.5578902426707417E-01 a        26     0     2     1     6
  1.5060267517932358E+00 a        27     0     2     1     7
 -2.5742237656414230E-01 a        28     0     2     1     8
 -5.1701317935548263E-01 a        29     0     2     1     9
 -8.3036613306310336E-01 a        30     0     2     1    10
 -2.5223276794181959E-01 a        31     0     2     1    11
  8.7639743556496863E-01 a        32     0     2     1    12
  7.0246818976452197E-01 a        33     0     2     1    13
 -3.1960202237734864E-01 a        34     0     2     1    14
 -1.3155970601366835E+00 a        35     0     2     1    15
 -5.1630930094404259E-01 a        36     0     2     1    16
 -3.6519132836210350E-01 a        37     0     2     1    17
 -2.5203437205217355E-01 a        38     0     2     1    18
  5.1725804408313292E-01 a        39     0     2     1    19
 -2.4075802680279154E-01 a        40     0     2     1    20
  1.5578718538294496E+00 a        41     0     3     1     1
  6.2119362465758976E-01 a        42     0     3     1     2
  1.0234046899123937E-01 a        43     0     3     1     3
 -1.0983437232555937E-02 a        44     0     3     1     4
  3.7807587896688954E-01 a        45     0     3     1     5
  7.4039000508724584E-01 a        46     0     3     1     6
 -5.0147719170514160E-01 a        47     0     3     1     7
 -1.4126601376492876E+00 a        48     0     3     1     8
 -1.0489267652906060E+00 a        49     0     3     1     9
 -2.4646158797119685E-01 a        50     0     3     1    10
  7.0979293172664354E-02 a        51     0     3     1    11
 -8.2928082156153315E-01 a        52     0     3     1    12
 -7.5426299755354276E-01 a        53     0     3     1    13
  1.9850059113071841E+00 a        54     0     3     1    14
 -2.1992480668094652E-01 a        55     0     3     1    15
 -2.1909354717622817E-01 a        56     0     3     1    16
 -5.6345061576557176E-01 a        57     0     3     1    17
