################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.4800574301450826E+00 a         1     0     1     1     1
  5.3437431587096436E+00 a         2     0     1     1     2
 -1.3759050728667129E+01 a         3     0     1     1     3
  8.7987003911200858E+00 a         4     0     1     1     4
 -7.5909820827067493E+00 a         5     0     1     1     5
  2.6447011444064614E+00 a         6     0     1     1     6
 -4.4925940974556253E+00 a         7     0     1     1     7
 -2.5542771388780774E+00 a         8     0     1     1     8
 -1.0545728747098407E-01 a         9     0     1     1     9
 -3.8074061112104229E+00 a        10     0     1     1    10
 -2.5093371552858499E+00 a        11     0     1     1    11
  1.4525328236611875E+01 a        12     0     1     1    12
  1.4875409492540645E+00 a        13     0     1     1    13
  1.2702091188666362E+00 a        14     0     1     1    14
  1.0804900620075458E+01 a        15     0     1     1    15
  5.6861929846719619E+00 a        16     0     1     1    16
 -3.5458982984195000E+00 a        17     0     1     1    17
 -2.7509301297395390E+00 a        18     0     1     1    18
  9.0932989388808334E+00 a        19     0     1     1    19
 -1.4876453652443836E+01 a        20     0     1     1    20
 -3.1733524016896020E-01 a        21     0     2     1     1
 -3.4549601052220256E+00 a        22     0     2     1     2
  9.0729517912578608E+00 a        23     0     2     1     3
 -1.4758067523457971E+01 a        24     0     2     1     4
  7.3232884740551176E+00 a        25     0     2     1     5
 -1.6123788167487956E+00 a        26     0     2     1     6
  8.2321725662789849E+00 a        27     0     2     1     7
  8.1921648589176055E+00 a        28     0     2     1     8
 -1.9978259050663036E+00 a        29     0     2     1     9
 -1.6456852374362928E+01 a        30     0     2     1    10
 -5.5582295508266899E+00 a        31     0     2     1    11
 -7.2811123101225563E+00 a        32     0     2     1    12
 -4.9763168785932308E+00 a        33     0     2     1    13
  6.3110707067959142E+00 a        34     0     2     1    14
 -1.5835376283893831E+01 a        35     0     2     1    15
  1.0039465369708900E+01 a        36     0     2     1    16
  4.1684796164305888E+00 a        37     0     2     1    17
 -1.8955885610500454E+00 a        38     0     2     1    18
 -5.3567469492839503E+00 a        39     0     2     1    19
  1.2246712333184476E+01 a        40     0     2     1    20
 -1.9273951682796408E+01 a        41     0     3     1     1
  1.2197955774916187E+01 a        42     0     3     1     2
 -7.9995935019791342E-01 a        43     0     3     1     3
 -1.3421033635742381E+01 a        44     0     3     1     4
  8.1588287862288205E+00 a        45     0     3     1     5
 -2.7114943600200458E+00 a        46     0     3     1     6
 -1.7983094985313499E+00 a        47     0     3     1     7
 -3.0972857593310210E+00 a        48     0     3     1     8
  1.2866214788894007E+01 a        49     0     3     1     9
  4.3197377670581485E+00 a        50     0     3     1    10
  1.8687542432623074E+00 a        51     0     3     1    11
  8.8828263172794362E+00 a        52     0     3     1    12
 -2.7202101387981154E-01 a        53     0     3     1    13
  1.2608047714880183E+01 a        54     0     3     1    14
  8.2077053983161434E+00 a        55     0     3     1    15
 -5.8574018024922969E+00 a        56     0     3     1    16
  6.0346817872437359E+00 a        57     0     3     1    17
  1.4497973232049658E+01 a        58     0     3     1    18
 -1.8555917042177055E+00 a        59     0     3     1    19
  1.2859146302475077E+01 a        60     0     3     1    20
  1.8680297923343128E-01 a        61     0     4     1     1
  1.2417635458588272E+01 a        62     0     4     1     2
  1.2697839978106977E+01 a        63     0     4     1     3
  1.7202313572461904E+01 a        64     0     4     1     4
  3.1106552209348415E+00 a        65     0     4     1     5
  2.2981673872561821E+01 a        66     0     4     1     6
 -3.5842765610384353E-01 a        67     0     4     1     7
  6.5665266737293964E+00 a        68     0     4     1     8
 -5.3734559172119551E+00 a        69     0     4     1     9
  1.6007427238745635E+01 a        70     0     4     1    10
 -3.4114347811635519E+00 a        71     0     4     1    11
 -5.0595240139258699E+00 a        72     0     4     1    12
  2.5366627430103046E+00 a        73     0     4     1    13
 -9.2627030291490993E+00 a        74     0     4     1    14
 -5.2362747322910339E+00 a        75     0     4     1    15
 -1.0536219583743611E+01 a        76     0     4     1    16
 -4.2016164783844365E+00 a        77     0     4     1    17
 -1.5897778376157465E+00 a        78     0     4     1    18
  1.4608999407377028E+00 a        79     0     4     1    19
 -8.2708853756569063E+00 a        80     0     4     1    20
